data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T11:36:34.238793,6.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T11:36:34.240454,
3,1,Organic,,1.0,B0CW19NW74,"YUJUN 35PCS Pool Diving Swimming Toys, Summer Underwater Game Toys with Pool Fishes Dive Sticks Rings Gems Storage Bag for Kids Swim Birthday Party Favors",N/A,$19.79,,4.6,409.0,False,https://m.media-amazon.com/images/I/81RPMhg40OL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81RPMhg40OL._AC_SL1500_.jpg,,2026-04-21T11:36:34.248402,
4,1,Organic,,2.0,B0F2GRKLDV,"Water Guns For Kids - Outdoor Water Toys - Pool Toys for Kids Ages 4-8, 6-8, 8-10, 8-12 - Squirt Gun Blaster - Pool Games - Backyard Summer Party Activities - Kid Swim Toy for Girls, Boys, Teen - 3 Pk",N/A,$9.97,,4.4,351.0,False,https://m.media-amazon.com/images/I/91sB5zlIL4L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91sB5zlIL4L._AC_SL1500_.jpg,,2026-04-21T11:36:34.253833,
5,1,Organic,,3.0,B0GDCP7X5J,"FindUWill Inflatable Pool Floats for Adults, 2 Pack Pool Float Chairs, Floating Lounge Chair for Adults, Heavy Duty Blow Up Pool Noodles for Summer Pool Beach Lake Water Fun",N/A,$32.99,,5.0,3.0,False,https://m.media-amazon.com/images/I/81wNwD3b69L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81wNwD3b69L._AC_SL1500_.jpg,,2026-04-21T11:36:34.258573,
7,1,Title,,,,"Debug info copied.SponsoredNIPLOOOW Pool Basketball Hoop, 2-in-1 Floating Pool Toys Ring Game with 4",,,,,,False,,,,2026-04-21T11:36:34.259771,
8,1,Title,,,,Inflatable Pool Toy Games for Kids and AdultsSponsored|Shop TaotuoShop nowPrevious pageTaotuo Red Fl,,,,,,False,,,,2026-04-21T11:36:34.260993,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:36:34.261135,
10,1,Organic,,4.0,B01K1K0K6M,"Step2 Rain Showers Splash Pond Water Table, Kids Water and Sand Activity Sensory Playset, Summer Outdoor Toys, 13 Piece Water Toy Accessories, For Toddlers 1.5+ Years Old, Blue & Green",N/A,$89.99,,4.7,23240.0,False,https://m.media-amazon.com/images/I/71rVHKdRZbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71rVHKdRZbL._AC_SL1500_.jpg,,2026-04-21T11:36:34.265432,
11,1,Organic,,5.0,B0BW3DWXGL,"YUJUN 16 Pieces Big Diving Pool Toys, Beach Colorful Starfish Summer Swimming Underwater Pool Toys Soft Rubber Dive Throw for Kids Birthday Swimming Pool Party Favors Fish Tank Stuffer (2 Sizes)",N/A,$9.89,,4.7,569.0,False,https://m.media-amazon.com/images/I/81uOKdyApQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uOKdyApQL._AC_SL1500_.jpg,,2026-04-21T11:36:34.270013,
12,1,Organic,,6.0,B0BRC8HPHB,Diving Gem Pool Toy 10PCS DISHIO Big Colorful Diamond Diving Toy with Treasure Box Chest Pirate Pool Toys for Kids Toddlers Underwater Sinking Dive Gemstone for Swimming Bath Birthday Party Decoration,N/A,$8.48,,4.5,699.0,False,https://m.media-amazon.com/images/I/81FLUo5NOzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81FLUo5NOzL._AC_SL1500_.jpg,,2026-04-21T11:36:34.275260,
13,1,Organic,,7.0,B0GLGCJRN7,Thenshop Pool Volleyball Net 15x3 ft Durable Upgraded Swimming Pool Volleyball Net for Inground Pools Summer Party Gift for Family and Adult Games with Storage Bag,N/A,$22.99,,,,False,https://m.media-amazon.com/images/I/91monnWpAgL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91monnWpAgL._AC_SL1500_.jpg,,2026-04-21T11:36:34.279043,
14,1,Organic,,8.0,B08Z81TN5K,"ZHFUYS Diving Pool Toy Underwater Swimming Throwing Diving Torpedo Shark,4 Pack",N/A,$5.99,,4.5,2112.0,False,https://m.media-amazon.com/images/I/51wDP94NwPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/51wDP94NwPL._AC_SL1500_.jpg,,2026-04-21T11:36:34.282798,
15,1,Organic,,9.0,B087YP2NP9,"ArtCreativity Octopus Water Balls (Pack of 3), Pool Toys for Toddlers 1-3, Sensory Stress Relief Toy for Kids, Beach Water Toys & Swimming Toy for Toddlers, Cute Goodie Bag Fillers for Boys & Girls",N/A,$14.99,,4.2,801.0,False,https://m.media-amazon.com/images/I/81dZpweli6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81dZpweli6L._AC_SL1500_.jpg,,2026-04-21T11:36:34.287386,
