data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Pride Flag,https://aax-us-east-retail-direct.amazon.com/x/c/JBhdsd5lwkDgvvOcy-KmCN8AAAGdr7apvQEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDIgICCZKFLM/clv1c_ek-wBHfWbcbSXg5XYzuf6N77JoNYjoPTQn6pUdrB2hpwnlPcppy2e2gy2CG0FfrH1MZIeOP8ztC8rIFmwUzRM9ZUu1_QfNkIKidAL1FE1tkc3wjBwLRZay744anEh_H3iY-iHoWYsCxvc9TsX4qze9XeqB2dlVFaiNXM-1f6TQIdTN8x4aJw-eeKdtD2M7t-lirAjUJH79foloO9tV5K26HfGBtbYGw38C1upqVVCRJKdw7HiUcN11zS2gw54g56yszwQ7Fx911NB896o3tzLBLqW8V-x8hPqRX_5iREC9uwOrywPVUAvH19D2vTxGgWlDBCcJl3HpOImErEjWmQ4Kgc1lZLVo-85pD-w3ma8B4MVX55c_oQFa6LPzpq_vknAtJdj8Y9IrRqyzgD_Hc4IEmK85Au0CHY_Si-eLFgP1t__-3m7hSpsdE6zv9c2NDzXvBmJxLStlIzJDO5fw9I6_OGirs2vymsgsjXNHGuntgbgLia4yNEsacAvcHArNle_KRu6P6BACB6r67RxkdsjUsEtdEka-6-DpxDWgaM9hStd7j6PDQQHOvIUMp05JpBHVLlG7Gdf8ekKeR6E07aecmmKEPhMETjzk6n85g6VYq4R_TCO_tgnX2UtcXazi8ZfwpejQuNc6q0h01EwVq_VX8gi5Kb2oKzBK84QCZAKVSjicAG3ip-WSNqsGkdbL0YphaSICE2X68QDxj3U9K5u40wdU6S-2sOlVzCuUQz9fS0DLOiV_KQ9QEo-_itAGIra8l60cze3r9OE-7w14eszWHtmBHbK5Ef1PeagJZFQ6dsvV02Ml6TmRDuev-6FFORDcHdgedg_8Lle08JHSlZMEsuu8esrLIbpb0iKKQO1xN2sTAVbWSZZHMP5BJOx0FauVqHXigdae4dKQIGC6f6ZPOdMPi81bedphGU3xoUsEmB-ZlitZQ4aB3BeWlFRghmIse9JV5NvY0eyQYDxO3j2OyEf4u9CXxPzAZo9sNGfotj7cIKXxbJBXyCa-EwlK7o7nUFjmkLlpdmxcD3xUHLxTqrYaJ8-9uW0xyYmfcjUMpQp-1DyHhIHETSj9BX-MUq-tLZC9SV9UZq1MP7ZbfDKbpFxocIHqz53B8WZQ8RzjfCG2rrXXwtcRgCz4_a2gP8Ipd69x2dMlwgJe5-68_smxHMZoP8-XJhXaf8dnrhTeyDGO2c8r4AhdBFZHsQpJiTEI9Hg2vD0B_w0sHXYKc5cRE0J3uFdit7lUOif2cxfvEnOkEQrMRGlV0fo3b41624HaM8d4AUTDJr73YCt4Ld6maV0CYq-Fp6jYo9jxROxBq_PyLRwUsjzZGM6vfRca8xN9csJWM5OjkP_-2zLofd7Z6mUXdDwRPnGliz-m7FDZ67b85sG1FKZLTd2R2wVSyL3F620dxDPahheenTFdSNUZ7j_qRMqJtzgp0FzvqRWOw4ca6ZS0nx7EAlLyfEVsPP_01dZdCNxYbKEnchtXODTtvGsZNXQljrL6hmlLFe01l42QWcP76uJizf4r_n2eNStawpSc5l4U4qoRsfYIHFyFf2zKTZ1_MdaWEKf2PqrPC5YWjO2Bgy4hSRj5qxsqZmPEiFxxY7LTQ0uTjWl2eDuJjtYuiIOYegqprJGLexcnlzkAnRk7y6BpzcsopDUVIv7tcA4pYcU9LVAkPjLkZBkCfjgZUI44yNPJjoVQ/https://www.amazon.com/stores/page/E8821999-D72F-4887-8CB4-AFB34BB977F5/?_encoding=UTF8&store_ref=SB_A08333053HULCLY2K1EHD-A04812472WAWLYN8JNGPQ&pd_rd_plhdr=t&aaxitk=f586ca5ce3355b4b0bd22f7682fea5dc&hsa_cr_id=0&lp_asins=B0DWX8MXK6%2CB0DWX7Z8F2%2CB0CFFFCWR9&lp_query=pride%20month%20party%20decorations&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=HS4ou&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=V998PZ7J0XZXD3XEE722&pd_rd_wg=Fqt9O&pd_rd_r=11544869-53d8-4257-bc0e-c938c94f7057,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/1d84a0e2-8539-493f-b89c-c2be5c10c23d._CR0,0,1000,1000_AC_SX130_SY60_CB1169409_QL70_.jpg",,Pride Flag,2026-04-21T11:04:43.959221,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T11:04:43.960044,
3,1,Organic,,1.0,B0F26VJVT4,"8Pcs Gay Pride Hanging Banner, Love is Love Pride Banner, LGBTQ Rainbow Heart Garland, NO-DIY Pride Month Decorations Rainbow Birthday Bachelorette Baby Shower Bridal Shower Party Supplies",N/A,$9.99,,4.9,12.0,False,https://m.media-amazon.com/images/I/71Qf2nwNjtL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Qf2nwNjtL._AC_SL1500_.jpg,,2026-04-21T11:04:43.965807,
4,1,Organic,,2.0,B0CZMWBB8D,Progress Pride Flag Backdrop for Photography Every One is Welcome Here Banner Gay Pride Day Month Parade Rainbow Party Decorations and Supplies for Home,N/A,$11.99,,4.8,23.0,False,https://m.media-amazon.com/images/I/71xeH1R7XVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71xeH1R7XVL._AC_SL1500_.jpg,,2026-04-21T11:04:43.970535,
5,1,Organic,,3.0,B0DZ6HNRLX,"10 Pcs Pride Month Table Decorations, Pride Centerpieces for Tables Rainbow Party Decorations Double Side Pride Centerpiece for Rainbow Theme Table Toppers Home Party Supplies Gifts",N/A,$8.99,,4.5,162.0,False,https://m.media-amazon.com/images/I/817MlbdAhzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817MlbdAhzL._AC_SL1500_.jpg,,2026-04-21T11:04:43.976194,
7,1,Title,,,,"Debug info copied.SponsoredLOLStar Rainbow Party Decorations, 2 Pack Wavy Metallic Tinsel Foil Fring",,,,,,False,,,,2026-04-21T11:04:43.977139,
8,1,Title,,,,Pride FlagSponsored|10K+ bought from this brand in past month|Shop AhfuLifeShop nowPrevious pageAhfu,,,,,,False,,,,2026-04-21T11:04:43.978234,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:04:43.978368,
10,1,Organic,,4.0,B0F6LJBVZ6,"LGBTQ Pride Month Banners Decorations, Gay Lesbian Rainbow Hanging Ornaments for Mantle, Love is Love Pride Bunting Garland for Bisexual Transgender Celebration Party Supplies",N/A,$3.49,,5.0,2.0,False,https://m.media-amazon.com/images/I/71OqzS+xP7L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71OqzS+xP7L._AC_SL1500_.jpg,,2026-04-21T11:04:43.981629,
11,1,Organic,,5.0,B0D1XX4C6V,"Pride Banner, Be Yourself They'll Adjust, Rainbow Pride Month Decoration, Glitter Rainbow Banner, LGBTQ+ Party Decor, Gay Pride Decor",N/A,$9.99,,4.6,16.0,False,https://m.media-amazon.com/images/I/71-nj07MBtL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71-nj07MBtL._AC_SL1500_.jpg,,2026-04-21T11:04:43.984995,
