data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T11:06:32.209747,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T11:06:32.210733,
3,1,Organic,,1.0,B0DXRY8JQK,"Pride Decorations, 97PCS Gay Pride Party Supplies with Banner,Balloons,Handheld Flags,Rainbow Curtain,Tattoo Stickers,Paper Pompoms,LGBT Month Decor, Gay Party Decorations",N/A,$13.99,,4.5,10.0,False,https://m.media-amazon.com/images/I/91xq0aJeHeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91xq0aJeHeL._AC_SL1500_.jpg,,2026-04-21T11:06:32.215974,
4,1,Organic,,2.0,B0DTTYX885,FillTouch 350 Pcs Disposable Gay Pride Month Party Tableware for 50 Guests Rainbow Paper Plates Love Napkins Cups Knives Forks Spoons for Gay Pride Party Lgbt Parade Festival Events Club Dance,N/A,$30.99,,4.7,180.0,False,https://m.media-amazon.com/images/I/81HxbZrsl0L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81HxbZrsl0L._AC_SL1500_.jpg,,2026-04-21T11:06:32.220893,
5,1,Organic,,3.0,B0BVR9L5XD,"Hananona 12 Pcs Rainbow Folding Fans Colorful Hand Held Fan, Rainbow Party Decoration, LGBT Pride Month Fans Hand Folding Fans for Women/Men (Rainbow, 12)",N/A,$14.99,,4.6,153.0,False,https://m.media-amazon.com/images/I/71Dxr2AgVjL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Dxr2AgVjL._AC_SL1500_.jpg,,2026-04-21T11:06:32.227723,
7,1,Title,,,,"Debug info copied.Sponsored30 Sets/ 60 Pcs Pride Month Gifts Bulk, Include 30 Rainbow Silicone Brace",,,,,,False,,,,2026-04-21T11:06:32.228748,
8,1,Title,,,,Rainbow Gifts for LGBT Pride MonthSponsored|Shop RoowestShop nowPrevious pageRoowest 200 Pcs Rainbow,,,,,,False,,,,2026-04-21T11:06:32.230893,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:06:32.231157,
10,1,Organic,,4.0,B0F1TNK6ZL,"Be Proud of Who You Are Banner, Pride Month Decorations, LGBTQ+ Pride Banner, Pride Month Party Supplies, Rainbow Glitter",N/A,$10.99,,4.5,3.0,False,https://m.media-amazon.com/images/I/71h+wnCtHFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71h+wnCtHFL._AC_SL1500_.jpg,,2026-04-21T11:06:32.236818,
11,1,Organic,,5.0,B0CZMWBB8D,Progress Pride Flag Backdrop for Photography Every One is Welcome Here Banner Gay Pride Day Month Parade Rainbow Party Decorations and Supplies for Home,N/A,$11.99,,4.8,23.0,False,https://m.media-amazon.com/images/I/71xeH1R7XVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71xeH1R7XVL._AC_SL1500_.jpg,,2026-04-21T11:06:32.241624,
12,1,Organic,,6.0,B0D25VZFTH,"Pride Decorations, 177PCS Gay Pride Party Plates and Napkins Serves 25, Set Includes Dinner and Dessert Plates, Napkins, Cups, Banner, Knife, Fork and Spoon for LGBT PrideMonth",N/A,$19.99,,4.2,19.0,False,https://m.media-amazon.com/images/I/71Q1XCRMlWL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Q1XCRMlWL._AC_SL1500_.jpg,,2026-04-21T11:06:32.246803,
13,1,Organic,,7.0,B0CY5BXT73,48 Pcs Pride Ballpoint Pen Month Lgbtq Rainbow Party Favors Black Ink Retractable Ballpoint Pens for Gay Lesbian Gifts Gay Party Supplies Favors Accessories in Bulk,N/A,$15.99,,4.4,89.0,False,https://m.media-amazon.com/images/I/81RZ2XzquJL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81RZ2XzquJL._AC_SL1500_.jpg,,2026-04-21T11:06:32.253756,
