data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T13:10:26.920614,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T13:10:26.921403,
3,1,Organic,,1.0,B0GHNCZG4H,"4th of July Decorations - 2 Pack Red White and Blue Streamer for 250th Anniversary | Fourth of July Accessories Party Favors for Outdoor Outside Home - Memorial Day Patriotic Flag Banner Decor,10 FT",N/A,$3.98,,4.5,47.0,False,https://m.media-amazon.com/images/I/81qzXpx7zrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qzXpx7zrL._AC_SL1500_.jpg,,2026-04-21T13:10:26.926910,
4,1,Organic,,2.0,B088FLY7S8,"12 Pack Small American Flags on Stick Small US Flags/Mini American Flags for Outside 4x6 Inch American Hand Held Stick Flags with Kid-Safe Spear Top, Patriotic Veterans Day Decorations, 4th of July Decorations",N/A,$5.99,,4.6,3997.0,False,https://m.media-amazon.com/images/I/817zxE5-iIS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/817zxE5-iIS._AC_SL1500_.jpg,,2026-04-21T13:10:26.931863,
5,1,Organic,,3.0,B0GJBDD4XZ,Kochorie 3 Rolls 100 Ft X 45 Inch 4th of July Plastic Tablecloths with Cutter Box Red White Blue Patriotic Disposable Table Covers DIY Backdrop Curtains Party Decor for Independence Day Memorial Day,N/A,$43.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/81lSFnTxmVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81lSFnTxmVL._AC_SL1500_.jpg,,2026-04-21T13:10:26.935585,
7,1,Title,,,,Debug info copied.SponsoredNAZENTI Personalized 250th Anniversary 4th of July Door Sign with Family ,,,,,,False,,,,2026-04-21T13:10:26.936428,
8,1,Title,,,,"party decorationSponsored|Shop GatherfunShop nowPrevious page4th of July Party Supplies Set, Patriot",,,,,,False,,,,2026-04-21T13:10:26.937630,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T13:10:26.937822,
10,1,Organic,,4.0,B096DQY4G8,jiebor 30Pcs Red White and Blue Decorations Star Swirl Garland Banner Hanging for Memorial Day 4th Of July Independence Day Labor Day Home Party Decorations,N/A,$6.99,,4.4,88.0,False,https://m.media-amazon.com/images/I/71kNwm6sxaS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71kNwm6sxaS._AC_SL1500_.jpg,,2026-04-21T13:10:26.941134,
11,1,Organic,,5.0,B0D6YCBBH5,"BAUANOOY Red White and Blue Balloons, 60pcs 12 Inch Red White and Blue Decorations with Confetti Balloons for Independence Day Patriotic Anniversary Veterans Day Graduation Birthday Party Decorations",N/A,$6.99,,4.7,895.0,False,https://m.media-amazon.com/images/I/717XJAkBwcL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/717XJAkBwcL._AC_SL1500_.jpg,,2026-04-21T13:10:26.945884,
12,1,Organic,,6.0,B07SVXSKCK,6 Pack Patriotic Star Streamers Garland Red White Blue Bunting Banner Paper Hanging Decorations for 4th of July American Independence Day Labor Day Holiday Memorial Day Party Supplies (50 Feet),N/A,$6.97,,4.6,1633.0,False,https://m.media-amazon.com/images/I/71ae9SUJ9jL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ae9SUJ9jL._AC_SL1500_.jpg,,2026-04-21T13:10:26.951446,
13,1,Organic,,7.0,B09XX27TX7,4th of July Patriotic Decorations Red White Blue Hanging Paper Fans for American Fourth of July Memorial Day Independence Day Veterans Day Party Decor Supplies Set of 12,N/A,$8.99,,4.5,137.0,False,https://m.media-amazon.com/images/I/81WAJ-5HSVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81WAJ-5HSVL._AC_SL1500_.jpg,,2026-04-21T13:10:26.957213,
14,1,Organic,,8.0,B0CYXGRNHL,"Hananona 12 Pcs Artificial Chrysanthemums Flowers Patriotic Flower, 4th of July Fake Mums Flowers Silk for Home Decor Indoor Memorial Day Table Centerpiece Vase not Included (12, Red, White, Blue)",N/A,$13.99,,4.5,927.0,False,https://m.media-amazon.com/images/I/71O-iH7qSkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71O-iH7qSkL._AC_SL1500_.jpg,,2026-04-21T13:10:26.963213,
15,1,Organic,,9.0,B0GQT2YND1,"4th of July Table Decorations, 3Pcs Red White and Blue Decorations, Retro Patriotic Memorial Day Tiered Tray Decor, Labor Day Independence Day Fourth of July Decor for Home Office Shelf",N/A,$13.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/71OPVh8tmBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71OPVh8tmBL._AC_SL1500_.jpg,,2026-04-21T13:10:26.967479,
