data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at
0,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-14T18:07:07.292833
2,1,Organic,,1.0,B0FVSZ43QZ,"Artificial Faux Flowers Plants for Outdoors Outside Spring Summer Decoration,12 Bundles Silk Daisy Realistic Fake Flowers Plant Greenery UV Resistant for Planters Porch Patio Garden Home(6 Multicolor)",N/A,CNY 135.15,,4.7,130.0,False,https://m.media-amazon.com/images/I/91jxEs0mNpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91jxEs0mNpL._AC_SL1500_.jpg,,2026-04-14T18:07:07.300047
3,1,Organic,,2.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,CNY 68.22,,4.6,10884.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-14T18:07:07.310474
4,1,Organic,,3.0,B0DYSKPF35,Summer Party Decorations - 61 Pcs Beach Pool Party Decorations Hello Summer Banner Pool Beach Hanging Streams Decor for Home Office School Classroom,N/A,CNY 54.57,,4.7,101.0,False,https://m.media-amazon.com/images/I/81Zdymfw6zL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Zdymfw6zL._AC_SL1500_.jpg,,2026-04-14T18:07:07.315636
6,1,Title,,,,"Debug info copied.SponsoredHyeFlora Artificial Flowers for Outdoors Decoration, 2Pcs Fake Hanging Sp",,,,,,False,,,,2026-04-14T18:07:07.316157
7,1,Title,,,,Artificial Flowers with Hanging BasketSponsored|40K+ bought from this brand in past month|Shop INXUG,,,,,,False,,,,2026-04-14T18:07:07.317165
8,1,Title,,,,More results,,,,,,False,,,,2026-04-14T18:07:07.318165
9,1,Organic,,4.0,B0DS6FWLYC,"AVOIN colorlife Hello Sunshine Floral Sweet Summer Time Throw Pillow Covers, 18 x 18 Inch Popsicle Ice Cream Polka Dots Stripes Best Summer Ever Holiday Seasonal Cushion Case Decorations Set of 4",N/A,CNY 88.71,,4.6,42.0,False,https://m.media-amazon.com/images/I/81b6UF50-xL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81b6UF50-xL._AC_SL1500_.jpg,,2026-04-14T18:07:07.324672
10,1,Organic,,5.0,B0CQV2P4FX,"12Pcs Summer Party Decorations Honeycomb Centerpiece, Hello Summer Party Decorations Centerpiece,3D Beach Summer Decorations Honeycomb Centerpiece for Summer Party Beach Party Decorations",N/A,CNY 68.22,,4.8,46.0,False,https://m.media-amazon.com/images/I/81OM2qVPj1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81OM2qVPj1L._AC_SL1500_.jpg,,2026-04-14T18:07:07.328494
11,1,Organic,,6.0,B0CTCZSZLC,"Spring Summer Wreath for Front Door,Farmhouse Magnolia Porch Decoration,Front Door Hanger,Housewarming Gift, Buffalo Plaid Year Round Wreath,Summer Home Decor",N/A,CNY 252.54,,4.6,1507.0,False,https://m.media-amazon.com/images/I/81Rl7bPfnYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Rl7bPfnYL._AC_SL1500_.jpg,,2026-04-14T18:07:07.333007
12,1,Organic,,7.0,B0721468V1,"JOYIN Inflatable Swim Tube Raft (3 pack) with Summer Fruits Painting, Pool Toys for Swimming Pool Party Decorations",N/A,CNY 115.96,,4.6,8361.0,False,https://m.media-amazon.com/images/I/71cpqrIteIL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71cpqrIteIL._AC_SL1500_.jpg,,2026-04-14T18:07:07.337360
13,1,Organic,,8.0,B09QM5XX82,"Uieke 3 Pack Artificial Sunflower Garland, 7.5ft/Strand Silk Sunflowers Hanging Vines Flowers with Green Leaves for Room Kitchen Garden Birthday Wedding Baby Shower Party Table Decor Large",N/A,,,4.4,1389.0,False,https://m.media-amazon.com/images/I/81qgOQNv7KL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qgOQNv7KL._AC_SL1500_.jpg,,2026-04-14T18:07:07.347934
14,1,Organic,,9.0,B0DP2FLFKM,‎Renbuzhu 15PCS Pool Party Decorations Beach Ball Paper Lanterns - Summer Luau Hawaiian Themed Hanging Decor for Home Birthday Outdoor Indoor,N/A,CNY 109.20,,4.5,126.0,False,https://m.media-amazon.com/images/I/81SAWFpzVML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81SAWFpzVML._AC_SL1500_.jpg,,2026-04-14T18:07:07.352442
