data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,Title,,,,FiltersMost Purchased& UpAll DiscountsToday's DealsUp to $10$10 to $20$20 to $25$25 & aboveGet It Fa,,,,,,False,,,,2026-04-16T15:32:34.435223,
1,1,SB,1.0,,,Spring Home Goods,https://aax-us-east-retail-direct.amazon.com/x/c/JLKXg94ZZwSKe-3zIGArTz0AAAGdlTSzUgEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDIgICDPHfcI/clv1c_ek-4BPHXKkTQnuOtOS4cC_HYGXqSev72B2YB0hvDvt8yG8JKofKnCGEQQXqHL9aQeK-I4YLJN-qnqfuLdW-Jr64edDd4S9DOdKYgRABeR_dAZ8nWygkWh5flxol1IXIb7-AxDgUb2F_gEzbw3t_t_SLG1G0cl1eCgkQ67zSj0cJrucucGU4B3uOx_10kAhudV2P7dWFqP_8o1-3gncy0wmub0MsbQUi7gdvHjQ2LmhrfTENpk5Uxvh2tPde5OoWvnBOZ9vXYTVb0TsDkulbUA_JLdL51TQh2vl199suMn7OkgF3-CrbOLqT2ek8J_bAGIPUhSzGVKKFZlF0kdCgnuyabVJ7A1v5fNzRf1Xg73mdek1072HBp3YCr9NU5rd8jjhapUlqKD5if0PUp1EyjjnooZSV1aLn3UWQFD8tyKaySXaG4y9TvYjonfW9VeDTmgcg5gRBVBl9j40KStCqYlt32w5iDOpROVAoGytYVX-8swKocw93LNW6T3V8yuExLJ0a4muL78jBQDylkjtT6cVczddSNarI3cIlgTIyW4YTKCRHvlhppDqipomNiy5DrL7MYJYYz65xneQE1d_ObsbuGoCMh-SbWfY8MHgw16PCWilL408UfUBuSqTWrEauoZ1XWrLGe6hLSEFJPmYzU1ULKAHKSUiP3rnkyKwdUAINl9GQp7oZG0LY7hui_k_24HB67tRdQLUJb7EjAZsPuLYMiQMiZHdxhOYlxMm33cuefK3KkkE2XOvOu4e9wqDqeacQY21jfaXDz83kmzeL7u82vqUqPcwSrnCEnG3Rhvw-xqcjdAgN2wVHyH0q8IX55tKX-UkUEFzBLiMvfjAEOe5Dp00ihD7z-ysFVK4KScSvZ8ESO4-uLGrNifs1YPgL43NsLcipsOaTGpKL0kbvJDZEuObuifHCCBa-AVuh2c8xvnbLZwSCOJD0NnXZC8jCZA9ILupWSRbVzC04FvE8UR7ahF-X8W738oDbHTzwufmkLSvslRKZEKv_Pd_N3tB3FRwE-HGvi0FLt1bVwKxWAzDk1KiGZW_dBJh1upqaMDfC-8RC4BllMlbvGVUDwLLPQ1YQ-oE2Iy9-nPdU3lgljEPeifXj0RR52U_yOKfigm2OQxEkEcyVWAkAnoFYg2wTTybeA7C2gJ6ZU7PfS4d_RPA2UyyLv4-OYQJN08IRqcjDP41PzGFAhZuqhQCLxASOWwfl2--vwpqPq3ddaaWlOBh9s6hHW49m9I9_ssLLGopQY-lovzo3ovKR2aBNMl9syKq2rbvyh7KZwjG2siBffiaAk-E6qfOOpwoB5JOZ2zeXhyrTrWGeZkIwwLNULs5azSy8F0mk3n5T70v1onKkpDVM75YBxGlzPhk6JW1Tabp8yQIec27aUr6MZ6MLeUBTys793Rj0I_eewVWYD7X3ZMYPkdDul5DPRLZtL7nlZvoZ2OvM51qzmHqXRB2C44RVVwOaPeX5k-vkDBgInVwcFNjcA_r93qL_7s5CEG7tXuExPnfJya3eB6-k2ckRY9b01RO-bGz-ZM1X7F6d7nIfXWu23ZyTFNJP6ozZFnxEjTQerAoKwViB5hVGuuAOwF1lJPKxZ-eVGRi1ZUdVUhOsAUGs18ffJARtX0o6y9Q3mdOp7vAlJiNSgTMKArO_FsMEr6YNu_gZ_UMYtVkZOi_4ARx8WCTpnVF2SLF4-Dg/https://www.amazon.com/stores/page/0A268C56-05CC-46D2-9ECC-F29E8BE8C998/?_encoding=UTF8&store_ref=SB_A03102851ZFGXX01KTHUJ-A0992199FLA8U9JLWXFR&pd_rd_plhdr=t&aaxitk=1bb52ffabbc7cd44d7477d7ad798d689&hsa_cr_id=0&lp_asins=B0DJZS4Z1F%2CB08WJK4MSV%2CB0CNS2VGTV&lp_query=summer%20decorations&lp_slot=mobile-auto-sparkle-tetris&ref_=sbx_s_sparkle_sbtcm_bkgd&pd_rd_w=iIiUr&content-id=amzn1.sym.aaeb8a5f-b8dc-4432-a5cb-67b920049d8c%3Aamzn1.sym.aaeb8a5f-b8dc-4432-a5cb-67b920049d8c&pf_rd_p=aaeb8a5f-b8dc-4432-a5cb-67b920049d8c&pf_rd_r=3DWSMX3CFDHG062XB7XM&pd_rd_wg=AjNF7&pd_rd_r=ac1857db-a0a1-45c5-9731-80b697a3a77d,,,,,False,,,Spring Home Goods,2026-04-16T15:32:34.438210,3.0
2,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-16T15:32:34.439209,
4,1,Organic,,1.0,B0C6X65BLF,"MISS FANTASY Summer Party Banners, Multi Color Rectangular Paper Summer Banner Decorations for Pool, Beach, Luau, Tropical Parties",N/A,$6.99,,4.7,54.0,False,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,,2026-04-16T15:32:34.446507,
5,1,Title,,,,More results,,,,,,False,,,,2026-04-16T15:32:34.447511,
6,1,Organic,,2.0,B0DYSKPF35,Summer Party Decorations - 61 Pcs Beach Pool Party Decorations Hello Summer Banner Pool Beach Hanging Streams Decor for Home Office School Classroom,N/A,$7.99,,4.7,101.0,False,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,,2026-04-16T15:32:34.453547,
8,1,Title,,,,0:00Debug info copied.SponsoredINQCMY Artificial Fake Hanging Plants Flowers Basket for Spring Summe,,,,,,False,,,,2026-04-16T15:32:34.454512,
9,1,Title,,,,Sunflower bumble bee decorSponsoredPAPER JAZZ Sunflower Party Decorations Sunflower Bithday Paper Fa,,,,,,False,,,,2026-04-16T15:32:34.455543,
10,1,Title,,,,More results,,,,,,False,,,,2026-04-16T15:32:34.455543,
11,1,Organic,,3.0,B0B4VLGT76,Jetec Summer Slippers Hanging Sign Shape Welcome Hello Flip Flop Wooden Door Sign Hanging Plaque Rustic Wall Sign Yard Indoor Outdoor Garden Decoration with Rope (Hello Summer),N/A,$7.99,,4.4,1166.0,False,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,,2026-04-16T15:32:34.460512,
