data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Camping Themed Party Decorations,https://aax-us-east-retail-direct.amazon.com/x/c/JEcUoVWxEMWNmLx3tiFppDIAAAGdsAnHvgEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICB0i8Mu/clv1c_ek-wBHXWbbbeXg4WY9qoyp97Nq6EUHlD7_whBYm2NSGZoN7Ist_wk5FLK3nv68J8r4KzYLPl3Mf78N4_0R6pJi9wtz4RxyA_kUFqMSDA7MUyyRl4a-t8Dru06il0oGE7g6oBxp7A_kk-D97g1MmPfEXOI9GURhXqkez77Q-yjCQdX3YpttE7qhd9YFCR3QM0aVdYE09FBT_QhYQvlkvFL_j-SF4-HReThJNSzfjU7TygTXc-kSNPSNkJNV8Cl8l0G-ZucR4JkymcIIpRh_OsmsQFIEBJC8EKRwKTehgIcDWwCjwzMr86H38msOK1vV6xxA3KiGtTYL1X08DeCx6RAGO5zdxqZjzp1-026E4ncth6tFmInw8_TbhT4WnVXba16Fd1dVxQFQmhwXkBOUCgHbnr-8gpI2eQ1etMFq256ucsCWKUGUXkzQEiAuayIDiJbHqEYtBSXQAGGZHqrzrEKBD06g-A_DezGCOYjh65dudtEpnqNf8BSmcArv8Hkhtadeznv9rwdXEyx60PjNbCl_rztwMRw6f1GnUkMH-vE7Mq_Cap8HGsepVrPLGYrYFx3yCTO610_tRiWA3nkDvtZ6XFl3hqoLHGWEu4TMbExZpvh8Rj7eOiklIkE31HzjA4MNYt6m5Q735VsAWUks8lGTzvcHv7JaV8drLzpSNPh8SYnDBhAUMZfCBCO36FhwyUfDfIus58J0OhD6TUUCbRAIhGiMpt9SLSLzLsOh0VFxHi7_fqT1sc6U8q1K4oyvD61VtPzheATi5V_NBcTjjAUPl3qN7BapMuRNBNZsQDDnZlyJCRoCdnGLQoUCbM1pjjTOl26syu8E0RUtUbbdXq4zd2ZFstrTwI9m9ldWOraD-xd9RIzKeQoSzCrGb46nvq0V-Nao-VhdMab10Tbq56upT9QCrSU1lMxSMq0Nr3y0PP45mJyt30PZYHbfvbkEGiGEvL_qIbtSauWpDoiSnQJfOEwY9y4Af1hAycD-bw62zTv3HsDCYOCogEOWyP9I7obVUF_nkzTRb8MZHnvy2LMzQlIJ8-VXJ8qeyzIl4G8TtohN1nf_XT4Uf9g0xiRkQIvrYgB5POtYBIBegZxYk4iUz-fkr7RJJ0FdRrDYta6fe4IJj1gfP7U1TPRZcSUnUucP7IY0qP1cpvPT1ibirNdu2rPQSE7hymiXNuDdZQxqXH5heX7dN8NX9i2lpVtTO6pfrlC6LUmWACFlWk896VOrmIPSzRG1ESKVkcalQjE-cX2GwSIL1gKXVSu7QCbh55stHIJixvMeuVz1QGbrZltb8xWxGicizWk3E-bDKpof0EiJr2AHmXLuNQwIZan4JqBbOWzCy2yr3y31ZgDXU6knDE0kayTyqT8MhaiBY__JTm0PC9MYMhN7IkseckhW0yrpVx59D2d9ATMxjzCSwHqk7OsWoZ8jJor4QFLuq9wcnhg6VjOcamx8ENgYuq8uPrezV_r8sJ27a64ZTeEqiBEadnmV__rTZZQLcmywgVYeNOK-NWIyFsOnSgYi1GY4W2g0nlsxQyQjGA6Wpdp7_MMnmCp8LL18Yi27sUc0Y-rR3Du14wJxCqUyiwZZup9_91vYjeCy2XUzDirNk3V2pQf8aUsnLtMAOmcLg9stlA-tuHdIBfmBydhYDbOcwZ4BHQye79qe1GlCizHBjFOlryUh7v1gw/https://www.amazon.com/stores/page/67D952C8-5D34-4DD0-8B3C-8C75AA93DAF4/?_encoding=UTF8&store_ref=SB_A02070671FGKWSZE2L2LP-A08545016DASF4C5IAIR&pd_rd_plhdr=t&aaxitk=fce70cafe61f4d0f5f6debe51d0ab621&hsa_cr_id=0&lp_asins=B0G2G95V1F%2CB0BRS2HPWJ%2CB0DYN9P7V9&lp_query=summer%20camp%20door%20banner&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=TzYf0&content-id=amzn1.sym.15c9e6e9-b83a-41a9-bfc7-ecd1e6138b44%3Aamzn1.sym.15c9e6e9-b83a-41a9-bfc7-ecd1e6138b44&pf_rd_p=15c9e6e9-b83a-41a9-bfc7-ecd1e6138b44&pf_rd_r=15EPDSFA2A5JC3FWDRDP&pd_rd_wg=imn62&pd_rd_r=294d81fd-daba-4e1a-9efe-a086be42ba19,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/ebe037c6-ded1-4790-9cbb-c1647dec76a1._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.jpeg",,Camping Themed Party Decorations,2026-04-21T12:35:31.884985,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:35:31.885915,
3,1,Organic,,1.0,B0G6Y44B9X,Camping Door Banner Decorations for Kids Adult Happy Camper Porch Sign Welcome Camping Party Front Door Banner for Outdoor Indoor Summer Camp Adventure Themed Birthday Baby Shower Decorations Supplies,N/A,$9.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/71Ym+krlOvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Ym+krlOvL._AC_SL1500_.jpg,,2026-04-21T12:35:31.890782,
4,1,Organic,,2.0,B0BV21BSRG,"Summer Party Decorations Porch Sign, 71"" X 12"" Hello Summer Banne for Office Indoor Door",N/A,$9.99,,4.6,94.0,False,https://m.media-amazon.com/images/I/71WsYe4+xCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71WsYe4+xCL._AC_SL1500_.jpg,,2026-04-21T12:35:31.902052,
5,1,Organic,,3.0,B0DWXLQG6F,3Pcs Camping Party Decorations Porch Banners Backdrop for Summer Camp Campfire Adventure Door Cover Camper Theme Birthday Baby Shower Photo Booth Props Supplies,N/A,$11.99,,4.6,20.0,False,https://m.media-amazon.com/images/I/71-c7DxLHwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71-c7DxLHwL._AC_SL1500_.jpg,,2026-04-21T12:35:31.909029,
7,1,Title,,,,Debug info copied.Sponsored3 Pcs Hawaiian Luau Party Decoration Banner Summer Tropical Door Cover Pa,,,,,,False,,,,2026-04-21T12:35:31.910638,
8,1,Title,,,,Sunflower Hanging BannersSponsored|Highly bought brand in party banners|Shop TatuoShop nowPrevious p,,,,,,False,,,,2026-04-21T12:35:31.913313,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:35:31.913558,
10,1,Organic,,4.0,B0GJ5T7L6K,"CCINEE Camping Theme Party Banner Decorations, 2 Pack Welcome Happy Camper Banners Washable Camping Signs for Campsite Picnic Hanging Decorations Classroom Porch Sign 71"" x 12""",N/A,$6.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/61FwSSKY9RL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61FwSSKY9RL._AC_SL1500_.jpg,,2026-04-21T12:35:31.920110,
11,1,Organic,,5.0,B0F52RK95F,Peryiter 3 Pcs Camping Themed Party Decorations Banner Welcome Porch Sign with 1 Double Sided Tape for Summer Camp Birthday Hawaii Baby Shower Themed Party Activity Decor Door(Natural Style),N/A,$16.99,,4.3,41.0,False,https://m.media-amazon.com/images/I/71MYj6w2JvL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71MYj6w2JvL._AC_SL1500_.jpg,,2026-04-21T12:35:31.926884,
