data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Travel Activities for Kids,https://aax-us-east-retail-direct.amazon.com/x/c/JIvEwMOqtesYC0sSWASU3bMAAAGdtBHx8QEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICAwFEOH/clv1c_ek-wBIPXIkbXDv4is65tu16QUGhz8qKF76PpoIfkmyiqQu_yUAVbuEddpTiqv8iR2hmeUach6xm15Twlhh02rz_qj3khozSefix1oupi7A4uIB_H7nnR2Gzx7nl0s25ZxtZXW1quM3OQQxTOD1BwmtXTgN-ENlXtpgT619dqz4wOSQufG1qsLZksvIBrK7w-nhw8LoSkjQfOpQQ8NgXB526rUA6rIY53V0V-1H4vL9BNMDZ2JP6k1xMNHcjyR3bJNChSvn6YW7T7ubLXlNGzSosgRiwiprkBYuQIakfrQBjmcTYpg92zNl3HYm1p1ICsBPPuOJOoMba9VFdV3yRoYgO8X9SvvQEpcbs_A81PEivxJJZ8SWpnvoipBX5C9DPb0S9u7hU_RmcUxOIVLLTwkdppJ9btEltAbXIG4XmYyomvvzRem9GFhTdNu-d2OW75d7Spgp9Si8oOxzTQNj9KxEZ7t5qyRXdwTcwxNmB1nu4F2mLq5cYpx5sW9dFeVJ8qu4H0isKwAPzguRDh-5KKNr6piMaKuEH122Sfm4lJEu1IOaG8FLGutOeMSqb76QzH84S1DX7VjzBJsHM6uxxwR9e8YiCIQp7yE_dTAGrD_4EMm8qvlClrG1SZk8efdx7pIGCNZO72aVnKkuUj-tIJD0MZYO6RNDscV6YepKFOEdQldgOsTrt6rDXjBWcPYeGLLKF0HdQmNVnVhw-jBN2-KOMzNZ0jP-vG3kT0UrwpXiLhaaPsx5IQhAmoppXxqkcrY6L2tTVTNQ3J51Qu8Xb2q5FfLmsSeJaC0bBISR5ucErNMlsOuN9GcdAScF2EyCNjad3xurJ-lXeUG2lgoIqpvTZxnYMnnxGa69tAg62RXnLlvGGKs9eOszGWKmB5gQRDyN91zrRv_jRGYtNF98exiwzNnlY4U2w7KpJcbrws24VaCYTmdOiTDJfb2Rb0bqM4kJwgvPhYZcJxc8GiKu8Vf75fz9qRhtCHOLjCDvcOOSH4fL2byH6iSNQBwW5eKJh5zl6XP4J8IwLe3ypPtdiy5CZ7gv-J7LB1t93VEez2iBy06TahM_OK_WxFajCm4DvQzERNoV3KykPk7X59EwR7OVPUvy-9AkPNb3ZJPJQ7ZIj1pZ13BqIRdrtpm1acs8Ra6OHQgQvdY0j5pq1yTdEpBcmNIYRgBgBV3d2qAXrhVbcPg7qFOYx1LM848i4eibE2pSM9IEjLQwg_4JfDKGyI5afZ3Mf-b_vVLyNv9zWsdeXxlP0bY3xvX6i2Ppfq-6WDI_LN0XKToocihWk7YQ5Uh3L8XQe1LkZrjAGOPJ-mKVbN7s5JHWDG1U23tD4KL457qBO7UF4zVgUZGjUagsk_f3IGp3cP3VqSH5MJKuBuGYFULByZbOEsiQ-8TZWUEuinaS62rUL3QhvA7JXHIXQpt-nXMyqJ9PKrw0kaALicbo6vX-SQCQ_aIucqBYAN4bx0IWeyqVwvQ2FQWJJT4KeGFWGf3ORSfT9W-ZRjhunLpj6HW3T4rgP2fUjioNG_CxfSgI4nPzTU2Pbxm5ZHehd-ZrPnStny7OFOqJCBsrWtfWjGC7qGlgukkPTGiMwbcJIMi-U-N5F9jUytkhezJJDi9ZI8U-dZ5KlP3nhaHepwYNkJ55rdwaiuRR7JI9LtbhM49JeUqXRZZvKBOqnmowO83V7_qLnfB_Bu-wvYpyKD/https://www.amazon.com/stores/page/DBC38549-974F-48C0-AB3D-93F4CBDDC59B/?_encoding=UTF8&store_ref=SB_A0149544926FCABD643D-A0962715395MYGX979JJD&pd_rd_plhdr=t&aaxitk=20ef2c70a5611a1beb6fdd0949a54013&hsa_cr_id=0&lp_asins=B01KYLLOFE%2CB00TF7ZZM2%2CB07QL3D9VP&lp_query=summer%20crafts%20for%20kids&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=S9l32&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=Z0TPV40JT1CHB3SYHQS0&pd_rd_wg=hPzAa&pd_rd_r=02a5faae-67bc-4c02-bcfd-ffd3adfdc8a0,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/634935eb-5018-4f4e-942f-2c510dac3d60._CR0,0,1800,1500_AC_SX130_SY60_CB1169409_QL70_.jpg",,Travel Activities for Kids,2026-04-22T07:22:55.885256,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-22T07:22:55.886154,
3,1,Organic,,1.0,B0DJ8TQT79,"JOYIN 36 Pcs 9""x6"" Summer Make a face Stickers for Kids, Make Your Own Hawaii Pool Beach Sticker Sheets, Luau Craft Party Decor, Summer Holiday Party Favors Kids Crafts, Goodie Bags Stuffers",N/A,$5.39,,4.8,7633.0,False,https://m.media-amazon.com/images/I/91d4reOTOrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91d4reOTOrL._AC_SL1500_.jpg,,2026-04-22T07:22:55.892613,
4,1,Organic,,2.0,B094P1WXYF,"4E's Novelty 24 Pack DIY Pinwheels Craft for Kids, Bulk Summer Pinwheel Craft Kit, Color Your Own Paper Windmill for Pinwheels for Kids Bulk Spring Craft for Kids Easter Art Games",N/A,$18.99,,4.4,226.0,False,https://m.media-amazon.com/images/I/81qP1zjZ-ML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qP1zjZ-ML._AC_SL1500_.jpg,,2026-04-22T07:22:55.897754,
5,1,Organic,,3.0,B0DXVHSV9X,Trnayi 36 Pcs Summer Unfinished Wooden Keychains Color Your Own Beach Fruit Keychains Tropical Hawaiian Luau Blank Wood Painting DIY Crafts for Summer Party Activities Arts Project Decor,N/A,$16.99,,4.7,90.0,False,https://m.media-amazon.com/images/I/81hLs3bt+xL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81hLs3bt+xL._AC_SL1500_.jpg,,2026-04-22T07:22:55.901633,
7,1,Title,,,,"Debug info copied.SponsoredKiditos Magic Water Elf Toy Kit – Squishies for Kids, 20 Gels & 10 Molds,",,,,,,False,,,,2026-04-22T07:22:55.902539,
8,1,Title,,,,Klmars Glow in the Dark Wooden Painting KitSponsored|Highly bought brand in craft kits|Shop klmarsSh,,,,,,False,,,,2026-04-22T07:22:55.903683,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-22T07:22:55.903820,
10,1,Organic,,4.0,B0C7S26G2L,"Dan&Darci Kids Sea Shell Painting Kit - Arts & Crafts for Kids - Gifts for Boys and Girls Ages 6-8, 8-12 - Craft Activities Kits - Creative Art Activity Gift Toys for Age 6 7 8 9 10 11 12 Year Old",N/A,$9.98,,4.6,1666.0,False,https://m.media-amazon.com/images/I/81UQKatVU8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81UQKatVU8L._AC_SL1500_.jpg,,2026-04-22T07:22:55.907274,
11,1,Organic,,5.0,B0DY4R1CMC,"30Sets Summer Felt Visor Hats Crafts Kits for Kids Bulk, DIY Beach Sun Visor Hat Activities with Stickers for Hawaiian/Luau/Under-The-Sea Party Supplies",N/A,$20.99,,4.7,17.0,False,https://m.media-amazon.com/images/I/9153AfDU3vL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/9153AfDU3vL._AC_SL1500_.jpg,,2026-04-22T07:22:55.911257,
