data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T11:34:46.662881,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T11:34:46.664145,
3,1,SP,1.0,,B0GSD21JXT,32Pcs Summer Craft Coloring Glasses Bulk - Hawaiian Luau Art Craft Kit- Beach Pool Theme DIY Paper Party Glasses Decor for Teacher Students Classroom Activities Camp Project Party Favors - 8 Designs,N/A,$9.99,,5.0,14.0,False,https://m.media-amazon.com/images/I/818TXFVnqeL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/818TXFVnqeL._AC_SL1500_.jpg,,2026-04-21T11:34:46.671378,
4,1,SP,2.0,,B094P1WXYF,"4E's Novelty 24 Pack DIY Pinwheels Craft for Kids, Bulk Summer Pinwheel Craft Kit, Color Your Own Paper Windmill for Pinwheels for Kids Bulk Spring Craft for Kids Easter Art Games",N/A,$18.99,,4.4,226.0,False,https://m.media-amazon.com/images/I/81qP1zjZ-ML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qP1zjZ-ML._AC_SL1500_.jpg,,2026-04-21T11:34:46.676652,
5,1,SP,3.0,,B0DXBV53QQ,"Aowplc 48 Sheets Summer Fun Make-a-Face Sticker Set for Kids – Create Your Own Faces with Beach, Tropical & Animal Stickers – Ideal Summer Crafts, Party Favors & Creative Activities",N/A,$8.99,,4.8,772.0,False,https://m.media-amazon.com/images/I/81+g15+zXRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+g15+zXRL._AC_SL1500_.jpg,,2026-04-21T11:34:46.683875,
6,1,SP,4.0,,B0FCRHWPFF,"24 Pack DIY Pinwheels Craft for Kids - Summer Spring Crafts for Kids 3-5, 4-6, 4-8 - Fun & Easy Assembly, Bulk STEM Educational Activity for Mother Day, Classroom, Birthday, Party Favor",N/A,$14.99,,4.5,18.0,False,https://m.media-amazon.com/images/I/81I0mBdogoL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81I0mBdogoL._AC_SL1500_.jpg,,2026-04-21T11:34:46.688114,
7,1,Organic,,1.0,B0DJ8TQT79,"JOYIN 36 Pcs 9""x6"" Summer Make a face Stickers for Kids, Make Your Own Hawaii Pool Beach Sticker Sheets, Luau Craft Party Decor, Summer Holiday Party Favors Kids Crafts, Goodie Bags Stuffers",N/A,$5.39,,4.8,7634.0,False,https://m.media-amazon.com/images/I/91d4reOTOrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91d4reOTOrL._AC_SL1500_.jpg,,2026-04-21T11:34:46.695574,
8,1,Organic,,2.0,B0C7S26G2L,"Dan&Darci Kids Sea Shell Painting Kit - Arts & Crafts for Kids - Gifts for Boys and Girls Ages 6-8, 8-12 - Craft Activities Kits - Creative Art Activity Gift Toys for Age 6 7 8 9 10 11 12 Year Old",N/A,$9.98,,4.6,1666.0,False,https://m.media-amazon.com/images/I/81UQKatVU8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81UQKatVU8L._AC_SL1500_.jpg,,2026-04-21T11:34:46.702233,
9,1,Organic,,3.0,B0F5LRSPTY,"80PCS Wooden Summer Ornaments to Paint, 10 Styles DIY Blank Unfinished Wood Beach Cutouts Ornament for Crafts Hanging Decorations, Watermelon Surfboard Slippers Coconut Tree Home Decorations Gifts",N/A,$13.99,,4.7,480.0,False,https://m.media-amazon.com/images/I/81hcAs1yxZL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81hcAs1yxZL._AC_SL1500_.jpg,,2026-04-21T11:34:46.706006,
11,1,Title,,,,"Debug info copied.SponsoredKiditos Magic Water Elf Toy Kit – Squishies for Kids, 20 Gels & 10 Molds,",,,,,,False,,,,2026-04-21T11:34:46.709138,
12,1,Title,,,,Klmars Glow in the Dark Wooden Painting KitSponsored|Highly bought brand in craft kits|Shop klmarsSh,,,,,,False,,,,2026-04-21T11:34:46.712274,
13,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:34:46.712480,
14,1,Organic,,4.0,B094P1WXYF,"4E's Novelty 24 Pack DIY Pinwheels Craft for Kids, Bulk Summer Pinwheel Craft Kit, Color Your Own Paper Windmill for Pinwheels for Kids Bulk Spring Craft for Kids Easter Art Games",N/A,$18.99,,4.4,226.0,False,https://m.media-amazon.com/images/I/81qP1zjZ-ML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qP1zjZ-ML._AC_SL1500_.jpg,,2026-04-21T11:34:46.716946,
15,1,Organic,,5.0,B0DXVHSV9X,Trnayi 36 Pcs Summer Unfinished Wooden Keychains Color Your Own Beach Fruit Keychains Tropical Hawaiian Luau Blank Wood Painting DIY Crafts for Summer Party Activities Arts Project Decor,N/A,$16.99,,4.7,88.0,False,https://m.media-amazon.com/images/I/81hLs3bt+xL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81hLs3bt+xL._AC_SL1500_.jpg,,2026-04-21T11:34:46.720731,
16,1,Organic,,6.0,B0CVWZCWGW,OHOME Summer Giant Coloring Poster/Tablecloth - Summer Decorations - 30 x 72 Inches Jumbo Paper Coloring Banner - Kids Crafts Gifts Toys Games Ice Cream Party Decorations - Arts Crafts Supplies,N/A,$7.16,,4.8,1550.0,False,https://m.media-amazon.com/images/I/91DIFfRUjlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91DIFfRUjlL._AC_SL1500_.jpg,,2026-04-21T11:34:46.725095,
17,1,SP,5.0,,B0F53NHGB9,"24PCS Summer Stickers Craft Kits,Make Your Own Animals World Under The Sea Scene Stickers,DIY Summer Crafts Scene with Shark Clown Fish Dolphins for Party Games Class Activities (Ocean 24PCS)",N/A,$8.99,,4.7,8.0,False,https://m.media-amazon.com/images/I/81K4YAVWy8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81K4YAVWy8L._AC_SL1500_.jpg,,2026-04-21T11:34:46.728389,
18,1,SP,6.0,,B0G3F75X5P,Bosctanuc 100 Pcs DIY Pinwheels for Kids Bulk Blank Paper Pinwheels Color Your Own Pinwheels for Spring Mothers Day Craft for Kids Boys Girls School Group Daycare Home Fun Graffiti Art Craft (100),N/A,$16.99,,4.6,26.0,False,https://m.media-amazon.com/images/I/710HdSCz3jL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/710HdSCz3jL._AC_SL1500_.jpg,,2026-04-21T11:34:46.731371,
19,1,SP,7.0,,B0F1MT6XD2,"COCHIE 10 Pieces Large Summer Unfinished Wood Crafts to Paint for Adults, Bulk Predrilled Wooden Ornaments for Painting, Beach Pattern Paintable Wood Slices Craft Supplies with Ropes",N/A,$9.99,,4.7,247.0,False,https://m.media-amazon.com/images/I/81EG4XG1mkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81EG4XG1mkL._AC_SL1500_.jpg,,2026-04-21T11:34:46.734328,
20,1,SP,8.0,,B0G6YZ4H2D,"8Pcs Flower Spring Wood Crafts to Paint, Wooden Flowers Picture Frame for Craft, 3D Unfinished Spring Picture Frame Craft for Painting, DIY Mother’s Day Gifts Flower Cutouts for Painting Decorations",N/A,$9.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/61AdvqH9MYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61AdvqH9MYL._AC_SL1500_.jpg,,2026-04-21T11:34:46.737575,
21,1,Organic,,7.0,B0GN1NVBK1,"JOPHMO 24 Pack DIY Wood Picture Frames - 4 x 6 Unfinished Wooden Photo Frame with Beach Stickers Rhinestone Stickers Painting Tools, Summer Beach Theme Arts and Crafts Kit Birthday Party Favors",N/A,$29.99,,5.0,5.0,False,https://m.media-amazon.com/images/I/91Ojv3Lg90L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Ojv3Lg90L._AC_SL1500_.jpg,,2026-04-21T11:34:46.742548,
22,1,Organic,,8.0,B0DY4R1CMC,"30Sets Summer Felt Visor Hats Crafts Kits for Kids Bulk, DIY Beach Sun Visor Hat Activities with Stickers for Hawaiian/Luau/Under-The-Sea Party Supplies",N/A,$20.99,,4.7,17.0,False,https://m.media-amazon.com/images/I/9153AfDU3vL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/9153AfDU3vL._AC_SL1500_.jpg,,2026-04-21T11:34:46.748709,
23,1,Organic,,9.0,B08HD89CX6,"Rock Painting Kit- Glow in The Dark Rock Kit, Arts and Crafts for Kids Ages 6-12, Art Supplies Toy , Kids Craft Paint Kits, Arts & Crafts for Boys Girls Birthday Party Gift Toy",N/A,$13.98,,4.7,10933.0,False,https://m.media-amazon.com/images/I/811-oY6xryL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/811-oY6xryL._AC_SL1500_.jpg,,2026-04-21T11:34:46.755966,
24,1,Organic,,10.0,B0D1VHPV4M,"Summer Craft Kits for Kids Make A Ocean Animals Worlds Stickers Scene, Summer Craft Under The Sea Scene Sticker Shark Tropical Fish Sea Animal Bulk Set for Home Classroom Game Activities (24Set)",N/A,$9.99,,4.6,100.0,False,https://m.media-amazon.com/images/I/81ANssB4OsL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81ANssB4OsL._AC_SL1500_.jpg,,2026-04-21T11:34:46.760601,
25,1,SP,9.0,,B0GQSLTYTF,"COCHIE Summer Slippers Wood Crafts to Paint Set of 24, Slipper Unfinished Wooden Craft for Painting, DIY Paintable Beach Slippers Cutouts Slices for Craft with Ropes (Summer)",N/A,$9.99,,4.6,10.0,False,https://m.media-amazon.com/images/I/816w2ByB1rL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/816w2ByB1rL._AC_SL1500_.jpg,,2026-04-21T11:34:46.764659,
26,1,SP,10.0,,B0F6N2PBXR,"YUJUN 32PCS Natural Scallop Shells,2''-3'' White Seashells Bulk for Crafts DIY Painting Baking and Ocean Summer Beach Wedding Home Decorations",N/A,$8.99,,4.3,187.0,False,https://m.media-amazon.com/images/I/719M7li+ksL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/719M7li+ksL._AC_SL1500_.jpg,,2026-04-21T11:34:46.769399,
27,1,SP,11.0,,B09QC4QTTN,"Coola Spring Craft Kit for Kids - Art and Craft DIY Early Educational Toys Suitable for Girls & Boys Pack 6 Include 2Flowers Snail Birdie Butterfly Ladybug Best Gift for Kids Age 3,4,5,6,7,8,9",N/A,$23.99,,4.6,517.0,False,https://m.media-amazon.com/images/I/71VzVOYSAlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71VzVOYSAlL._AC_SL1500_.jpg,,2026-04-21T11:34:46.773826,
