data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at
0,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-18T13:44:13.712858
2,1,SP,1.0,,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,CNY 64.66,,4.5,2698.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-18T13:44:13.716871
3,1,SP,2.0,,B0CYBWMR83,"Summer Party Decorations, Hello Summer Banner Hanging Swirls and Honeycomb Centerpieces Beach Pool Party Decorations, Summer Pool Holiday Birthday Party Supplies",N/A,CNY 54.44,,4.8,12.0,False,https://m.media-amazon.com/images/I/61PGCbFgpLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61PGCbFgpLL._AC_SL1500_.jpg,,2026-04-18T13:44:13.722393
4,1,SP,3.0,,B0DS1SYB42,"Luau Party Decorations, 36PCS Hawaiian Themed Leis Necklace Costume Accessories, Colorful Hawaiian Leis Tropical Flower Clothing Bulk",N/A,CNY 68.07,,4.5,241.0,False,https://m.media-amazon.com/images/I/8196+Nb-nrL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8196+Nb-nrL._AC_SL1500_.jpg,,2026-04-18T13:44:13.726928
5,1,SP,4.0,,B0BKSZQBY5,"SCIONE Beach Balls Bulk 24 Pack - 9"" Inflatable Beachballs Swimming Pool Toys for Kids Summer Water Games, Kids Birthday Party Favors Lua/Hawaiian Tropical Theme Decorations Supplies",N/A,CNY 122.58,,4.6,352.0,False,https://m.media-amazon.com/images/I/61SGonr2-YL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61SGonr2-YL._AC_SL1500_.jpg,,2026-04-18T13:44:13.730931
6,1,Organic,,1.0,B0CQV2P4FX,"12Pcs Summer Party Decorations Honeycomb Centerpiece, Hello Summer Party Decorations Centerpiece,3D Beach Summer Decorations Honeycomb Centerpiece for Summer Party Beach Party Decorations",N/A,CNY 68.07,,4.8,46.0,False,https://m.media-amazon.com/images/I/81OM2qVPj1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81OM2qVPj1L._AC_SL1500_.jpg,,2026-04-18T13:44:13.737340
7,1,Organic,,2.0,B0DYSKPF35,Summer Party Decorations - 61 Pcs Beach Pool Party Decorations Hello Summer Banner Pool Beach Hanging Streams Decor for Home Office School Classroom,N/A,CNY 54.44,,4.7,101.0,False,https://m.media-amazon.com/images/I/81Zdymfw6zL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Zdymfw6zL._AC_SL1500_.jpg,,2026-04-18T13:44:13.741357
8,1,Organic,,3.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,CNY 64.66,,4.5,2698.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-18T13:44:13.746974
10,1,Title,,,,Customers frequently viewedSponsoredLuau Hawaiian Retirement Party Decorations Tropical Happy Retire,,,,,,False,,,,2026-04-18T13:44:13.751481
12,1,Title,,,,Debug info copied.Sponsored‎Renbuzhu 15PCS Pool Party Decorations Beach Ball Paper Lanterns - Summer,,,,,,False,,,,2026-04-18T13:44:13.753005
13,1,Title,,,,Ouruola Pom Poms Streamers DecorationsSponsored|Shop OURUOLAShop nowPrevious pageRainbow Red-Orange ,,,,,,False,,,,2026-04-18T13:44:13.754010
14,1,Title,,,,More results,,,,,,False,,,,2026-04-18T13:44:13.754010
15,1,Organic,,4.0,B0DP2FLFKM,‎Renbuzhu 15PCS Pool Party Decorations Beach Ball Paper Lanterns - Summer Luau Hawaiian Themed Hanging Decor for Home Birthday Outdoor Indoor,N/A,CNY 115.76,,4.5,126.0,False,https://m.media-amazon.com/images/I/81SAWFpzVML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81SAWFpzVML._AC_SL1500_.jpg,,2026-04-18T13:44:13.757045
16,1,Organic,,5.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,CNY 68.07,,4.6,10885.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-18T13:44:13.762066
17,1,Organic,,6.0,B09QM5XX82,"Uieke 3 Pack Artificial Sunflower Garland, 7.5ft/Strand Silk Sunflowers Hanging Vines Flowers with Green Leaves for Room Kitchen Garden Birthday Wedding Baby Shower Party Table Decor Large",N/A,,,4.4,1390.0,False,https://m.media-amazon.com/images/I/81qgOQNv7KL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qgOQNv7KL._AC_SL1500_.jpg,,2026-04-18T13:44:13.770651
18,1,SP,5.0,,B0F5NTPJYC,"Summer Party Decorations, Beach Party Decor Includes Hello Summer Banner Beach Hanging Swirls and Garland, Summer Decorations for Office Classroom, Pool Decorations",N/A,CNY 81.69,,4.7,12.0,False,https://m.media-amazon.com/images/I/81U1mq6OQ+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81U1mq6OQ+L._AC_SL1500_.jpg,,2026-04-18T13:44:13.773161
19,1,SP,6.0,,B0GMFQSBW2,"Summer Party Decorations, NO-DIY Beach Party Decorations Include 1 Pc Hello Summer Banner, 1Pc Blue Foil Fringe Curtain and 22 Pcs Hanging Decorations for Holiday Home Office Classroom",N/A,CNY 68.07,,,,False,https://m.media-amazon.com/images/I/81RErBpZRPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81RErBpZRPL._AC_SL1500_.jpg,,2026-04-18T13:44:13.778184
20,1,SP,7.0,,B0GKG6QKRG,Summer Table Runner Tropical Palm Runners Table Decorations Holiday Kitchen Dining Home Party Supply 13x72 Inch,N/A,CNY 68.07,,,,False,https://m.media-amazon.com/images/I/81H5OWqAY1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81H5OWqAY1L._AC_SL1500_.jpg,,2026-04-18T13:44:13.781689
21,1,SP,8.0,,B0GHYKFM92,"Hawaiian Luau Hanging Decorations, Luau Party Decorations, 24 PCS Hawaiian Luau Hanging Swirl Decoration with Foil Ceiling Streamers, Tropical Flower Palm Sign for Hawaii Summer Beach Tiki Decorations",N/A,CNY 47.63,,5.0,2.0,False,https://m.media-amazon.com/images/I/81SKxr38WCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81SKxr38WCL._AC_SL1500_.jpg,,2026-04-18T13:44:13.786263
22,1,Organic,,7.0,B09WJB4JG1,Summer Pool Beach Hanging Swirls Banner Decor 30 Pack Foil Ceiling Hanging Swirls Streams Banner Decorations Garland for Kids Luau Hawaii Celebrating Events Birthday Party Supplies Room Wall Decor,N/A,CNY 68.07,,4.6,287.0,False,https://m.media-amazon.com/images/I/81pvLwg9GEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81pvLwg9GEL._AC_SL1500_.jpg,,2026-04-18T13:44:13.791941
23,1,Organic,,8.0,B07NWR7HKD,"JOYIN 12-Pack 12“ Beach Balls - Bulk Classic Beachball Inflatable Swimming Pool Toys for Games Adults Kids Birthday Party Supplies Combo Set, Rainbow Color Blow Up Luau Decorations Favors Gifts (12"")",N/A,CNY 68.07,,4.5,3354.0,False,https://m.media-amazon.com/images/I/814LDy0nOPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814LDy0nOPL._AC_SL1500_.jpg,,2026-04-18T13:44:13.795963
24,1,Organic,,9.0,B0C6X65BLF,"MISS FANTASY Summer Party Banners, Multi Color Rectangular Paper Summer Banner Decorations for Pool, Beach, Luau, Tropical Parties",N/A,CNY 47.63,,4.7,54.0,False,https://m.media-amazon.com/images/I/416LHGiY4NL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/416LHGiY4NL._AC_SL1500_.jpg,,2026-04-18T13:44:13.800985
25,1,Organic,,10.0,B0BZS1RK9X,"Summer Party Decorations, Beach Party Decorations Include Hello Summer Banner and Summer Beach Hanging Swirls, Summer Holiday Birthday Party Supplies",N/A,CNY 61.25,,4.6,23.0,False,https://m.media-amazon.com/images/I/81QbQGQF1oL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81QbQGQF1oL._AC_SL1500_.jpg,,2026-04-18T13:44:13.804235
26,1,SP,9.0,,B09NM2FPKX,"Fovths Luau Grass Table Skirt Natural 9 Feet x 29.5 Inch Hawaiian Table Skirt for Tropical Hawaiian Party Decorations Luau Costume Party, Straw Yellow",N/A,CNY 57.85,,4.5,2400.0,False,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_SL1500_.jpg,,2026-04-18T13:44:13.808305
27,1,SP,10.0,,B0GLMRVH9W,"Summer Party Decorations, Summer Decorations for Home include a Hello Summer Banner and 22Pcs Hanging Decorations, Beach Party Decorations, Pool Party Decorations",N/A,CNY 88.51,,,,False,https://m.media-amazon.com/images/I/71ZxswaWwjL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ZxswaWwjL._AC_SL1500_.jpg,,2026-04-18T13:44:13.812812
