data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-21T11:31:09.667336,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T11:31:09.668627,
3,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2699.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-21T11:31:09.676835,
4,1,Organic,,2.0,B0GMQ1CN4F,"Beach Party Supplies Serve 24, Summer Beach Party Decorations Include Hello Summer Party Plates, Napkins,Cups,Tablecloth,Banner,Balloons and Cake Toppers for Hawaiian Pool Birthday Baby Shower Decor",N/A,$20.99,,,,False,https://m.media-amazon.com/images/I/81zN2pF3aNL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81zN2pF3aNL._AC_SL1500_.jpg,,2026-04-21T11:31:09.680615,
5,1,Organic,,3.0,B0GF85NDK3,Avezano Hello Summer Banner Hawaiian Beach Door Banner Summer Door Decor Tropical Hawaiian Party Decorations Indoor Outdoor,N/A,$11.99,,,,False,https://m.media-amazon.com/images/I/811flZr9crL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/811flZr9crL._AC_SL1500_.jpg,,2026-04-21T11:31:09.685994,
6,1,Title,,,,Colorful Rainbow Beach BallsSponsored|Top 10 best-selling brand in this category|Shop JOYINShop nowP,,,,,,False,,,,2026-04-21T11:31:09.687789,
8,1,Title,,,,Debug info copied.SponsoredRenbuzhu 15Pcs Summer Party Decorations Watermelon Paper Lanterns Pom Pom,,,,,,False,,,,2026-04-21T11:31:09.688325,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:31:09.688467,
10,1,Organic,,4.0,B0DP2FLFKM,‎Renbuzhu 15PCS Pool Party Decorations Beach Ball Paper Lanterns - Summer Luau Hawaiian Themed Hanging Decor for Home Birthday Outdoor Indoor,N/A,$16.99,,4.5,126.0,False,https://m.media-amazon.com/images/I/81SAWFpzVML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81SAWFpzVML._AC_SL1500_.jpg,,2026-04-21T11:31:09.691529,
11,1,Organic,,5.0,B09WJB4JG1,Summer Pool Beach Hanging Swirls Banner Decor 30 Pack Foil Ceiling Hanging Swirls Streams Banner Decorations Garland for Kids Luau Hawaii Celebrating Events Birthday Party Supplies Room Wall Decor,N/A,$9.99,,4.6,287.0,False,https://m.media-amazon.com/images/I/81pvLwg9GEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81pvLwg9GEL._AC_SL1500_.jpg,,2026-04-21T11:31:09.694968,
12,1,Organic,,6.0,B00OCGUG02,"Hefty Party On Disposable Plastic Cups, Assorted, 16 Ounce, 100 Count",N/A,$9.97,,4.8,35429.0,False,https://m.media-amazon.com/images/I/81uf-BZz2eL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uf-BZz2eL._AC_SL1500_.jpg,,2026-04-21T11:31:09.700657,
13,1,Organic,,7.0,B0FL7DMFZK,Flutesan 16 Pcs Summer Beach Decorations Ice Cream Surfboard Pool Themed Hanging Decor Colorful Paper Lanterns Fans Poms Flowers for Home Birthday Indoor Outdoor End of Summer Party Supplies Favors,N/A,$15.99,,,,False,https://m.media-amazon.com/images/I/81Z0jyyi-tL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Z0jyyi-tL._AC_SL1500_.jpg,,2026-04-21T11:31:09.704031,
14,1,Organic,,8.0,B071JR7GYP,"JOYIN 60"" Inflatable Palm Tree Cooler, Beach Theme Decor, Pool Party Decorations, Luau Hawaiian Birthday Party Supplies, Ocean Jungle Tropical Themed Summer Outdoor Drink Cooler",N/A,$19.99,,4.3,5368.0,False,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_SL1500_.jpg,,2026-04-21T11:31:09.707348,
15,1,Organic,,9.0,B07NWR7HKD,"JOYIN 12-Pack 12“ Beach Balls - Bulk Classic Beachball Inflatable Swimming Pool Toys for Games Adults Kids Birthday Party Supplies Combo Set, Rainbow Color Blow Up Luau Decorations Favors Gifts (12"")",N/A,$9.99,,4.5,3356.0,False,https://m.media-amazon.com/images/I/814LDy0nOPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814LDy0nOPL._AC_SL1500_.jpg,,2026-04-21T11:31:09.711297,
16,1,Organic,,10.0,B0DYSKPF35,Summer Party Decorations - 61 Pcs Beach Pool Party Decorations Hello Summer Banner Pool Beach Hanging Streams Decor for Home Office School Classroom,N/A,$7.99,,4.7,101.0,False,https://m.media-amazon.com/images/I/81Zdymfw6zL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Zdymfw6zL._AC_SL1500_.jpg,,2026-04-21T11:31:09.715378,
17,1,Organic,,11.0,B0831D4S1D,R HORSE Inflatable Palm Tree Flamingo Banana Beach Ball Parrot Beach Pool Toys for Tropical Hawaiian Luau Party Summer Pool Beach Party Decorations,N/A,$22.99,,4.2,945.0,False,https://m.media-amazon.com/images/I/81UNKcb+coL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81UNKcb+coL._AC_SL1500_.jpg,,2026-04-21T11:31:09.720689,
18,1,Organic,,12.0,B07DLVSJ99,"FUTUREPLUSX 2 Pack Tropical Garland Party Decorations, 20ft Multicolored Tissue Paper Hibiscus Flower Summer Banner for Birthday Beach Theme Luau Hawaiian Party Supplies Jungle Decor",N/A,$8.99,,4.7,3375.0,False,https://m.media-amazon.com/images/I/71q9+TnamlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71q9+TnamlL._AC_SL1500_.jpg,,2026-04-21T11:31:09.727301,
19,1,Organic,,13.0,B0F1YMPVPN,Beach Party Decorations Kit - Beach Themed Honeycomb Centerpieces and Table Decor for Summer & Pool Party Decorations,N/A,$9.98,,4.7,1132.0,False,https://m.media-amazon.com/images/I/81DHErA5m0L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81DHErA5m0L._AC_SL1500_.jpg,,2026-04-21T11:31:09.732371,
