data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Luau Party Decorations,https://aax-us-east-retail-direct.amazon.com/x/c/JDZH7w4U0vdQUG2GLYSI4OcAAAGdr80j6gEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICDuGM0o/clv1c_ek-YBIPXFcbaDX2nI4trJ16WpAySuUaPTmvX9lHqndbJMgdIsOy-U-5627q0VT1N_U8U_WXnloeOolXrhDI2GuorRwASUqA_Y6mFcrXgrcw2jQsBMBCLTO75ymGkBkkgyLqoX76ijVunLZSW6CyWmEDao9-01lUN0MX3xC_-7OedX5b2etxwxIheY4Tj1S-Vp8Sd1Ec7r6cJs6X4oe5l2i6OGUsrJs-C7SQFfmXmFmEiYiT2vEQmKUudxoQFz-lh60xB27P-TsXF9M_1I4exukZ2BY-OLhEutjUr7sryWfrwSLoCeJkhIRy6nAYXy9eA7F7ASZjBHHR85CgWRQEP8BA3KTzJUkmwAH6Vxzh35N5N4eHLqjZ55uljmPY3oiof4ukXUmRGvVjxuTv5angSkpyeQU0h6e7b4vR_LfPc3CNtrRQUUislH6hA3JKfoexjPSM7_yUFu2xEBbJKvRlNPVPqaaH8sqmwBxRv8zzxtdpNWfWho0JgRqd6zM9Zpu2fQVXoAByllQ3pXFpNw6tqXRvX57rocZA0jRFL2T2BYAcGKtLSZZ6qiCfPX388ku5lw1GF72Pev_JM1Y3f-6F_iXnAFnLxnyE5HbRWR4F9xzyAh-OgDgIHli5Ln7bJSxECf-kJS8zdfC4Qox8kgCM-HdxQaHaCl01ST6Eroyia7eK7zVwLVGCyrzTumWglCKB96EaxuyiwXD5yr5I01mKpbof4YLzgtCQVXKa369uyzhW8ZnTCFrcZb5nmIdU5AqrFekBaWxklzekCr9uA3iyuf85YrZ_KwM2Iju4GRTTJ-DCd8En_M6o3AU5KczxMsnv0SNWJE3Nu9BFV1XKXAvcL4zduZAuqOV93ZE7r8SyP4l-dVeFb2KaAAXXGzCb6T0YucOiMyOP1SnxzsSL1InSHuif9cm51G8Y-JK6DgJrCGZmKihb7mMpwGvcVsNKNB6GC0GcQ3sYEbd_Wjgir2jgNVbIJaIjooIV72NDGC4E5yFY24Sh2wwLzwwBLlRdTdmh9_Ve2AeKPvSWec8lJRabr0QcZ04SIV6xYzAn545rVjK6onvNpWGGwkbEg1Wusw2gJWI39JpzdvME-Q7GXlUvhtPRAavMrMJlmYWkkk4B0nq9kqYOUn0YP0dvKus_blATKxJ4V0xhZfPHcWVV6vpgTTEHttY16tNik22MCFHH-AAR-PqGTjtN2zN5Haj783qUEGR70EclyAI0nseM4J3LEV4iuNLa5C5iOHzlyvQ9MphxiBvK6aZ3dR9McEWn0OWpfH23lqNzyCCNT-VnQeJViqpchvBYl7FiE6kirMM0SSNvq1I4q-O98v6_eyubtwKHrm6JpgRJJ9bNr22wr88VNSbuB5MzGBC73SVv7xX8RzFrAhp6LOPAPgHBLwkbiHWUtrcp3W4ICeGSkfPlc-CMzwJC6X4rmb2DT0taySPDTlMDp9w5XaP423gfnE83liS9APT6uQp-0vee726MgGon-CpO-xfwCB2mTYA0wOcaa8rJTavPnyTUVFjT87MxBp6CMg4t05cme552KhNNtAyWpDQXg_JFPGPvvoRPbfZjz_AUWHF8TMiXzcs3ZVCUoN6f3g_7CAKHNt5hpindI5PSLuKu0LkOE59S9VDyYVD_1ldouuu3ktcdlzr4z-_YxCZk/https://www.amazon.com/stores/page/03B2A611-0CC7-4F02-B07C-B3C3201FCDF4/?_encoding=UTF8&store_ref=SB_A08572753TPV7BIJKHJXD-A06583893JYOSEDL6ZR11&pd_rd_plhdr=t&aaxitk=5521e88bb42d979098c80feb81005f73&hsa_cr_id=5752477420401&lp_asins=B09NM3H6Q8%2CB09Y1FJ967%2CB09TVFMBFB&lp_query=summer%20party%20supplies&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=HUUYa&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=VT132Z7Y1WW0SF4Z938G&pd_rd_wg=s1OSw&pd_rd_r=3eefa4b0-98c2-4f17-b15b-8aa0f6a84415,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/34b9de36-72e1-40c4-80b3-6b8a2d8a468c._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.png",,Luau Party Decorations,2026-04-21T11:29:17.106370,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T11:29:17.107331,
3,1,Organic,,1.0,B00OCGUG02,"Hefty Party On Disposable Plastic Cups, Assorted, 16 Ounce, 100 Count",N/A,$9.97,,4.8,35429.0,False,https://m.media-amazon.com/images/I/81uf-BZz2eL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uf-BZz2eL._AC_SL1500_.jpg,,2026-04-21T11:29:17.116932,
4,1,Organic,,2.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2699.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-21T11:29:17.122406,
5,1,Organic,,3.0,B0GHY3VJGQ,"Threan 24 Pcs Teacher Appreciation Gift Bulk Pool Beach Party Favors Set Include Summer Beach Towels 28 x 59 Inch Large Pool Towels, Plastic Tumblers with Straws Lid for Summer Themed Supplies",N/A,$67.99,,,,False,https://m.media-amazon.com/images/I/81p0y+tMb1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81p0y+tMb1L._AC_SL1500_.jpg,,2026-04-21T11:29:17.128387,
7,1,Title,,,,"Debug info copied.Sponsored25"" Inflatable Luau Tiki Pool Toss Games, Tiki Pool Ring Toss Toys with 4",,,,,,False,,,,2026-04-21T11:29:17.129871,
8,1,Title,,,,Bulk sunglasses for kidsSponsored|5K+ bought from this brand in past month|Shop RugortShop nowPrevio,,,,,,False,,,,2026-04-21T11:29:17.131833,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:29:17.131980,
10,1,Organic,,4.0,B07W81XXLQ,"Large Food Cover,6 Pack Mesh Food Tent,17""x17"",White Nylon Covers,Pop-Up Umbrella Screen Tents,Patio Net for Outdoor Camping, Picnics, Parties,BBQ,Collapsible and Reusable",N/A,$9.99,,4.5,9150.0,False,https://m.media-amazon.com/images/I/71InDzkWORL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71InDzkWORL._AC_SL1500_.jpg,,2026-04-21T11:29:17.135383,
11,1,Organic,,5.0,B00N1QPNMA,"PartySticks Glow Sticks Party Supplies 100pk - 8 Inch Glow in the Dark Light Up Sticks Party Favors, Glow Party Decorations, Neon Party Glow Necklaces and Glow Bracelets with Connectors",N/A,$7.99,,4.6,28646.0,False,https://m.media-amazon.com/images/I/81JYNlch58L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81JYNlch58L._AC_SL1500_.jpg,,2026-04-21T11:29:17.142978,
12,1,Organic,,6.0,B0D2TQF1SQ,"JCFIRE Summer Pool Beach Party Favors Kids Tattoos, 102 Styles Larger Tropical Hawaiian Luau Themed Temporary Tattoos for Kids Teens Adult, Waterproof Summer Stickers Party Decorations Supplies",N/A,$5.99,,4.7,925.0,False,https://m.media-amazon.com/images/I/71KUi4pTJkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71KUi4pTJkL._AC_SL1500_.jpg,,2026-04-21T11:29:17.148681,
13,1,Organic,,7.0,B0GD5HTCWH,"96 Pcs Pink and Green Party Decoration Pink Green Striped Plates and Napkins Summer Palm Beach Tableware Set for Hawaiian Holiday Birthday Baby Shower Tea Party Supplies, Serves 24",N/A,$18.99,,,,False,https://m.media-amazon.com/images/I/81RCxrMBK1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81RCxrMBK1L._AC_SL1500_.jpg,,2026-04-21T11:29:17.152439,
14,1,Organic,,8.0,B073RBVTXT,"ALINK 50 Umbrella Parasol Drinking Straws, Hawaiian Beach Cocktail Luau Party Decorations Supplies",N/A,$6.99,,4.6,10351.0,False,https://m.media-amazon.com/images/I/81YbWfWBaPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81YbWfWBaPL._AC_SL1500_.jpg,,2026-04-21T11:29:17.158183,
15,1,Organic,,9.0,B07NWR7HKD,"JOYIN 12-Pack 12“ Beach Balls - Bulk Classic Beachball Inflatable Swimming Pool Toys for Games Adults Kids Birthday Party Supplies Combo Set, Rainbow Color Blow Up Luau Decorations Favors Gifts (12"")",N/A,$9.99,,4.5,3356.0,False,https://m.media-amazon.com/images/I/814LDy0nOPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814LDy0nOPL._AC_SL1500_.jpg,,2026-04-21T11:29:17.163616,
16,1,Organic,,10.0,B0DX23T2W1,"50Pcs Beach Pool Party Decoration Cups, 12 Oz Summer Disposable Cups for Summer Beach Pool Hawaiian Luau Birthday Party Decoration Supplies",N/A,$7.99,,4.8,152.0,False,https://m.media-amazon.com/images/I/712bBwgcoDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/712bBwgcoDL._AC_SL1500_.jpg,,2026-04-21T11:29:17.168335,
17,1,Organic,,11.0,B09Z28TMY4,Vinsot 32 Pack Beach Pool Party Eyeglasses Decor Summer Luau Paper Glasses Bulk Hawaiian Sunglasses Frame Tropical Pool Props Photo Booth Props for Summer Beach Luau Party Favor Birthday Supply Decor,N/A,$12.99,,4.1,648.0,False,https://m.media-amazon.com/images/I/81bbJ2wNgCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81bbJ2wNgCL._AC_SL1500_.jpg,,2026-04-21T11:29:17.172235,
18,1,Organic,,12.0,B0G6CTCFWM,AIBIIN 96 Pcs Hello Summer Party Decorations Summer Beach Paper Plates and Napkins Sets Hawaiian Tropical Party Decorations Pool Party Birthday Disposable Paper Dessert Plates Set Serve 24 Guests,N/A,$16.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/81lE68WLQYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81lE68WLQYL._AC_SL1500_.jpg,,2026-04-21T11:29:17.175861,
19,1,Organic,,13.0,B0DC51MRZ4,"Freyalife Hawaiian Leis Decorations(24pcs),Leis for Luau Party Decor Flower,Tropical Hawaiian Bulk Hula Dance Party Decor",N/A,$6.99,,4.3,621.0,False,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_SL1500_.jpg,,2026-04-21T11:29:17.179326,
20,1,Organic,,14.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,$11.99,,4.6,10884.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-21T11:29:17.183018,
21,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:29:17.183430,
22,1,Organic,,15.0,B0B44PDCLC,"Bunch O Balloons Tropical Party (6 Pack) by ZURU, 200+ Rapid-Filling Self-Sealing Tropical Colored Water Balloons for Outdoor Family, Friends, Children Summer Fun (6 Pack)",N/A,$17.99,,4.6,2002.0,False,https://m.media-amazon.com/images/I/81qMELDxTTL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qMELDxTTL._AC_SL1500_.jpg,,2026-04-21T11:29:17.187323,
23,1,Organic,,16.0,B094LZ2VGR,"4E's Novelty 48 Packs Tropical Party Cups with Parasol Straws - Disposable Plastic Cups 16oz BPA free, for Hawaiian Luau Party and Pool Parties, Beach Theme Birthday Decorations for Kids & Adults",N/A,$13.49,,4.7,443.0,False,https://m.media-amazon.com/images/I/61HGwRd92VL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61HGwRd92VL._AC_SL1500_.jpg,,2026-04-21T11:29:17.192495,
24,1,Organic,,17.0,B07LGBSJW4,Jasonwell Inflatable Serving Bars Ice Buffet Salad Serving Trays Food Drink Holder Cooler Containers Indoor Outdoor BBQ Picnic Pool Party Supplies Luau Cooler w Drain Plug,N/A,$16.79,,4.5,7952.0,False,https://m.media-amazon.com/images/I/71MciPXeSkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71MciPXeSkL._AC_SL1500_.jpg,,2026-04-21T11:29:17.201864,
