data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Vlipoeasn Thank You for All You Do Decor,https://aax-us-east-retail-direct.amazon.com/x/c/JEcIu3VGbS29MwYW5F8xDioAAAGdsBIlVgEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICD5z8Lm/clv1c_ek-wBIHXLbbWTg5Tc58pGgIJ7b4aDJq0xcKprv_i3msKlT3qRj0VBKyuY2HhfGv55FY_iVZJtf00hO0CFknJ_0KKIw0TPhT8SPHnjgkH_UgnTRmGiglui8P-ppF0J3s0_RJeRizvco7MzwMD4zP2g_nqaN2fnE06EtBgD_Sq3ptvsctcI7LqvAiBdtQkxmKQ7e3_zPu7z8cLVeZuulHoGvw5dXU3rOasBWrmARc9rVEi60eijmmADJNbSl53EGUjKHLZ16QY6LPUGJl-4lKNaI93YwwMcikOOrtyrGR-lO167iUvvVni_8f9cvQa83deGM1xQAm0AHIVGzEL18xywiH0dfxqbWV45yUy5nQ73FdQi76h1Iw8DNScjw0llMT0vKs8nQSpwLWlUuz4_Y67C9efu93GZ2DW_wJu6FmDLS1R2TMhtis2AqjkoCN5x3yyb0ukPkkzwN2-J7Ycpx4_4F8TYnrkw08IVERFgLGhpiLz05ozsHcNPqn6cKWSpnGgayQrsmhBmtfxqrF4C6Sr_cywm6H1oNw7cnZHBgG-6c-3xEMUPIMFpScX9m9ImspZjFmn1ACgUTQ-8rLdIrei9iGxlJTVqdx9jjzPfOl9WIW-7O364KMJSXx6JDImVqxpP2Oy12JgpGS_1eNKdEsQrZB43M5RAiUBSGYPhfcTQTlK2hNTa1KG-pmtAv1qJo58kVe9u85c70KBzUosztOx0MqqYcNv-PqhbdETpHtmu_1cm5CLfCYpt5isQJwd2stcI_Y_ppCVZMVpywLP2STl4SWFlliXX_MgvKCXWKnRZqT2q1tB9hj6RrDv7nA0EQe8oPinkIaXDG3Sql0fT7CmjL_XeWjPfCls6G-Jsor9zizlAMCQc83Len4BtT7RQSyx19ByxM0erb8I1FELkXc9JV2nFEb0vuIA2EJshDE6qItRSbRSEX7zY_OgZ3DFNwy4VKQt5Ds3YXc0y3Uc2932_StNWR3bJLNsUbrzNtWv2sT8yEzF5AdfgMOfvE4mk5VPQSflZUpzN6RWFqBpWVKgyIgXHjtLNBgJ0tTGZ_U2vo3np87TEzHRqvtjnwKxUsAj84L3mhzO0quTSkZTK3wyf0y6gcsDIpPiVbrdzvFzM3lfbWtzRfT2r9RGknVuESk1iyQ3HPJZHTifxhQkJc3dmPKTjyCryFF8D7WhYAqW_diz506qqrmdCyZjTLm63iUfzA-PbSY5_7PUz5NcTXqZf6xSOZXBmtoqx1uNCJLg6wFG8h2M30u1jCJ0iGIH9hekiv0IuwGkdf0HZL1g9h0cMuWgpGX8X-H4Ly5WmdxTYvSSay5xLKTswGIHKcFnZL-yAc7a8Eu5KO_Khohm7dE3xw76UO162RHho3H-a71d-mn38KpxjGH09NlRzA1sfhvpvIbW8ZgKdZsbh7NH-aDf2IeXSPBTDIaLfiJKs645s6q2Q_MEFMPW4Cu9S3BbNJAwpKJi3HRVwnavKxVDcNbpKoVg3t9_TC9hQTAPXRbehQSjoYGVT1mGDdHrMSmNmOpksnM8888tfg8qyfBjMvMFSuWsbwoRSelfGXJtIfuqznTt0gGtPR0XNWb_tJVjc-ejq1b5bbtviRWfalR9gHBIze2dR8WmsRBODSYMBU10X0N1yODfYZwjIQHaHmkXB69Ikmtj2FdtCZUXLVLQyA/https://www.amazon.com/stores/page/75D90EC5-9E34-44D9-9EFF-0E0223FDA374/?_encoding=UTF8&store_ref=SB_A07549943WXYYHOK4YW7-A04043162JJ2LX6HH8QD6&pd_rd_plhdr=t&aaxitk=2756ad469767743787eebdb5a9d6d2bc&hsa_cr_id=0&lp_asins=B0F8BHC9CD%2CB0DZN3F168%2CB0DL649CQX&lp_query=teacher%20appreciation%20week%20decorations&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=nmnfE&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=A14855DARV2EJT6V03K2&pd_rd_wg=cFffk&pd_rd_r=8918af1a-abf4-4f11-8e23-b8ec3864aee9,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/201f0b19-7de0-45b6-99ab-b94011f09b26._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.jpeg",,Vlipoeasn Thank You for All You Do Decor,2026-04-21T12:44:40.057830,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:44:40.058619,
3,1,Organic,,1.0,B0GMHRZSJV,"Teacher Appreciation Decorations, Staff Appreciation Decorations includes Thank You Teacher & Staff Backdrop, Honeycomb Centerpieces and Hanging Swirls, Teacher Appreciation Week Decoration",N/A,$21.99,,5.0,1.0,False,https://m.media-amazon.com/images/I/811ral5EqUL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/811ral5EqUL._AC_SL1500_.jpg,,2026-04-21T12:44:40.062907,
4,1,Organic,,2.0,B0DLWDFXJQ,Affrolling 35 Pcs Teacher Appreciation Week Decorations Teacher Appreciation Banner Hanging Swirls Wall End of Year Decor Holiday Celebrating Events for School Classroom End of Year Party Supplies,N/A,$16.99,,4.7,59.0,False,https://m.media-amazon.com/images/I/81fnIFLUucL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81fnIFLUucL._AC_SL1500_.jpg,,2026-04-21T12:44:40.066463,
5,1,Organic,,3.0,B0DRP7QZY4,"Teacher Appreciation Week Banner Yard Sign Decorations, Thank You Teacher Staffs Banner Yard Sign Decorations",N/A,$9.89,,3.7,9.0,False,https://m.media-amazon.com/images/I/61xCxtgDxfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61xCxtgDxfL._AC_SL1500_.jpg,,2026-04-21T12:44:40.069994,
7,1,Title,,,,New arrivalsSponsoredBased on items added in the past 60 daysGerrii 60 Pcs Thank You Themed Party Pl,,,,,,False,,,,2026-04-21T12:44:40.073305,
9,1,Title,,,,"Debug info copied.SponsoredVlipoeasn We Appreciate You Banner Decorations, Colorful Thank You for Al",,,,,,False,,,,2026-04-21T12:44:40.073798,
10,1,Title,,,,Thank You Teachers BannerSponsored|Shop AvezanoShop nowPrevious pageAvezano Thank You Teachers Backd,,,,,,False,,,,2026-04-21T12:44:40.074850,
11,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:44:40.074980,
12,1,Organic,,4.0,B0G2579Q3R,SmoothNovelty 3 Pcs Teacher Appreciation Week Banner Thank You Teachers Banner Porch Sign Happy Teacher Appreciation Week Decoration for Classroom School Office Decor Photo Props Background,N/A,$14.99,,4.8,96.0,False,https://m.media-amazon.com/images/I/71y4j-MS5qL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71y4j-MS5qL._AC_SL1500_.jpg,,2026-04-21T12:44:40.080161,
