data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Vlipoeasn Thank You for All You Do Decor,https://aax-us-east-retail-direct.amazon.com/x/c/JIHpefFQkp-gq5s5firCI8EAAAGdsBPlIgEAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICDn-kGN/clv1c_ek-wBAfWUsbaHX0mJsprB16WtD5hrqCyJMehuwb2cjkmvLylqi8ApoJ-Mokx61pX-baqHA4GobDURmWE8znvbgn3cBu-knyiXD5GL8_4Xqw-DXANa2n9ELP06sl0pG8ro8EpKqjqWgUaRfW0jcQP_lPI4dmQxhVqlHxywzm8XB6fmm8YJGJwhQIPgaPWn2pdrvcZelEpEwTU-YxNrhhBcAPSj308g8AYhMdILtWd6gag6l4mTxW9Z7atiULr5F_ILiBtus2-S25n1fbt0GZnycs507fXICGAHbpMzJ6TGjagd56tXpjeUVOsEuzjBlI5VS4llbAgWHT63ovXO0jCNvzR6G3noTmydUYZNRQTFbpfQVGy1tOhQHgEtdRJm6UijzVHoMUNM2ejwfTJH7jXZAa5P48ii9N5-nceFbE5dxXsu5HXOMH5VAuE2z4HI8d1HuCZj8rsvjtZA7pfZTGStwgTrez6Qm6uZ6N0VYN2Lm8uvZ1d7ydlyKFvObN13aE7dqYVRg3Ff2XB8NhTDDZeHol91H4M5_FbfuxFdRKIG1DsiuaKxJ6vYny1VZ13LIRHs3it1Y5s2_KNOwT2Fc5fyeQ1001b40zzdRc8cOT8jp3f79_Qghu0Gf1aaXvQsOJG6ip1YWLv7Krt2TUkdpXBu-t5nfkyAMkDOeD1QZlD-fxGCIBkacKdzZ0_9OIjGzWm9FLpXCRNU13SVyP1yJFybr0gfpHuPLCiBNJivh7fP6Dg_abkqLApLWjvyrRVxFHwBVImh7femYlzkmYswBWP7AFHySUWQ6LNRj6kjUPnqMqP1D2pPYZEIUA3E9CNP9uwBh2rwM1WU0d41BUCw7X9jDK3oj6nryJfjMmoKsOMkBNykTAVXVSWZ5P4zru6-vTaENFYrIl1Qtr4CI_r_9D7lGC-cIlyc12ex-wZZdVb7I6hAKjCk-Pntn91WqwkBTmWcWmE7Y2SbwCkInYZNCmHi26zB5fWNNLmTj1IJwWV3vadHy7KGHKFM-VuwER7dVKVj1Lqqf9AbUEechVS7O0cIhtkDSh4ySLb5krzO_LJ7-p7oODSkIgN0-fLuJO61B-gMmr97XGw2_KrtQZJqQGgE6oFf3a45RLKmijn5xL-8ezD0SwGjkfqDrKeMSxg8kdr2QixoI87e5x3C0nwTc-RJK0vwAxN77vlCvSyqGwth2FwSZnE-MPqZs8ypYd7eWgsK0bSbS8aYK22trQEdfySLjdt0N38I1G5o5qknsBViYpYXLWBVA8o8VPJRDZsVYoryAzy4z98dvJjFJmY2CX7HManfTG-yb0NmMJvnolkpnjif4ZC6M0cDHfDBKs4hdWrwBM4IhdwlctgqqYEGaBtn6KYJiGc8EsXOOVeNMPNFHuw_zfnQCbWj9X_a9JpYvTiyb433sSYENSN5OchhmUxpSXQZmaLP-BJDSaUF74goIhl7gJF2iiIH3S__HH1KtXelok52r5au50zwXfXnx9bHhnlA6A2G9lsH4IOUJ0Tbk5IcgghGfsGNpu6y-msTULcTXEqGhJ_1N9pKFwpO-ptovS4IvAPPNOUS_Kn9_dUY3ZKR2uBq0hDx0z2otG1FA-3fMhl9AVi2UespbJX1kdJ84oJ6VawjICD-knQJ_9qHGnI-cJslmymt8FAISqTwLNS0QN3TAdKpyEXluTByPBaNQ/https://www.amazon.com/stores/page/75D90EC5-9E34-44D9-9EFF-0E0223FDA374/?_encoding=UTF8&store_ref=SB_A07549943WXYYHOK4YW7-A04043162JJ2LX6HH8QD6&pd_rd_plhdr=t&aaxitk=2756ad469767743787eebdb5a9d6d2bc&hsa_cr_id=0&lp_asins=B0F8BHC9CD%2CB0DZN3F168%2CB0DL649CQX&lp_query=teacher%20appreciation%20week%20party%20supplies&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=xpRCQ&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=PSY89MTW3NERWXT6P19T&pd_rd_wg=vJqv2&pd_rd_r=1d345d0f-b33f-4fc6-8f08-025260f94f8d,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/201f0b19-7de0-45b6-99ab-b94011f09b26._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.jpeg",,Vlipoeasn Thank You for All You Do Decor,2026-04-21T12:46:34.822429,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T12:46:34.823660,
3,1,Organic,,1.0,B0DTYN3386,"125 Pcs Teacher Appreciation Party Supplies,Thank You Party Plates and Napkin Tableware Set,Best Teacher Ever Dinnerware Table Decorations for Doctor Graduation Day 2025 Graduation Party Favors",N/A,$17.99,,4.7,5.0,False,https://m.media-amazon.com/images/I/81qFu2c6k+L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qFu2c6k+L._AC_SL1500_.jpg,,2026-04-21T12:46:34.829460,
4,1,Organic,,2.0,B0CTK284Q7,98 Pcs Teacher Appreciation Party Decorations Thank You Teachers Paper Plates and Napkins Decorations Appreciation Tablecloths Dessert Tableware Set for School Graduation Party Supplies,N/A,$19.99,,4.8,141.0,False,https://m.media-amazon.com/images/I/81DqxpPnpRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81DqxpPnpRL._AC_SL1500_.jpg,,2026-04-21T12:46:34.838506,
5,1,Organic,,3.0,B0DTYKBSG4,"Teacher Appreciation Party Supplies,125Pcs Thank You Party Plates and Napkin We Appreciate All That You Do Tableware Decorations for Teacher Appreciation Week,Teacher Staff Party Decor",N/A,$16.99,,4.5,2.0,False,https://m.media-amazon.com/images/I/812dWTbwhlL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/812dWTbwhlL._AC_SL1500_.jpg,,2026-04-21T12:46:34.845994,
7,1,Title,,,,Debug info copied.SponsoredQinyoung Teacher Appreciation Gift Bulk Teacher Plastic Cups with Drink S,,,,,,False,,,,2026-04-21T12:46:34.847865,
8,1,Title,,,,Teacher Appreciation KeychainSponsored|Highly bought brand in ballpoint pens|Shop SpakonShop nowPrev,,,,,,False,,,,2026-04-21T12:46:34.850200,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T12:46:34.850485,
10,1,Organic,,4.0,B0DLWDFXJQ,Affrolling 35 Pcs Teacher Appreciation Week Decorations Teacher Appreciation Banner Hanging Swirls Wall End of Year Decor Holiday Celebrating Events for School Classroom End of Year Party Supplies,N/A,$16.99,,4.7,59.0,False,https://m.media-amazon.com/images/I/81fnIFLUucL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81fnIFLUucL._AC_SL1500_.jpg,,2026-04-21T12:46:34.855323,
11,1,Organic,,5.0,B0GL7P28J2,96Pcs Teacher Appreciation Week Party Supplies Thank You Teachers and Staff Paper Plates and Napkins We Appreciate You Party Decor for Office Teacher Decorations Tableware Dinnerware Serves 24 Guests,N/A,$17.99,,4.4,26.0,False,https://m.media-amazon.com/images/I/81FfVuJvAfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81FfVuJvAfL._AC_SL1500_.jpg,,2026-04-21T12:46:34.862949,
