data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Luau Party Decorations,https://aax-us-east-retail-direct.amazon.com/x/c/JPY0F2fAlG-HQbRwMtLoynYAAAGdr8tfbwEAAAH2AQBvbm9fdHhuX2JpZDEgICBvbm9fdHhuX2ltcDEgICB7Wo8i/clv1c_ek-YBPHXLcTWXmxht19pu0GuCw57KhkpB2rXOtdmz2nZycSwGWOcUqh5pPDre3P7K44_U69tQVPCHF04KgHwRECCD2zgZoMqU-CXM3xszQo-qhTsX96dPM147-GMlrJt9UTj56ZpG5TZqvUBrcAi2fKepMDsttTrhsz-7RPyDCcdXHgBLpn3ttxKQFKSZ6uuDJjCNgtXj8ZO0e_72260EguBjxutRQ_wsp-Pq3wJo4zTtXdRZubdlQ5tmYhssYQXkEWKjn-ENaYh5LqHgKUnWc9RqhgAX6jghr1ghuvC0Ax3TuzqQxSIEs2a0hL7Oe29FuYZQx9OdQYVrfvnviayqWuv2eppx7dSCmhReoSlzZonPBJkTwt3WnizIQ79oLCsXSnEcUEZkDarDuQCNLanNbSCl6uVNpbYqVjJ2rbqya0j5CtLw_ODQLIgzimFlGQi5e7aKckhuF5vaRBO60cDITwsJDYKm_oDPp3zQFsxg6O2wvQp65xzuek42l3W-So1ABp6-ybLLmpJauMylIq8U1CsxIACravNvRNsro5o6hhczZh3eJG1gs7NSiCwiK2ecZzZ0S38GysrJjNPFhDkiuWoI8VVhyZO_ao3bQlGTImDT-eChZ4agVasEd-fCtxgUJ2LJZSk2-RtmyVy5tO7EP7b1X1wHJTzGKbNqw-bYkVlIhyNcH8e_2Ml3Lw8Ez74gN1DeeMTo2fY7MBYZd_-b4NghNCJXtnXzvUaBil8PxlVesnu9rkXtGoJDxFh-plpj3ejMbdJ4ni9_PzCeI450kqJWh4cLVVN0inS8vNYWIfNSRp_jt8hmPpQDfZqAUIaFJ2mdSSzZuzu9ouKW3hHLHrpIhQCbE7-OfN7vC05QILkExKasi3936krlObjg7z66RXOqhQczFFyzNM8m5Zmn8RSQNk9KEjwcynF2Ocu8DeTD5yuEkaflO37rQWc5WTZyyRU5iOO9a56Kb6jwEYCs8yMdDIYrKrF2r8flD9H5u44ZgK7wFr_d6Nbxk94ixt8vYrQZeBSvxBapTda3IRtjKz7CjPlUqIaRZjAztidSZ_d2yjZ9T_MkqCxSi4FNVLLAiisua5jwjX2Uy7TNKMbOb8Ev4yPK_qnYGEsECNEkJgZfxQMnTrrsmmiqkPri1Ynyq5YleQAE5LsgLtPUAxxWvnKZ07PRDC1_fWTVMLzSkxtKIhIHQ3hEbWoZ0vTH5RBPkQc8pU9xqlArHvMtj5gu8M61hPkdL9yCP269jLadAcYzJG9cxsQncwBrQ9cVoFlZAq0fBCnqeIVfxyTgsf1eXCvfT-3W6RRmltHW9Fef3IG0N7z2hq1u-K_TuUmyiFCZhRL4H6Q6axMP_brpLKvMpzwSLeRnzQZy4tVUwemqjwLBSevnRFBpG1hqhPd8aevHb1qlrXFSR9xE5aH-Sk7H12zZxoUlxXLWt8Q3YL-ueGVD3w3h1vniGu9cn_QxIiQuo4DPRKNxJ2dx0knaugC6YKvonOF2QXVvnTL8GHauXm8vIONTdV1gLxi2dU5fVVed2ifgHIntSC6k4_BPigr9HrzaEignURd-jPJ08XRWT6Gv-MC71jCRtHbPsFfQ3znERUWbA5Y7jynTkacdUD0TfvVRnV2EDTGSYdSe3X46IuE9QghBjQlnedvyWaAqoAg9Pi01QwCeQ/https://www.amazon.com/stores/page/03B2A611-0CC7-4F02-B07C-B3C3201FCDF4/?_encoding=UTF8&store_ref=SB_A08572753TPV7BIJKHJXD-A06583893JYOSEDL6ZR11&pd_rd_plhdr=t&aaxitk=5521e88bb42d979098c80feb81005f73&hsa_cr_id=5752477420401&lp_asins=B09NM3H6Q8%2CB09Y1FJ967%2CB09TVFMBFB&lp_query=tiki%20party%20decorations&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=N3YEe&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=VN35BH5SQJHKZGJRFGDV&pd_rd_wg=lnnBt&pd_rd_r=e1df7b2b-167a-4fef-bd56-e1d283f57626,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/34b9de36-72e1-40c4-80b3-6b8a2d8a468c._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.png",,Luau Party Decorations,2026-04-21T11:27:21.722780,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T11:27:21.723882,
3,1,Organic,,1.0,B09NM2FPKX,"Fovths Luau Grass Table Skirt Natural 9 Feet x 29.5 Inch Hawaiian Table Skirt for Tropical Hawaiian Party Decorations Luau Costume Party, Straw Yellow",N/A,$8.49,,4.5,2400.0,False,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_SL1500_.jpg,,2026-04-21T11:27:21.730321,
4,1,Organic,,2.0,B0894JQVNB,Frienda Tiki Party Decorations Hawaiian Luau Party Decoration Supplies Tiki Banner Totem Door Sign for Hawaii Tropical Decor Aloha Tropical Birthday Wall Hanging Decor Supplies,N/A,$8.99,,4.6,988.0,False,https://m.media-amazon.com/images/I/91ViNefMpCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91ViNefMpCL._AC_SL1500_.jpg,,2026-04-21T11:27:21.736646,
5,1,Organic,,3.0,B0CSN5RJ1M,"JtmyAota 100 Pack Flamingo Toothpicks for Appetizers, 4.7 Inch Natural Bamboo Cocktail Picks for Cake Dessert Food Fruit Party Decorations",N/A,$7.98,,4.8,147.0,False,https://m.media-amazon.com/images/I/71Zg4I0zK9L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Zg4I0zK9L._AC_SL1500_.jpg,,2026-04-21T11:27:21.740032,
6,1,Title,,,,Simple and Elegant Home DecorSponsored|Shop NAHAROShop nowPrevious page16.5ft Tiki Straw Roof Thatch,,,,,,False,,,,2026-04-21T11:27:21.741626,
7,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:27:21.741775,
8,1,Organic,,4.0,B073RBVTXT,"ALINK 50 Umbrella Parasol Drinking Straws, Hawaiian Beach Cocktail Luau Party Decorations Supplies",N/A,$6.99,,4.6,10351.0,False,https://m.media-amazon.com/images/I/81YbWfWBaPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81YbWfWBaPL._AC_SL1500_.jpg,,2026-04-21T11:27:21.745204,
9,1,Organic,,5.0,B08CS889K5,"KESOTE 6 Pieces Hawaiian Tropical Parrot Bird Honeycomb Hanging Party Decorations, Summer Tiki Bar Party Decor, Rainforest Decorations Garden Yard Room Decor",N/A,$9.99,,4.6,513.0,False,https://m.media-amazon.com/images/I/71uWFh7r34L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71uWFh7r34L._AC_SL1500_.jpg,,2026-04-21T11:27:21.751598,
10,1,Organic,,6.0,B0932TV2WL,"KESOTE 3 Pack Tropical Paper Flower Garland Luau Party Decorations, 30FT Tissue Flower Banner for Hawaiian Summer Tiki Bar Tropical Party Decor",N/A,$13.99,,4.6,702.0,False,https://m.media-amazon.com/images/I/71ZAuD1IQBS._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71ZAuD1IQBS._AC_SL1500_.jpg,,2026-04-21T11:27:21.756015,
