data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Luau Party Decorations,https://aax-us-east-retail-direct.amazon.com/x/c/JNNt0nuz9UwTFr9nV8pDqKUAAAGdr8lOiwEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDIgICBD44tv/clv1c_ek-wBPHXLUbXTixTtO49mrp6o-nVSkL4ZjYNLvP3v4M56pqgxdapWrRx9S05j6H0vUQbPXNqekCmY9Js_pSHA9wchk3xfOiBoNnHDqtsye26u9c4qyndF9ri8tl3vsKhl1VFQa57mZ0SdA80RUD9i9fBnBWclE1aksC4xjCe2GaPWGEnBmB7ccYELigqmB6HTDu8QVpCbQPRvcxtFxqB8HTvTktaDd4-HLzYeKibWML5JVtdQRGAUGrTE5sYFmFVOVpw5ShrtwB9OkGbJ7ec7uozvSplcN7w9uRoxczEsx4ptXkiwTob5TqAHEDjWpR5JX3twcqVxxjRameN0Y8w4cZRfLxldaTHFiFlWRul7q94ms6m1JVG-wK3OdJotD-6R52Szj_u3_n38Fn8uVxc51UmHoN8GAbM5mi9G5oj7V0zj2K1r8OrFjHEq62tLVhVCljk3zxkJrjS6w4SznQ6kkpUZo600qHrqFzEv1OdtkusWzDx-TZnbq3pMF_bIPgR3jAgajSgrcpkwygfxOvMykD6er0cK0aNFeZBOYdIcjRvgKe8aK3kziq6iTsQJV0NtNdJR3hiswf8E7kGGa5q4Yg8Lsjhkqlzr8xLcC27z-jgws0NMWLOBWdOB1TadG0JcufIAW4P-LxLW_J7ZOH4r8UYVofGhfwRgDXvBZEW93jHGlrmk8avzkgf3TDY0b58nVfB2s4jakLgxLXRDupEev5zpaZ1b-P2RbXYDfwbE9ElmzYZjzxdJvUol0F3GILaZSc-XvSCQnDJFXs9DjiQbR8fVy9K4ksrp5A4-nq-hGLH2tRGW1pGaFfMrLJtiZknTfZeSzcXiVMK1N2aGvOZ9HSg1u0pyNTaIzhyUw0dd-pihe7OY-cGm5_yJGWsAnje2aLO7zUzQ2Jqp6Gk06TCkkBichP9lg3q2kNbmXpT6QxVUIJgfektAM9zD6o-rODf3WVcbx55_FH2oQIRLqr3nRgI3ANzcKnH4TM-59ZJ15_2UjMVVl7_Nj5NvY6gcvw8uq-_D7sCWAX2ID0WzBl89VTGNYv7_pn1kP25DMw65KYq6L-WXHoX9T6bDJfdFVhLCkOvIs_hb3dIj34eoq9kk44hHZRSAbiA69kBR2SNUqYlODi5dgvo6oLn4gz5kiK6wwkUl5tBmkhHFWRlxMaODR6BXLFcuS54oj4WS7ZoQ6q7wuei8D00rH533Fvld5KnGGKAtL9AQb255v0Q1BD9wtU5OZzBareN8pNIgKldDDbcz-fTKq87HIKwfeITbIPpWqr8nHnjBGJ3GqlsmMRCXjTYwUVxC7tIrm0OBEkCGQ69gK482JbJ1hxdlWm0_cObn0wg3J4wUdllpUEkPL1Dgf2yJSYl2OGDZYyeoxy0-PqhYeJ1Y2n-pp1rEYAyzJ5gw_YKiev-jbCu7f1halqzO7NYi8hjjH14dPhq8yyS1jYTq700INWSGcYNMCzW55Qr4287KHN5mR6dekcH42DGYpzlGxd2Oql2dCR5YSAiGNhD_RwdhTzBgXaDKciB3P-3mKpRkb0bdL2q7PlbCvYJbS4VidU1k3eT-2cTs-MB5BsVfDHnnzedtAqg9bcyFGKP0B7K-2tfhyn62CbdW9RrtTR1XTOwRoScwIL5QP8W21v77IRvUhgwC7Ol7Ouy0QMA5UHCflIN-WRYV6jZHqZSiouubraOyw/https://www.amazon.com/stores/page/03B2A611-0CC7-4F02-B07C-B3C3201FCDF4/?_encoding=UTF8&store_ref=SB_A08572753TPV7BIJKHJXD-A06583893JYOSEDL6ZR11&pd_rd_plhdr=t&aaxitk=5521e88bb42d979098c80feb81005f73&hsa_cr_id=5752477420401&lp_asins=B09NM3H6Q8%2CB09Y1FJ967%2CB09TVFMBFB&lp_query=tiki%20party%20supplies&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=hEYoW&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=A0RPS5W7AVVEDKDJHYK5&pd_rd_wg=SMtqc&pd_rd_r=e4da79f2-0c72-4f33-af89-6e16add11bbf,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/34b9de36-72e1-40c4-80b3-6b8a2d8a468c._CR0,0,400,400_AC_SX130_SY60_CB1169409_QL70_.png",,Luau Party Decorations,2026-04-21T11:25:06.223142,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T11:25:06.223690,
3,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2699.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-21T11:25:06.228518,
4,1,Organic,,2.0,B0BYJDX7P4,96 Pieces Tiki Party Decorations Luau Party Plates Hawaiian Aloha Decorations Tropical Tiki Paper Plates and Napkins Hawaiian Disposable Dessert Tableware Set Luau Supplies 24 Guests,N/A,$17.99,,4.6,2001.0,False,https://m.media-amazon.com/images/I/81wx+aDV1YL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81wx+aDV1YL._AC_SL1500_.jpg,,2026-04-21T11:25:06.232192,
5,1,Organic,,3.0,B0GTX3J698,"Survivor Party Supplies Pack for 10 Guests – Official Survivor Merchandise, Includes Plates, Cups, Napkins & Tablecloth, Tiki Torch Theme Party Set, Birthday Party Pack",N/A,$42.95,,,,False,https://m.media-amazon.com/images/I/61ThjQ2z60L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61ThjQ2z60L._AC_SL1500_.jpg,,2026-04-21T11:25:06.236618,
7,1,Title,,,,Debug info copied.SponsoredLewtemi Tiki Bar Decoration Outdoor Funny Wooden Tiki Bar Sign Beach Acce,,,,,,False,,,,2026-04-21T11:25:06.237906,
8,1,Title,,,,Simple and Elegant Home DecorSponsored|Shop NAHAROShop nowPrevious page16.5ft Tiki Straw Roof Thatch,,,,,,False,,,,2026-04-21T11:25:06.239058,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:25:06.239321,
10,1,Organic,,4.0,B09NM2FPKX,"Fovths Luau Grass Table Skirt Natural 9 Feet x 29.5 Inch Hawaiian Table Skirt for Tropical Hawaiian Party Decorations Luau Costume Party, Straw Yellow",N/A,$8.49,,4.5,2400.0,False,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Hsj3wr27L._AC_SL1500_.jpg,,2026-04-21T11:25:06.244171,
11,1,Organic,,5.0,B0BYJ1NBD8,"Frienda 130 Pcs Tiki Party Supplies Sets Hawaiian Party Decor Luau Plates and Napkins Party Supplies Tiki Tablecloth Aloha Tropical Plastic Cup Straw Knife Fork for Hawaii Summer Party, Serves 16",N/A,$20.99,,4.6,40.0,False,https://m.media-amazon.com/images/I/81EeRV60cCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81EeRV60cCL._AC_SL1500_.jpg,,2026-04-21T11:25:06.248768,
