data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Under The Sea Party Decorations,https://aax-us-east-retail-direct.amazon.com/x/c/JFXbYVtI7-GQhD2IsbjphDQAAAGdr8eeKQEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDIgICBGslfQ/clv1c_ek-wxAfWJUbXDYHYVp5dhUavBnaJ-pMXMW375aPI35v1y-vi6jz7Ojd3_zuqT72saVLEILTfNK_oNplU6E_pTK302gLaZg81CLgHDqvqLdT0k9fzJaQFXN0x4vBABnI-3gw_4GbELmDhFC6HBccijGG42MXclV7mmoTyVzKrpE4fHG0V9qAtvHGAO7wfP6j0klvf-Axn-0DP2Iw1J4hkcWaZ9cUX5mv2tKykCTCiCqroREFvLpFQEXdvqnVt4PpC2cte-vI6CyefBJm6nc6nyuAvO84xQN1v6svG8mbftXTrqFEE5H4jVUFxw7_adxpyybw_ime9I2Gk8PQX83NJloNXRZ1UCFyMLqrGWJeLpaHqKCkzYeT6LJo8K7lWpxsU3Nml8oDKvYle2FJ0I0VAbxdIn1nR416-1kzQXvnlw65C4l0jdGHJ1uOpl3wkZ6yE-ZO0FFs6RHb7oLz0AJuynyhN90pUeqcNYKFAeTaZqe-5CcIICQeGH_UYk8r6EUijdd2kM0r9nHA6E6t5dUMQ0vFPC66yJlHnxGhkN7monViks9Zs7Z2-FxglPgOeDm0VE5KZwSkNeyPIJuKE2Clax8E7Vk0iFCU7cYrQ-Hxgdxv_ZaLgGbzMZ43AqiY2R8D8LfTHG25Y26JAwGrvmEu71U9WWdtIFWKLhVcMeUrf0Ti0ccGRvV-oSmHV_GUPExrvEuIH40GAI1_G8XXy_YEQz7DlZG--eMp7s7XwTaKJsmd0GAKVsbrpjRJ801KKTjN0JppDB9Y3rEPqMuVb-Yv3oGmHqMjmFO8ckJH5gxKq7RcO65fL7a6tGAci70unr19my181ospcvj8UIWGrpyh31Ik_T8wSelj-ry_tQyyLiLXcwSABi09Lt36s_-O6cAH-NQpdINHuUj86TPgyqc3ShLf_wcKmJrf_7ILo2x15X8BBRlY4euU3OuF1Cnrl636UlWeM-svCams-cWCV7zbIhPVScMsrMxXgUz7E2n0d4_vOjhKzOnq32XmJ1vqQ2zluxrjrHqN4e9gDmvz9vhadejY5yvb6Olky9B6sxqDMj0RnsPuHUw7OfqEU4L8LmB3KTXD0bUMZ6zo07jAvi1A5u7h2VsfqMDZXqMtZh4bmEcIgHvoM33WGH6Se4Fh9EbPPWLmzA8G0-vaWNNGJ5XjBNKMGK2cgbomkAgCXUEKTcHOUb_047OEaLQrshZAPegrUOFwCceq8Qs9Vovt8wC3scu67YVPB661EaIoicUMWP-7-OGTFbP1ptOcOp6srOQcNSR__ECGXrwLx_Bh3uXzoW7ulSVB6xXk3Npetjy7w1wJhwx_48Jl_seFDxPWlWtontrbw0YTkJ4AOnagVylQpAI4ORPdkJuWDw5EezDqY1KBKNE-4KkvVNo5aR0ttOnM-iHgvJJ-mcKgrGTTLKoez4CHbQLFYMJ7iNUmF_HmoVo7hZnGJHs4MaL_deO1VbSY39lcdkIg9_S0WycWV1_oEBLzGIj22EtreM4DqegAM7bL8bMfnwzkCUEERGpqCxk0Wz-p5iLvL1H5hPKKn-8i2sxHoNchv2fFDuo59Y58fJzWZ3v5FFUZwwlTQLsXLTHhL2fD1LXaj7yvjNGcc9QZxK_mra2y5fJ4pCjx9dBSFHRis2HlJr40CMyDGq8bJMIEL5qkYigub-InSbluOc9CV1xHDp2UQ7txR2A/https://www.amazon.com/stores/page/6956570F-DAF5-4795-AC42-1726A926FA0D/?_encoding=UTF8&store_ref=SB_A017845915CPB7KG2KJUE-A06766673SV040RNQ87P0&pd_rd_plhdr=t&aaxitk=593ed25cdae78151079140b4dafc652e&hsa_cr_id=0&lp_asins=B0DDH82BQW%2CB0CZ3LWF46%2CB0CKHGHL7Y&lp_query=under%20the%20sea%20party%20decorations&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=xZb4F&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=31M1RTVWG1K58CS7BHDE&pd_rd_wg=L0rlg&pd_rd_r=43db14de-c250-4659-b616-c335b722a796,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/6652b2e9-23b6-4b18-809a-f61057132782._CR0,0,600,600_AC_SX130_SY60_CB1169409_QL70_.jpg",,Under The Sea Party Decorations,2026-04-21T11:23:15.266853,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-21T11:23:15.267924,
3,1,Organic,,1.0,B07YDK14GQ,Decor365 Under the Sea Party Decorations White Bubble Garlands Little Mermaid Birthday Decorations Bday Hanging Streamer Beach Banner Decor Underwater Backdrop Kids Ocean Party Supplies,N/A,$11.98,,4.6,6487.0,False,https://m.media-amazon.com/images/I/51Gcx9gKPQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/51Gcx9gKPQL._AC_SL1500_.jpg,,2026-04-21T11:23:15.276007,
4,1,Organic,,2.0,B0C4DFTKP8,"Under the Sea Party Decorations 98Pcs, Ocean Theme Birthday Party Supplies Include Backdrop Tablecloth Bubble Garlands Cake Topper Ocean Animals Balloons for Pool Beach Party Baby Shower (Ocean-01)",N/A,$22.99,,4.7,540.0,False,https://m.media-amazon.com/images/I/910e-bJJFyL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/910e-bJJFyL._AC_SL1500_.jpg,,2026-04-21T11:23:15.281273,
5,1,Organic,,3.0,B0CV33D9F1,"3 Pcs Iridescent Waves Tablecloths - Disposable Plastic Ocean Blue Table Cloth Rectangle Table Covers for Under the Sea Beach Surf Pool Party Birthday Party Decorations, 54 x 108 Inch",N/A,$8.99,,4.5,671.0,False,https://m.media-amazon.com/images/I/81jVudN5HQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81jVudN5HQL._AC_SL1500_.jpg,,2026-04-21T11:23:15.285537,
7,1,Title,,,,"Debug info copied.SponsoredJellyfish Decor - 10 Pcs Light Up Jellyfish Lanterns, Hanging Jelly Fish ",,,,,,False,,,,2026-04-21T11:23:15.286589,
8,1,Title,,,,"Ultra Iridescent, All-Round Color Burst!Sponsored|10K+ bought from this brand in past month|Shop Vib",,,,,,False,,,,2026-04-21T11:23:15.288330,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-21T11:23:15.288511,
10,1,Organic,,4.0,B0BWR9FQYX,2 Pack Blue Streamers Party Decorations Fringe Backdrop Ocean Themed Decorations Foil Curtain Backdrop Blue Birthday Ocean Party Decor Supplies,N/A,$5.97,,4.4,10544.0,False,https://m.media-amazon.com/images/I/914rDCqCJuL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/914rDCqCJuL._AC_SL1500_.jpg,,2026-04-21T11:23:15.292004,
11,1,Organic,,5.0,B0CZ637F9S,"OBXT 10"" Blue Hanging Jellyfish Paper Lanterns - Under the Sea Party & Mermaid Birthday Decorations, Baby Shower, Nautical Events, Ocean Theme Classroom & Beach Room Decor (Set of 6)",N/A,$20.99,,4.8,707.0,False,https://m.media-amazon.com/images/I/81vZ2BQo+gL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81vZ2BQo+gL._AC_SL1500_.jpg,,2026-04-21T11:23:15.295632,
