data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Colorful Rainbow Beach Balls,https://aax-us-east-retail-direct.amazon.com/x/c/JMRLzeQ8I_rtHs2Y3PJA4NMAAAGdi01PpAEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICCcpeMm/clv1c_ek-IBHHWYkbbHg8nY-s8yi9Z7U0Fq3Fxp3morSNq-87AcJqWZjUzmJtN6EKGbJJ_ZeZeacBLeIIlSBWTuxrvcHE9oV6gOdYsZwI8Lgjz98RUm3JHEDBpvg9S68ucpnMD08irK8DPhm2RuFL7QIz8Y0k6BNx8F1Du4sT1lzapwMIPSGoTGFgNv-7kaxsgA1nVF71hYhpZbzLH79TtlsiN83-_LSt-lAp2VE0NkMX_U9XA-PC6mw2uQcdxIOEzBtgLiEy4agffi9f6QiZZpV0h0pqnYIHVAFtJIxikQqeafkO_HLOCQFsePo3yDPivEMQidjaqm-cD8T080mbz1kOhk--5HuO12L2SNwzQ_jRwtujlJ3Y7jncY6BnwZta61yO7ngPsnZb6TGCbWpFZUas68iiEQds4CXkhexBHKdlylfFVGjwPrpv1F6Cbms-wDmrZfcZ0j548Daa6F9MyIJeHmOBmuem8XMIHDfTd1FyTY3Ztdd6cog57nVsTgX1WdRuQzb6voTjXLzUtDlVcgPck5GWKXyL50L3hcIZg_DqrG3KFd81IIWCRe9E2mDQKBI0R5fgYUc7Ii5TvA4nWERjYpe_IwbWrvdC5wfZCoBmauB0-rdSaPi_QxnHSySyZQGRTu0QU9P0jXhwsz3EvkVBj8s95V19GP7g0wjFk876jZt_Irrpzovjsu0qSqrp_6OfwZRyptTWJXmJt2Yz39FHwSANqdKWIuEH8v6u4rJjJ1NvtGFT11G6Bb-GOmjllpOVAL-yu-EgdCuy_yemf231dlXn6hWL3yIDXei8HvApxDc07jUysCEVlcdLky6b5YRfnPhV_aU9FE6qC4d3xTy0Id9DvV1nhGgnNpunygjjcUWUMhCokMvlERzXlbjjqBwxwaaguWYfK6UVN2FrPh2AdesU8Bvb9KBOWOUAwygl88AgqMprSK1Hi0Ule2nHmUEcPZjGXg1pUSclqEKi-zdcVXzog38R02NCxGGhmF59bc-x-Qx6GymGqSdQFwW6mNF54zokfCWotkhdfyGMZHZaApMpUhaSCODLLxTAtAtUQTvC8kBM4FtlUDfgONFizHLDQmCdBmfV4bHKOWYrjUgtjOVPUB2Wji0LNb3FJPug1JhPaQb1zBqIwrtNj06pT79rbMq4lV2XAEgY7FLh2MVzhUynNHy2XFvRV7d1KAbrh1ZcDg7qdOZx3LDt_YfcN2Dt2JyXRz567zYsAzqKiq-P1N9fZ_ccaT3vWLyNXF1ZVct3zlHb2OoBl6Uop2KuOY7zg1cU4NvdvqiCUVw0XaPolK8zuo78BOjfVwoAPK-BX7_2qPPkjiYfcUuGGC2lVz4lLJX__1rhy7wVejUb0AgQQp_DSRmGBkVyUeMpyWhV3PrpHPo_sAYP0uBTdj3ZC58rllfcIwUnxzz--JU1ayUDWLFghy8fMczlf7pG3ksZnAGHqzIXaSTzBHsACCh0ZaRTMZ6kT_k9hgBIOWNk3pTsr0H8tR6vmA65jLBxFGuXtrYuYu_DLjMqWoRvuhYFnU4FNLp9SmRkUpBSrIA5Pruv9pxR1S9_4E_BKIZvZqHIcIlMkOUcElh-T5xjqWILE1lBm0N22S3cxVtnDgPIS7XbYXfjZVvamVMbgsUGBYb3HGPlF-R5IptfVJ3rbNdSh6Owq-654muZ_ViPtwBVEVhFFf7h2iJtouslJ6Ts7RcfBgg/https://www.amazon.com/stores/page/6A529998-3E96-4BBD-BB73-E06A4301338D/?_encoding=UTF8&store_ref=SB_A0829677URZWUORHME4J-A07459312VL5H8ME5BLCV&pd_rd_plhdr=t&aaxitk=79abc419f289afaae959d05e3a0c20bf&hsa_cr_id=0&lp_asins=B0BKTLGZN1%2CB07NWR7HKD%2CB07NZPQ5G6&lp_query=pool%20party%20decorations&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=nhx1m&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=13TXYJDVN5J05P7E6ACW&pd_rd_wg=oVP77&pd_rd_r=d1f1d7c0-e508-4b20-805a-754591231adc,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/acc8c1a0-a88e-4e2a-8344-da2cbf5ce25e._CR0,0,1613,602_AC_SX130_SY60_CB1169409_QL70_.png",,Colorful Rainbow Beach Balls,2026-04-14T17:23:15.688685,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-14T17:23:15.689685,
3,1,Organic,,1.0,B0GMPXPMZ5,"Pool Birthday Party Supplies,Summer Beach Party Decorations Paper Plates,Napkins,Balloon,Banner,Cupcake Topper for Summer Hawaiian Beach Pool Birthday Supplies Serves 24",N/A,$20.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/91NC+3f2OpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91NC+3f2OpL._AC_SL1500_.jpg,,2026-04-14T17:23:15.697217,
4,1,Organic,,2.0,B0DT6X8QP2,"Summer Pool Beach Party Decorations, Splash Birthday Bash Party Supplies Tropical Summer Banner Beach Ball Lantern Fringe Curtain Foil Balloons Arch for Swimming Water Luau Hawaiian Party Decor(Blue)",N/A,$18.99,,4.4,301.0,False,https://m.media-amazon.com/images/I/81BUSERqr5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81BUSERqr5L._AC_SL1500_.jpg,,2026-04-14T17:23:15.701909,
5,1,Organic,,3.0,B0GN2B8GXV,"48"" Giant Glitter Inflatable Swim Floats with Large Cup Holder Jumbo Pink Striped Pool Ring Fun Print Pool Lounger Tube for Adult Summer Swimming Beach Party Supplies",N/A,$69.99,,,,False,https://m.media-amazon.com/images/I/8155s8L6a6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8155s8L6a6L._AC_SL1500_.jpg,,2026-04-14T17:23:15.706818,
7,1,Title,,,,"Debug info copied.SponsoredAmerican Flag Inflatable Cooler, Pool Party Decorations 130+ Cans Large D",,,,,,False,,,,2026-04-14T17:23:15.707874,
8,1,Title,,,,Bulk Sunglasses for Kids Party FavorsSponsored|5K+ bought from this brand in past month|Shop RugortS,,,,,,False,,,,2026-04-14T17:23:15.709879,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-14T17:23:15.709879,
10,1,Organic,,4.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2697.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-14T17:23:15.714904,
11,1,Organic,,5.0,B09TSY3Y24,Yexiya 12 Pieces Beach Honeycomb Centerpieces Pool Cake Balls Table Toppers Beach Pool Party Supplies Decorations for Birthday,N/A,$7.64,,4.3,246.0,False,https://m.media-amazon.com/images/I/81uawshAiQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uawshAiQL._AC_SL1500_.jpg,,2026-04-14T17:23:15.717408,
