data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Spring Home Goods,https://aax-us-east-retail-direct.amazon.com/x/c/JCiz8gtI80HWQKfCgG9hlu4AAAGdi1IWWQEAAAH2AQBvbm9fdHhuX2JpZDQgICBvbm9fdHhuX2ltcDEgICDpuID7/clv1c_ek-wBPfXJTbbzg5Sc54huj4p7V0Ef1hz4dw9Pu21mgnfVsfcjcVEsYW_NwQMZcM0aFQG_0pLbTIL8diU_7DhfqJnsRKNI2qtqQluDCtg205Ok_JGSopvi5X7xil1ogp5d4mruyJ-RkjgqK3igO8WpRu7vdxMdtXpohQw2ydqjYA3eyvdHtOZPu64n0LXF2ohoP2JntG-zQLZkTQ89s7ExGfPDZ8PQB8glI9Jh9pPXtk6gQakmgOOtZxWKAf9IruQdqByvcgpMgyXNN95e2OZ_HiS4e165ZP5guzh9AZiF7uKvTeBkAGvs8A1VBxJYAOfHigtombsPzgo8f7iNGMeH99jExpsNSeVkomHz61Sm27iMkyyIJNBKoAqxRfZ1OTWgDruIk1DrPmDsLbOGy_i5dZbhUjSKyO0ySsEK-izrFb38sNzlBGJAYO8w9YPByQrksoPETkRfGzyT5hpJ1acQsWNpCUkR3BtfQwbdGKsU7ap7JpJHD2V2-sER_xGgYYtHxZPuSZizvQR8wr9TU0zJXIO0T2Xdm0hxNICNzlK_eQeGwMM7Z_eF2K33-Y-5IIf7LJk_WMu9baU6mj2JUtTAOdwLz5J4l3V4xzfjH5J7hi-lLASIPMOiecjcxcxR2GmVepuJ8HgaMNK5ueU5luhFEAF7WvMGt3K8-HN3MOhDCoWw4GeNv_2yC1nLWj5WhoY13l78xx7u26uEBzCsYK4SH-Gpl5TPrpJ5quxGTdokVYAyHh3mTGE7dVnlKJYZQi23CqNMCLCcNTpihvXEB-ZIi4SdkZRq8c2bJQGH5KvmW01cWY5vK8lAlkJfJwXvYjLuj2dBGdWPgcMW66X3wBNcjCKHIVtaKT5LLtJtCtjgM-Kxxt2UH_kHxumK9t7kcXCAbtgxgdGns9ST4M4_eJyAOsu-LuiZ36U0BXwAr8Yoa9qnQfSPNcF8r7mptDwLIvWRh6LtjSL_E9q_571uTcPllkD5L8lBMG60v087y1bcjwCpo1P1bolOi4siLG9WCFAXa680f0u8F-84-sSh3fXthimYhRxtmAiBscqaLO7H2KK2JK16zi8wBbS4m5LfkFQ9Q4BwLEzXw_zIr2e16J1WDHWpyDr8ALPsfVlk02yme1W46KiQ91rSTCTCFqc9B5PNaUC0LpW9w6Xm-hAfj117JhmevtNSsIaA3vWZgS0YATyHuxHm8nXp4qFIUQ9sHT1G4BIikZRuQx9kO2MfU_PZNQYQ4vRLRnVVA9hJbH6NuGynzqPAgIKinVu_uAvJ0o1oDxw1f0fLmO6sxNkH2qUjNrKkkH5EWbtsIkrH2aDjJx50RtPtp5NcWebtfzce3ydIZep-phdL9SLEf_M8t1VBUSJFO4F22Ne1wCchF1EGq_l9OczAf_s17ZkRktDTLfm6ysDg38aVxJaTC6qeWbSWTCympVvgobp85QV69esfUgpi0my7OcTYtV_PJYUMeqeJlnFQIDN_T1ToyfZhe5_Oj6hANBiF-rZqqowj61FNITUJfXBXcZcxyQozsslv6xmvldpNEDSnBDyEYaahrOEe65T-T2lRDUGYAoFzna7VtreQlvMwErRMHS6gl86x4s7hv0U1OOjG8UgrLDu8S6f5Sjo4DgEO_eIJBu4GMeJzg_5KNQSHx0qAdW9vLsJ3jwIvX93yPBCjCp9DN68tfrigLmBeCjU5yLO5eyVpb0/https://www.amazon.com/stores/page/0A268C56-05CC-46D2-9ECC-F29E8BE8C998/?_encoding=UTF8&store_ref=SB_A03102851ZFGXX01KTHUJ-A0992199FLA8U9JLWXFR&pd_rd_plhdr=t&aaxitk=1bb52ffabbc7cd44d7477d7ad798d689&hsa_cr_id=0&lp_asins=B0DJZS4Z1F%2CB08WJK4MSV%2CB0CNS2VGTV&lp_query=summer%20decor&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=A8GNe&content-id=amzn1.sym.15c9e6e9-b83a-41a9-bfc7-ecd1e6138b44%3Aamzn1.sym.15c9e6e9-b83a-41a9-bfc7-ecd1e6138b44&pf_rd_p=15c9e6e9-b83a-41a9-bfc7-ecd1e6138b44&pf_rd_r=JQY0CX2QDTMRW3EA180G&pd_rd_wg=o1wiI&pd_rd_r=21cc9445-9c19-409e-bf96-a7109f53c186,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/4f219612-5763-4d09-a844-fc0df1939a1e._CR0,0,1471,1471_AC_SX130_SY60_CB1169409_QL70_.png",,Spring Home Goods,2026-04-14T17:28:28.791260,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-14T17:28:28.792261,
3,1,Organic,,1.0,B0DR8QNG1H,DFXSZ Spring Summer Pillow Covers 18x18 inch Set of 2 Farmhouse Decor Yellow Color Flower Heart Sunflower Soft Plush Faux Fur Jacquard Throw Pillows for Sofa Holiday Spring Home Decor PTK024C18,N/A,$8.99,,4.6,518.0,False,https://m.media-amazon.com/images/I/81mHf9qwslL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81mHf9qwslL._AC_SL1500_.jpg,,2026-04-14T17:28:28.806566,
4,1,Organic,,2.0,B0D46DC2NQ,"Lemon Truck Decor with Mini Fake Lemons Lemon Decorations for Home Kitchen Farmhouse Tabletop Centerpiece Summer Tiered Tray Decor Lemonade Stand Decorations Amalfi Coast Party Favor, Cream",N/A,$12.99,,4.4,672.0,False,https://m.media-amazon.com/images/I/61GKc6CvuVL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61GKc6CvuVL._AC_SL1500_.jpg,,2026-04-14T17:28:28.811593,
5,1,Organic,,3.0,B0CWN2L3MV,Summer Decorations For Home Hello Summer Wooden Sign Wall Table Centerpieces Shelf Mantle Office Decorative Wood Signage Rustic Farmhouse House Indoor Seasonal Decor,N/A,$12.99,,4.6,143.0,False,https://m.media-amazon.com/images/I/61B1AF8rwtL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61B1AF8rwtL._AC_SL1500_.jpg,,2026-04-14T17:28:28.815607,
7,1,Title,,,,"Debug info copied.SponsoredValery Madelyn 30ct Summer Tree Ornaments Christmas in July Decorations, ",,,,,,False,,,,2026-04-14T17:28:28.815607,
8,1,Title,,,,Artificial Cemetery Flowers For Grave Summer DecorSponsored|30K+ bought from this brand in past mont,,,,,,False,,,,2026-04-14T17:28:28.817617,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-14T17:28:28.817617,
10,1,Organic,,4.0,B0CRYP8CB1,"Laelfe Artificial Lemons Branches, 8 Head Faux Lemons with Stem Fake Lemon Themed for Kitchen Decoration Party Farmhouse Decor (Yellow)",N/A,$12.69,,4.4,524.0,False,https://m.media-amazon.com/images/I/81mptZY0K1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81mptZY0K1L._AC_SL1500_.jpg,,2026-04-14T17:28:28.821024,
11,1,Organic,,5.0,B08LK7Z682,"COCOBOO Sunflower Artificial Flowers Pot, Sunflower Decor, Yellow Fake Flower in Pots, for Home Bathroom Kitchen",N/A,$9.99,,4.2,2950.0,False,https://m.media-amazon.com/images/I/717Vlj3bQzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/717Vlj3bQzL._AC_SL1500_.jpg,,2026-04-14T17:28:28.825061,
