data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at
0,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-14T17:54:29.273979
2,1,Organic,,1.0,B0DYP2GSZ4,Cinnvoice 6 Pcs Summer Table Decorations Wooden Table Centerpieces Rustic Wood Tabletop Sign Decorations for Home Kitchen Office Farmhouse Desk Shelves Party Tiered Tray Decor,N/A,CNY 109.20,,4.6,126.0,False,https://m.media-amazon.com/images/I/81UF2-i+06L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81UF2-i+06L._AC_SL1500_.jpg,,2026-04-14T17:54:29.277619
3,1,Organic,,2.0,B08LK7Z682,"COCOBOO Sunflower Artificial Flowers Pot, Sunflower Decor, Yellow Fake Flower in Pots, for Home Bathroom Kitchen",N/A,CNY 68.22,,4.2,2950.0,False,https://m.media-amazon.com/images/I/717Vlj3bQzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/717Vlj3bQzL._AC_SL1500_.jpg,,2026-04-14T17:54:29.283510
4,1,Organic,,3.0,B0GMT5VL56,4pcs Beach Party Decorations Hello Summer Themed Tablecloth Summer Pool Surfboard Disposable Plastic Waterproof Table Cover for Hawaiian Tropical Aloha Luau Birthday Party Supplies,N/A,CNY 75.05,,,,False,https://m.media-amazon.com/images/I/81l6RJ-xa6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81l6RJ-xa6L._AC_SL1500_.jpg,,2026-04-14T17:54:29.287083
6,1,Title,,,,Debug info copied.SponsoredMarsui Lemon Decor Set Mini Wooden Crate with 8 Fake Lemon for Home Kitch,,,,,,False,,,,2026-04-14T17:54:29.288192
7,1,Title,,,,More results,,,,,,False,,,,2026-04-14T17:54:29.288192
8,1,Organic,,4.0,B0GCJX75QR,Lineshading 4 Pcs Summer Table Decoration Wooden Sun Beach Tiered Tray Decor Summer Centerpiece Rustic Wood Made for Sunny Day Block Sign Gifts Beach Decorations for Home Kitchen Office Coffee Bar,N/A,CNY 116.03,,4.6,960.0,False,https://m.media-amazon.com/images/I/81GsEDkaKsL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81GsEDkaKsL._AC_SL1500_.jpg,,2026-04-14T17:54:29.293219
9,1,Organic,,5.0,B0CRYP8CB1,"Laelfe Artificial Lemons Branches, 8 Head Faux Lemons with Stem Fake Lemon Themed for Kitchen Decoration Party Farmhouse Decor (Yellow)",N/A,CNY 86.66,,4.4,524.0,False,https://m.media-amazon.com/images/I/81mptZY0K1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81mptZY0K1L._AC_SL1500_.jpg,,2026-04-14T17:54:29.297322
10,1,Organic,,6.0,B0FYH1TJXM,"Yellow Sunflower Gnome Figurines - Indoor Home Office Kitchen Spring Decor, Summer Gnomes Gifts for Women, Resin Bee Statues for Table Shelf Decorations",N/A,CNY 129.69,,4.6,49.0,False,https://m.media-amazon.com/images/I/71goxSniOJL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71goxSniOJL._AC_SL1500_.jpg,,2026-04-14T17:54:29.303798
11,1,Organic,,7.0,B0GKNFS6V7,GAGEC Summer Pillow Covers 18x18 Inch Set of 4 Highland Cow Decor Highland Cow Decor Summer Decorations for Home Sofa Living Room Farmhouse Cushion Case,N/A,CNY 109.20,,,,False,https://m.media-amazon.com/images/I/81h75iEUcFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81h75iEUcFL._AC_SL1500_.jpg,,2026-04-14T17:54:29.307712
