data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at
0,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-14T17:56:58.878077
2,1,SP,1.0,,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,CNY 64.81,,4.5,2697.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-14T17:56:58.882737
3,1,SP,2.0,,B0DY7Q87NC,Summer Beach Party Decorations - Pre-Strung Hello Summer Banner and 16 Hanging Swirls Pool Party Decorations for Home Office Classroom,N/A,CNY 54.29,,4.6,20.0,False,https://m.media-amazon.com/images/I/81WnSn6kppL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81WnSn6kppL._AC_SL1500_.jpg,,2026-04-14T17:56:58.887259
4,1,SP,3.0,,B0GC68YVNG,"DMIGHT 80PCS Leis for Luau Party Decorations- Hawaiian Leis Bulk, Luau Party Glasses, Colorful Bracelets, Flower Hair Clips for Adults Kids, Tropical Birthday Summer Beach Luau Party Favors Supplies",N/A,CNY 129.69,,4.7,22.0,False,https://m.media-amazon.com/images/I/91-1TMK+0wL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91-1TMK+0wL._AC_SL1500_.jpg,,2026-04-14T17:56:58.891276
5,1,SP,4.0,,B0F8QMB1HY,"15Pcs Paper Lanterns Party Decorations, Beach Ball Paper Lanterns for Luau Party Classroom Outdoor Decor, Decorative Summer Hanging Colorful Paper Lanterns(8pcs 8-Color 8"" + 7pcs 6-Color 5.7"")",N/A,CNY 102.37,,4.8,30.0,False,https://m.media-amazon.com/images/I/716tEFw2quL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/716tEFw2quL._AC_SL1500_.jpg,,2026-04-14T17:56:58.895297
6,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,CNY 64.81,,4.5,2697.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-14T17:56:58.900319
7,1,Organic,,2.0,B071JR7GYP,"JOYIN 60"" Inflatable Palm Tree Cooler, Beach Theme Decor, Pool Party Decorations, Luau Hawaiian Birthday Party Supplies, Ocean Jungle Tropical Themed Summer Outdoor Drink Cooler",N/A,CNY 136.52,,4.3,5370.0,False,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_SL1500_.jpg,,2026-04-14T17:56:58.905333
8,1,Organic,,3.0,B0GCZR9158,SUNBEAUTY 14PCS Pink Party Decorations Paper Flowers Decorations for Wall Paper Floral Backdrop Hanging Paper Fans Flower Garland for Birthday Baby Shower Spring Decor and Office Classroom Decorations,N/A,CNY 109.20,,4.6,868.0,False,https://m.media-amazon.com/images/I/71j5bCqQoPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71j5bCqQoPL._AC_SL1500_.jpg,,2026-04-14T17:56:58.911878
10,1,Title,,,,"Customers frequently viewedSponsoredFlamingo Hawaiian Party Decorations, Luau Party Decor Flamingo a",,,,,,False,,,,2026-04-14T17:56:58.917428
12,1,Title,,,,Debug info copied.SponsoredOzepao 58 Pcs Summer Cutouts Beach Hawaiian Theme Bulletin Board Decorati,,,,,,False,,,,2026-04-14T17:56:58.917957
13,1,Title,,,,Colorful Rainbow Beach BallsSponsored|Top 10 best-selling brand in this category|Shop JOYINShop nowP,,,,,,False,,,,2026-04-14T17:56:58.919964
14,1,Title,,,,More results,,,,,,False,,,,2026-04-14T17:56:58.919964
15,1,Organic,,4.0,B0DP2FLFKM,‎Renbuzhu 15PCS Pool Party Decorations Beach Ball Paper Lanterns - Summer Luau Hawaiian Themed Hanging Decor for Home Birthday Outdoor Indoor,N/A,CNY 109.20,,4.5,126.0,False,https://m.media-amazon.com/images/I/81SAWFpzVML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81SAWFpzVML._AC_SL1500_.jpg,,2026-04-14T17:56:58.927504
16,1,Organic,,5.0,B0BX6C82D6,"Artoid Mode Daisy Eucalyptus Lavender Floral Leaves Summer Table Runner, Spring Kitchen Dining Table Decoration for Home Party Decor 13x72 Inch",N/A,CNY 68.22,,4.4,1016.0,False,https://m.media-amazon.com/images/I/71IhlrnyNCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71IhlrnyNCL._AC_SL1500_.jpg,,2026-04-14T17:56:58.936106
17,1,Organic,,6.0,B0DC51MRZ4,"Freyalife Hawaiian Leis Decorations(24pcs),Leis for Luau Party Decor Flower,Tropical Hawaiian Bulk Hula Dance Party Decor",N/A,CNY 47.74,,4.3,619.0,False,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/816+lI1lMEL._AC_SL1500_.jpg,,2026-04-14T17:56:58.940615
18,1,SP,5.0,,B0DZYT48XZ,"Hello Summer Banner,Summer Party Decorations",N/A,CNY 47.74,,4.6,31.0,False,https://m.media-amazon.com/images/I/51lRmNCx93L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/51lRmNCx93L._AC_SL1500_.jpg,,2026-04-14T17:56:58.945120
19,1,SP,6.0,,B0GLG7NHMK,144Pcs Tropical Luau Party Supplies Hawaiian Hibiscus Floral Disposable Paper Plates and Napkins Palm Leaf Themed Tableware Set for Summer Beach Aloha Birthday Decorations,N/A,CNY 122.86,,5.0,1.0,False,https://m.media-amazon.com/images/I/81+2soqpw8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+2soqpw8L._AC_SL1500_.jpg,,2026-04-14T17:56:58.948131
20,1,SP,7.0,,B0GKNL7PMH,"Flamingo Hawaiian Party Decorations, Luau Party Decor Flamingo and Pineapple Honeycomb Ball Paper Lanterns for Birthday Pool Summer Tropical Beach Party Supplies",N/A,CNY 95.54,,4.8,20.0,False,https://m.media-amazon.com/images/I/81qvfkmXqHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qvfkmXqHL._AC_SL1500_.jpg,,2026-04-14T17:56:58.951133
21,1,SP,8.0,,B0GKTZ5JNK,"LED Light Up Inflatable Ice Bucket - Transparent Blue Drink Cooler with Silver Rim & Color Changing Lights - Portable Inflatable Cooler & Storage Bin for Night Pool Party, BBQ, Luau Party Decorations",N/A,CNY 122.86,,4.7,16.0,False,https://m.media-amazon.com/images/I/813vRYgPGiL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/813vRYgPGiL._AC_SL1500_.jpg,,2026-04-14T17:56:58.955135
22,1,Organic,,7.0,B0GC6JZY4T,"DMIGHT Summer Party Decorations Kit, Beach Pool Party Decorations, Hello Summer Banner with Beach Pool Hanging Swirls, Beach Ball Paper Lanterns for Home, Office, School, Classroom",N/A,CNY 116.03,,4.8,22.0,False,https://m.media-amazon.com/images/I/81QsPsSamjL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81QsPsSamjL._AC_SL1500_.jpg,,2026-04-14T17:56:58.959396
23,1,Organic,,8.0,B0964DB59D,"JOYIN Set of 6 Small Pink Flamingo Yard Ornament Stakes, 17"" Plastic Flamingo Lawn Statues with Metal Legs for Sidewalks, Outdoor Garden Decor, Luau & Pool Party Decorations, 2 Styles",N/A,CNY 109.20,,4.1,3739.0,False,https://m.media-amazon.com/images/I/713gAJWZu5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/713gAJWZu5L._AC_SL1500_.jpg,,2026-04-14T17:56:58.963398
24,1,Organic,,9.0,B09WJB4JG1,Summer Pool Beach Hanging Swirls Banner Decor 30 Pack Foil Ceiling Hanging Swirls Streams Banner Decorations Garland for Kids Luau Hawaii Celebrating Events Birthday Party Supplies Room Wall Decor,N/A,CNY 68.22,,4.6,287.0,False,https://m.media-amazon.com/images/I/81pvLwg9GEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81pvLwg9GEL._AC_SL1500_.jpg,,2026-04-14T17:56:58.967404
25,1,Organic,,10.0,B07NWR7HKD,"JOYIN 12-Pack 12“ Beach Balls - Bulk Classic Beachball Inflatable Swimming Pool Toys for Games Adults Kids Birthday Party Supplies Combo Set, Rainbow Color Blow Up Luau Decorations Favors Gifts (12"")",N/A,CNY 68.22,,4.5,3352.0,False,https://m.media-amazon.com/images/I/814LDy0nOPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814LDy0nOPL._AC_SL1500_.jpg,,2026-04-14T17:56:58.971435
26,1,SP,9.0,,B0GMQPRF3R,"48pcs Hawaiian Tropical Napkins Hawaiian Luau Napkins Paper, Disposable Aloha Napkin with Hibiscus Flowers Palm Leaves Tropical Party Decorations for Summer Beach Pool Party Dinner Kitchen Bathroom",N/A,CNY 61.39,,5.0,1.0,False,https://m.media-amazon.com/images/I/81pv1XRtb1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81pv1XRtb1L._AC_SL1500_.jpg,,2026-04-14T17:56:58.975028
27,1,SP,10.0,,B0CYBWMR83,"Summer Party Decorations, Hello Summer Banner Hanging Swirls and Honeycomb Centerpieces Beach Pool Party Decorations, Summer Pool Holiday Birthday Party Supplies",N/A,CNY 54.57,,4.8,12.0,False,https://m.media-amazon.com/images/I/61PGCbFgpLL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61PGCbFgpLL._AC_SL1500_.jpg,,2026-04-14T17:56:58.978317
28,1,SP,11.0,,B0F4XKCB7B,"Hawaiian Party Decorations, Luau Decorations includes Glitter Aloha Banner Tropical Hawaii Hanging Swirls and Tissue Pom Poms, Hawaiian Luau Decorations for Summer Tropical Beach Tiki Bar Party",N/A,CNY 81.88,,3.9,12.0,False,https://m.media-amazon.com/images/I/81PleS8RrFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81PleS8RrFL._AC_SL1500_.jpg,,2026-04-14T17:56:58.982535
29,1,SP,12.0,,B0G2MNM6K6,"xo, Fetti Pool Party Cupcake Toppers and Wrappers - 24 Pc Set | Summer Birthday Decorations, Tropical Luau, Hawaiian Theme, Kids Party, Beach Ball, Pink Hibiscus",N/A,CNY 68.22,,,,False,https://m.media-amazon.com/images/I/61pezXRjecL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61pezXRjecL._AC_SL1500_.jpg,,2026-04-14T17:56:58.987109
30,1,Organic,,11.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,CNY 68.22,,4.6,10884.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-14T17:56:58.993627
