data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-14T17:26:02.948104,1.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-14T17:26:02.948104,
3,1,Organic,,1.0,B0DYSKPF35,Summer Party Decorations - 61 Pcs Beach Pool Party Decorations Hello Summer Banner Pool Beach Hanging Streams Decor for Home Office School Classroom,N/A,$7.99,,4.7,101.0,False,https://m.media-amazon.com/images/I/81Zdymfw6zL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Zdymfw6zL._AC_SL1500_.jpg,,2026-04-14T17:26:02.953200,
4,1,Organic,,2.0,B0D2H5QKGS,"4th of July Decorations Wooden Table Sign Summer Decorations, Patriotic Independence Day Memorial Day Decorations Reversible Double-sided Different Theme Farmhouse Tabletop Centerpiece Decor",N/A,$11.99,,4.7,288.0,False,https://m.media-amazon.com/images/I/71YsUJ+z1lL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71YsUJ+z1lL._AC_SL1500_.jpg,,2026-04-14T17:26:02.959731,
5,1,Organic,,3.0,B09X1FZHC9,Chunful 30 Pieces Summer Tree Ornaments Christmas in July Wood Hanging Decoration Beach Wooden Slices Winter Tree Ornaments with String for Luau Hawaiian Party Supplies (Cute Style),N/A,$9.99,,4.5,659.0,False,https://m.media-amazon.com/images/I/81nuDXIZ7HL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81nuDXIZ7HL._AC_SL1500_.jpg,,2026-04-14T17:26:02.962934,
7,1,Title,,,,"Debug info copied.SponsoredValery Madelyn 30ct Summer Tree Ornaments Christmas in July Decorations, ",,,,,,False,,,,2026-04-14T17:26:02.963938,
8,1,Title,,,,Artificial Cemetery Flowers For Grave Summer DecorSponsored|30K+ bought from this brand in past mont,,,,,,False,,,,2026-04-14T17:26:02.965939,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-14T17:26:02.966444,
10,1,Organic,,4.0,B0C6X65BLF,"MISS FANTASY Summer Party Banners, Multi Color Rectangular Paper Summer Banner Decorations for Pool, Beach, Luau, Tropical Parties",N/A,$6.99,,4.7,54.0,False,https://m.media-amazon.com/images/I/416LHGiY4NL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/416LHGiY4NL._AC_SL1500_.jpg,,2026-04-14T17:26:02.970524,
11,1,Organic,,5.0,B0B4VLGT76,Jetec Summer Slippers Hanging Sign Shape Welcome Hello Flip Flop Wooden Door Sign Hanging Plaque Rustic Wall Sign Yard Indoor Outdoor Garden Decoration with Rope (Hello Summer),N/A,$7.99,,4.4,1166.0,False,https://m.media-amazon.com/images/I/71O52MbRKJL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71O52MbRKJL._AC_SL1500_.jpg,,2026-04-14T17:26:02.974388,
12,1,Organic,,6.0,B0CTLVD83Z,Barydat 6 Pcs Summer Wooden Table Decor Hello Summer Wood Signs Sunshine Table Centerpieces Beach Table Decor Farmhouse Tiered Tray for Home Kitchen,N/A,$14.99,,4.4,32.0,False,https://m.media-amazon.com/images/I/81WXwapPt5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81WXwapPt5L._AC_SL1500_.jpg,,2026-04-14T17:26:02.978898,
13,1,Organic,,7.0,B0BYCMNS61,Geelin 5 Pcs Sunflower Wooden Table Signs Sunflower Gnomes Decoration Summer Gnome Table Centerpieces Hello Sunshine Welcome Decoration for Summer Party Home Kitchen Decor(Colorful),N/A,$11.99,,4.3,229.0,False,https://m.media-amazon.com/images/I/81GZ+n7eLHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81GZ+n7eLHL._AC_SL1500_.jpg,,2026-04-14T17:26:02.983538,
14,1,Organic,,8.0,B0CT7LJ2KW,3 Pcs Hello Sweet Summer Table Block Signs Rustic Farmhouse Wood Lemon Centerpiece Blue Yellow Green Hello Summer Decorations for Tiered Tray Decor Home Office Kitchen Mantel Shelf Indoor,N/A,$14.99,,4.3,277.0,False,https://m.media-amazon.com/images/I/81uG-MpRl8L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81uG-MpRl8L._AC_SL1500_.jpg,,2026-04-14T17:26:02.986543,
15,1,Organic,,9.0,B0BVW71PM3,Maitys 3 Pcs Spring Table Decor Summer Sunflower Wood Table Sign Spring Freestanding Butterfly Tabletop for Home Kitchen Rustic Centerpiece Standing Tiered Tray Shelf Decorations(Classic Sunflower),N/A,$9.99,,4.5,195.0,False,https://m.media-amazon.com/images/I/61aXZ5oTJcL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61aXZ5oTJcL._AC_SL1500_.jpg,,2026-04-14T17:26:02.991767,
16,1,Organic,,10.0,B0DP2FLFKM,‎Renbuzhu 15PCS Pool Party Decorations Beach Ball Paper Lanterns - Summer Luau Hawaiian Themed Hanging Decor for Home Birthday Outdoor Indoor,N/A,$15.99,,4.5,126.0,False,https://m.media-amazon.com/images/I/81SAWFpzVML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81SAWFpzVML._AC_SL1500_.jpg,,2026-04-14T17:26:02.995130,
17,1,Organic,,11.0,B0F6SZFVGT,Yuntau 4 Pcs Summer Wooden Tabletop Decor Hello Sweet Summer Tiered Tray Decor Sunshine Centerpiece Rustic Summertime Decorative Block Signs Gift Farmhouse Table Decoration for Home Kitchen,N/A,$13.59,,4.5,410.0,False,https://m.media-amazon.com/images/I/71Bg6f3oqkL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Bg6f3oqkL._AC_SL1500_.jpg,,2026-04-14T17:26:03.000855,
18,1,Organic,,12.0,B09WJB4JG1,Summer Pool Beach Hanging Swirls Banner Decor 30 Pack Foil Ceiling Hanging Swirls Streams Banner Decorations Garland for Kids Luau Hawaii Celebrating Events Birthday Party Supplies Room Wall Decor,N/A,$9.99,,4.6,287.0,False,https://m.media-amazon.com/images/I/81pvLwg9GEL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81pvLwg9GEL._AC_SL1500_.jpg,,2026-04-14T17:26:03.004363,
19,1,Organic,,13.0,B0831D4S1D,R HORSE Inflatable Palm Tree Flamingo Banana Beach Ball Parrot Beach Pool Toys for Tropical Hawaiian Luau Party Summer Pool Beach Party Decorations,N/A,$22.99,,4.2,945.0,False,https://m.media-amazon.com/images/I/81UNKcb+coL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81UNKcb+coL._AC_SL1500_.jpg,,2026-04-14T17:26:03.008426,
20,1,Organic,,14.0,B0DYP2GSZ4,Cinnvoice 6 Pcs Summer Table Decorations Wooden Table Centerpieces Rustic Wood Tabletop Sign Decorations for Home Kitchen Office Farmhouse Desk Shelves Party Tiered Tray Decor,N/A,$15.99,,4.6,126.0,False,https://m.media-amazon.com/images/I/81UF2-i+06L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81UF2-i+06L._AC_SL1500_.jpg,,2026-04-14T17:26:03.013038,
21,1,Title,,,,More results,,,,,,False,,,,2026-04-14T17:26:03.013549,
22,1,Organic,,15.0,B0CXX9K58F,Yuntau 26 Pcs Summer Tiered Tray Decor Sets Farmhouse Summer Gnome Watermelon Strawberry Wood Sign Spring Hawaii Tiered Tray Decorations for Tabletop Home Shelf Kitchen Office(Gnome),N/A,$13.99,,4.3,126.0,False,https://m.media-amazon.com/images/I/81Z+BKRUTfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Z+BKRUTfL._AC_SL1500_.jpg,,2026-04-14T17:26:03.019588,
23,1,Organic,,16.0,B0CWN2L3MV,Summer Decorations For Home Hello Summer Wooden Sign Wall Table Centerpieces Shelf Mantle Office Decorative Wood Signage Rustic Farmhouse House Indoor Seasonal Decor,N/A,$12.99,,4.6,143.0,False,https://m.media-amazon.com/images/I/61B1AF8rwtL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61B1AF8rwtL._AC_SL1500_.jpg,,2026-04-14T17:26:03.023100,
24,1,Organic,,17.0,B0F1YMPVPN,Beach Party Decorations Kit - Beach Themed Honeycomb Centerpieces and Table Decor for Summer & Pool Party Decorations,N/A,$9.98,,4.7,1141.0,False,https://m.media-amazon.com/images/I/81DHErA5m0L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81DHErA5m0L._AC_SL1500_.jpg,,2026-04-14T17:26:03.027624,
25,1,Organic,,18.0,B0DS6FWLYC,"AVOIN colorlife Hello Sunshine Floral Sweet Summer Time Throw Pillow Covers, 18 x 18 Inch Popsicle Ice Cream Polka Dots Stripes Best Summer Ever Holiday Seasonal Cushion Case Decorations Set of 4",N/A,$12.99,,4.6,42.0,False,https://m.media-amazon.com/images/I/81b6UF50-xL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81b6UF50-xL._AC_SL1500_.jpg,,2026-04-14T17:26:03.034060,
26,1,Organic,,19.0,B0D3LNNFG8,HyDren 40 Pcs Summer Tree Ornaments 1.2 Inch Mini Summer Hanging Tree Decorations Coconut Dot Wave Stripe Flamingo Ornaments Tropical Party Decor for Home Luau Holiday Decorative Supplies,N/A,$22.99,,4.1,219.0,False,https://m.media-amazon.com/images/I/713C3whL4LL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/713C3whL4LL._AC_SL1500_.jpg,,2026-04-14T17:26:03.040627,
27,1,Organic,,20.0,B0F3GL7QCG,"COCHIE Metal Hello Summer Sign, Summer Decorations for Home, Office, Shelf, Mantel, Indoor, Beach Slippers Tabletop Centerpiece Decoration, Watermelon Red Decor (Beach)",N/A,$15.99,,4.6,257.0,False,https://m.media-amazon.com/images/I/71RVEYvQsYL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71RVEYvQsYL._AC_SL1500_.jpg,,2026-04-14T17:26:03.045558,
28,1,Organic,,21.0,B0BYS89VRF,Geelin 36 Pcs Summer Wood Hanging Ornaments for Tree Mini Tree Decorations Hawaiian Beach Wooden Pendant Decorations with String for Luau Party Supplies(Cute Style),N/A,$11.99,,4.5,304.0,False,https://m.media-amazon.com/images/I/81swIFYCsRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81swIFYCsRL._AC_SL1500_.jpg,,2026-04-14T17:26:03.050067,
29,1,Organic,,22.0,B0BVQ41GL9,FairySandy 2 Pieces Summer Gnomes Beach Decorations Mini Gnomes Resin Figurines Set Decor Collectible Tabletop Kitchen Decorations for Home Kitchen Farmhouse Office,N/A,$19.49,,4.5,73.0,False,https://m.media-amazon.com/images/I/71F21whIDRL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71F21whIDRL._AC_SL1500_.jpg,,2026-04-14T17:26:03.053573,
30,1,Organic,,23.0,B0GHRC4P6G,"Metal Hello Summer Sign Wooden Base, Summer Tabletop Decor, Tropical Beach Indoor Table Top Centerpiece Shelf Desk Mantel Office Kitchen Rustic Farmhouse Seasonal Decorations for Home",N/A,$9.99,,4.7,17.0,False,https://m.media-amazon.com/images/I/71Qo970DZBL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71Qo970DZBL._AC_SL1500_.jpg,,2026-04-14T17:26:03.058710,
31,1,Title,,,,More results,,,,,,False,,,,2026-04-14T17:26:03.058710,
32,1,Organic,,24.0,B0DSMK7DPH,MiniInflat Hello Sweet Summer Metal Sign Rustic Table Decor Holiday Tiered Tray Decor with Wooden Base Freestanding Metal Word Sign for Home Tabletop Centerpiece Mantel Shelf Fireplace,N/A,$12.99,,4.7,199.0,False,https://m.media-amazon.com/images/I/71OrHTts4CL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71OrHTts4CL._AC_SL1500_.jpg,,2026-04-14T17:26:03.062198,
33,1,Organic,,25.0,B0CRRSL9M7,Maitys 5 Pcs Sunflower Table Decor Summer Tiered Tray Decor Sunflower Tabletop Centerpieces Yellow Wooden Truck Gnome Sign Decorative Books Stack with Twine for Home Kitchen Shelf Office Desk Mantel,N/A,$15.99,,4.1,134.0,False,https://m.media-amazon.com/images/I/8165L5oYtjL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8165L5oYtjL._AC_SL1500_.jpg,,2026-04-14T17:26:03.068112,
34,1,Organic,,26.0,B0BZS1RK9X,"Summer Party Decorations, Beach Party Decorations Include Hello Summer Banner and Summer Beach Hanging Swirls, Summer Holiday Birthday Party Supplies",N/A,$8.54,,4.6,23.0,False,https://m.media-amazon.com/images/I/81QbQGQF1oL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81QbQGQF1oL._AC_SL1500_.jpg,,2026-04-14T17:26:03.071685,
35,1,Organic,,27.0,B0CYPLN94D,"Summer Decorations for Office - Cute Summer Time Decorations for Home - Hawaiian Bikini Gnomes Plush Doll - Beach Theme Decor Indoor, Table, Desk",N/A,$17.99,,4.8,641.0,False,https://m.media-amazon.com/images/I/81RQKDs408L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81RQKDs408L._AC_SL1500_.jpg,,2026-04-14T17:26:03.076707,
36,1,Organic,,28.0,B0D2D1HQGM,Couah 30 LED 16Ft Summer Beach Hawaiian String Lights - 8 Modes & Timer - Flamingo Pineapple Palm Tree Fairy Lights - Battery Operated for Tropical Party Pool Decorations,N/A,$16.99,,4.6,172.0,False,https://m.media-amazon.com/images/I/81tzQxjjFmL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81tzQxjjFmL._AC_SL1500_.jpg,,2026-04-14T17:26:03.080758,
37,1,Organic,,29.0,B0GGHGXZB2,Vercraft 11 Pcs Summer Decorations Set Sunshine Tiered Tray Decor Hello Sweet Summer Wooden Blocks Flip Flops Coconut Tree Centerpiece for Home Office Decorations,N/A,$22.99,,4.5,76.0,False,https://m.media-amazon.com/images/I/81+VDE4g-OL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+VDE4g-OL._AC_SL1500_.jpg,,2026-04-14T17:26:03.084802,
