data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at
0,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-14T17:59:50.654326
2,1,SP,1.0,,B0GLG2X1ZH,"Green and Blue Sea Turtle Plates and Napkins Sets Under the Sea Party Decorations, Ocean Themed Party Decorations Turtle Birthday Tableware for Underwater Beach Pool Party Baby Shower, Serve 24",N/A,CNY 109.20,,,,False,https://m.media-amazon.com/images/I/81M8BixcoxL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81M8BixcoxL._AC_SL1500_.jpg,,2026-04-14T17:59:50.658864
3,1,SP,2.0,,B0GMQ5JZB3,"Seashell Birthday Decorations,190pcs Beach Party Supplies Coastal Party Decorations Plates and Napkins Cups Tablecloths,Cake Topper,Balloon for Ocean Theme Birthday Decorations,Serves 24",N/A,CNY 163.83,,5.0,3.0,False,https://m.media-amazon.com/images/I/8146+5xChDL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8146+5xChDL._AC_SL1500_.jpg,,2026-04-14T17:59:50.662440
4,1,SP,3.0,,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,CNY 64.81,,4.5,2697.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-14T17:59:50.668463
5,1,SP,4.0,,B0CZ637F9S,"OBXT 10"" Blue Hanging Jellyfish Paper Lanterns - Under the Sea Party & Mermaid Birthday Decorations, Baby Shower, Nautical Events, Ocean Theme Classroom & Beach Room Decor (Set of 6)",N/A,CNY 143.35,,4.8,706.0,False,https://m.media-amazon.com/images/I/81vZ2BQo+gL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81vZ2BQo+gL._AC_SL1500_.jpg,,2026-04-14T17:59:50.672575
6,1,Organic,,1.0,B0FHDQNTWC,"Beach Birthday Party Decorations, 183Pcs Ocean Waves Birthday Party Decorations Summer Pool Hawaiian Beach Party Supplies Plates,Napkins,Cups,Banner,Tablecloth,Balloons,Cupcake Topper,Serves 24",N/A,CNY 163.83,,4.7,34.0,False,https://m.media-amazon.com/images/I/81R+TJv1VCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81R+TJv1VCL._AC_SL1500_.jpg,,2026-04-14T17:59:50.677215
7,1,Organic,,2.0,B0FHDVKYG5,"Beach Party Decorations, 273Pcs Ocean Waves Birthday Supplies Summer Pool Beach Birthday Party Decorations Tableware,Banner,Tablecloth,Starfish Bubble Garlands,Balloons,Cake Topper,Fringe Curtains",N/A,CNY 191.15,,4.5,31.0,False,https://m.media-amazon.com/images/I/811H8dHoXbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/811H8dHoXbL._AC_SL1500_.jpg,,2026-04-14T17:59:50.681731
8,1,Organic,,3.0,B0G37TZT3X,"cocomigo 299pcs Beach Birthday Party Decorations Serves 25 Guests, Worry-free One-stop Set, with Balloons Arch, Banner Thick Plates and Cupcake Toppers, Easy Setup for Ocean-Themed Party",N/A,CNY 143.35,,4.8,9.0,False,https://m.media-amazon.com/images/I/81VmhZ8LlzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81VmhZ8LlzL._AC_SL1500_.jpg,,2026-04-14T17:59:50.685854
10,1,Title,,,,Customers frequently viewedSponsored96pcs Scalloped Coastal Party Supplies Tropical Blue Bow Starfis,,,,,,False,,,,2026-04-14T17:59:50.688859
12,1,Title,,,,"Debug info copied.SponsoredJellyfish Paper Lanterns and Bubbles - Under Sea Party Decorations, Merma",,,,,,False,,,,2026-04-14T17:59:50.689859
