data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at
0,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-14T17:49:10.413694
2,1,SP,1.0,,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,CNY 64.81,,4.5,2697.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-14T17:49:10.418114
3,1,SP,2.0,,B07NS7BG9L,"JOYIN 28” Inflatable Palm Tree Cooler, Luau Hawaiian Tropical Beach Themed Party Decorations, Blow Up Palm Trees Cooler Outdoor Party Supplies, Kids Adults Birthday Party Décor",N/A,CNY 136.52,,4.4,4015.0,False,https://m.media-amazon.com/images/I/91NOjIPjumL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91NOjIPjumL._AC_SL1500_.jpg,,2026-04-14T17:49:10.422149
4,1,SP,3.0,,B071JR7GYP,"JOYIN 60"" Inflatable Palm Tree Cooler, Beach Theme Decor, Pool Party Decorations, Luau Hawaiian Birthday Party Supplies, Ocean Jungle Tropical Themed Summer Outdoor Drink Cooler",N/A,CNY 136.52,,4.3,5370.0,False,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_SL1500_.jpg,,2026-04-14T17:49:10.425199
5,1,SP,4.0,,B0GKTZ5JNK,"LED Light Up Inflatable Ice Bucket - Transparent Blue Drink Cooler with Silver Rim & Color Changing Lights - Portable Inflatable Cooler & Storage Bin for Night Pool Party, BBQ, Luau Party Decorations",N/A,CNY 122.86,,4.7,16.0,False,https://m.media-amazon.com/images/I/813vRYgPGiL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/813vRYgPGiL._AC_SL1500_.jpg,,2026-04-14T17:49:10.429295
6,1,Organic,,1.0,B0GMPXPMZ5,"Pool Birthday Party Supplies,Summer Beach Party Decorations Paper Plates,Napkins,Balloon,Banner,Cupcake Topper for Summer Hawaiian Beach Pool Birthday Supplies Serves 24",N/A,CNY 143.35,,5.0,2.0,False,https://m.media-amazon.com/images/I/91NC+3f2OpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91NC+3f2OpL._AC_SL1500_.jpg,,2026-04-14T17:49:10.432312
7,1,Organic,,2.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,CNY 64.81,,4.5,2697.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-14T17:49:10.436881
8,1,Organic,,3.0,B071JR7GYP,"JOYIN 60"" Inflatable Palm Tree Cooler, Beach Theme Decor, Pool Party Decorations, Luau Hawaiian Birthday Party Supplies, Ocean Jungle Tropical Themed Summer Outdoor Drink Cooler",N/A,CNY 136.52,,4.3,5370.0,False,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/815M9fW4pfL._AC_SL1500_.jpg,,2026-04-14T17:49:10.440423
10,1,Title,,,,"Debug info copied.SponsoredAmerican Flag Inflatable Cooler, Pool Party Decorations 130+ Cans Large D",,,,,,False,,,,2026-04-14T17:49:10.441929
11,1,Title,,,,More results,,,,,,False,,,,2026-04-14T17:49:10.441929
12,1,Organic,,4.0,B0G2BLV35J,Inflatable Palm Tree Beach Balls Flamingo Banana Parrot Dolphin Cactus Ring Toss Sets for Tropical Hawaiian Beach Luau Summer Pool Party Decorations,N/A,CNY 177.49,,4.3,5.0,False,https://m.media-amazon.com/images/I/71TYc-OHRGL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71TYc-OHRGL._AC_SL1500_.jpg,,2026-04-14T17:49:10.444510
13,1,Organic,,5.0,B0CLP5W5VQ,Ziliny 36 Pcs Summer Pool Beach Party Supplies 5 lb Beach Ball Large Paper Serving Snack Trays for Summer Hawaii Tropical Party Swimming Pool Favors,N/A,CNY 122.86,,4.5,36.0,False,https://m.media-amazon.com/images/I/818v8g+7+0L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/818v8g+7+0L._AC_SL1500_.jpg,,2026-04-14T17:49:10.450771
14,1,Organic,,6.0,B0DYY9GJ3S,"134Pcs Tropical Summer Beach Pool Party Balloon Garland Arch Kit,with Inflatable Beach Balls,Watermelon,Sun Foil Balloons for Hawaiian Luau Birthday Graduation Party Decorations - Hot Pink Yellow Blue",N/A,CNY 105.78,,4.4,36.0,False,https://m.media-amazon.com/images/I/81+iUruI7AL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81+iUruI7AL._AC_SL1500_.jpg,,2026-04-14T17:49:10.454828
15,1,SP,5.0,,B0GKNL7PMH,"Flamingo Hawaiian Party Decorations, Luau Party Decor Flamingo and Pineapple Honeycomb Ball Paper Lanterns for Birthday Pool Summer Tropical Beach Party Supplies",N/A,CNY 95.54,,4.8,20.0,False,https://m.media-amazon.com/images/I/81qvfkmXqHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qvfkmXqHL._AC_SL1500_.jpg,,2026-04-14T17:49:10.458839
16,1,SP,6.0,,B09NLZ8V9L,"Pool Toys Games Set,Pool Basketball Hoop Inflatable Cross Ring Toss Game and Inflatable Cactus Kids for Teens Adults and Family (3 Set Water Toys)",N/A,CNY 150.17,,4.0,1120.0,False,https://m.media-amazon.com/images/I/71StUBcpfXL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71StUBcpfXL._AC_SL1500_.jpg,,2026-04-14T17:49:10.462932
17,1,SP,7.0,,B0G1MS2QZ9,"GoodUping 16pcs Hawaiian Leis Party Set with 8 Necklaces and 8 Photo Booth Glasses for Tropical Luau, Summer Beach Birthday, Pool Party Decorations & Favors",N/A,CNY 54.57,,5.0,2.0,False,https://m.media-amazon.com/images/I/81LDZDZCsnL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81LDZDZCsnL._AC_SL1500_.jpg,,2026-04-14T17:49:10.466598
18,1,SP,8.0,,B0GKPJGX4T,"22pcs Hawaiian Luau Party Decorations – Hanging Paper Fans, Beach Ball Lanterns, Pom Poms, Honeycomb for Summer Pool Theme Birthday, Classroom, Outdoor Indoor Decor",N/A,CNY 102.37,,4.8,9.0,False,https://m.media-amazon.com/images/I/81DfR0xBGwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81DfR0xBGwL._AC_SL1500_.jpg,,2026-04-14T17:49:10.469110
19,1,Organic,,7.0,B0DTJFLHHD,"Pool Party Favors and Beach Party Favors,158PCS Summer Pool Toys for Kids, Undersea theme decoration, Including Beach Balls, Sunglasses, Bubble Wands, Stamp and Crystal Shells for Kids Ages 4-8 8-12",N/A,CNY 170.73,,4.6,198.0,False,https://m.media-amazon.com/images/I/81TrxJeWztL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81TrxJeWztL._AC_SL1500_.jpg,,2026-04-14T17:49:10.474136
20,1,Title,,,,More results,,,,,,False,,,,2026-04-14T17:49:10.474136
21,1,Organic,,8.0,B0BXH28VH9,"142 Pieces Pool Birthday Party Supplies - Summer Pool Tableware Set Plate,Cups,Tablecloth for Summer Pool Birthday Party, Hawaii Holiday Decorations",N/A,CNY 136.52,,4.6,868.0,False,https://m.media-amazon.com/images/I/814MT1BHBHL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814MT1BHBHL._AC_SL1500_.jpg,,2026-04-14T17:49:10.478250
22,1,Organic,,9.0,B07NWR7HKD,"JOYIN 12-Pack 12“ Beach Balls - Bulk Classic Beachball Inflatable Swimming Pool Toys for Games Adults Kids Birthday Party Supplies Combo Set, Rainbow Color Blow Up Luau Decorations Favors Gifts (12"")",N/A,CNY 68.22,,4.5,3352.0,False,https://m.media-amazon.com/images/I/814LDy0nOPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814LDy0nOPL._AC_SL1500_.jpg,,2026-04-14T17:49:10.484271
23,1,Organic,,10.0,B0G8J1PT7S,"MEHOFOND Splish Splash Birthday Party Supplies Tableware Set 193 Pcs, Summer Pool Party Disposable Plates Cups Napkins Cutlery with Plastic Tablecloth for Girls Tropical Birthday Party",N/A,CNY 143.35,,5.0,2.0,False,https://m.media-amazon.com/images/I/81cXU3ZUn9L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81cXU3ZUn9L._AC_SL1500_.jpg,,2026-04-14T17:49:10.488371
24,1,SP,9.0,,B0FZLZN5CP,"xo, Fetti Pool Party Birthday Banner | Kids Party Decorations, Tropical Summer, Hawaiian Luau, Flamingo, Pink Glitter, Happy Birthday Garland",N/A,CNY 75.05,,5.0,2.0,False,https://m.media-amazon.com/images/I/61YeRAYAw9L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61YeRAYAw9L._AC_SL1500_.jpg,,2026-04-14T17:49:10.492892
25,1,SP,10.0,,B083B5YW71,"JOYIN 43"" Inflatable Cactus Cooler with Sombrero Hat for Fiesta, Cinco de Mayo Party Supplies, Inflatable Party Cooler, Pool Party Decoration",N/A,CNY 116.03,,4.6,986.0,False,https://m.media-amazon.com/images/I/71FlDC+by3L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71FlDC+by3L._AC_SL1500_.jpg,,2026-04-14T17:49:10.496729
