data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,Title,,,,FiltersMost Purchased& UpAll DiscountsToday's DealsUp to $5$5 to $15$15 to $25$25 & aboveGet It Fast,,,,,,False,,,,2026-04-16T15:31:19.510987,
1,1,SB_Video,1.0,,,N/A,N/A,,,,,False,,,,2026-04-16T15:31:19.512993,1.0
2,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-16T15:31:19.513994,
4,1,Organic,,1.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2697.0,False,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,,2026-04-16T15:31:19.522404,
5,1,Title,,,,More results,,,,,,False,,,,2026-04-16T15:31:19.523399,
6,1,Organic,,2.0,B071JR7GYP,"JOYIN 60"" Inflatable Palm Tree Cooler, Beach Theme Decor, Pool Party Decorations, Luau Hawaiian Birthday Party Supplies, Ocean Jungle Tropical Themed Summer Outdoor Drink Cooler",N/A,$19.99,,4.3,5370.0,False,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,,2026-04-16T15:31:19.527970,
8,1,Title,,,,"0:00Debug info copied.SponsoredInflatable Flamingo Cooler 130+ Cans Large Capacity, Bottom Quick-Dra",,,,,,False,,,,2026-04-16T15:31:19.527970,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-16T15:31:19.528964,
10,1,Organic,,3.0,B0GN2B8GXV,"48"" Giant Glitter Inflatable Swim Floats with Large Cup Holder Jumbo Pink Striped Pool Ring Fun Print Pool Lounger Tube for Adult Summer Swimming Beach Party Supplies",N/A,$69.99,,,,False,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,,2026-04-16T15:31:19.535598,
11,1,Organic,,4.0,B0DT6X8QP2,"Summer Pool Beach Party Decorations, Splash Birthday Bash Party Supplies Tropical Summer Banner Beach Ball Lantern Fringe Curtain Foil Balloons Arch for Swimming Water Luau Hawaiian Party Decor(Blue)",N/A,$18.99,,4.4,301.0,False,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,,2026-04-16T15:31:19.543627,
12,1,Organic,,5.0,B0CV33D9F1,"3 Pcs Iridescent Waves Tablecloths - Disposable Plastic Ocean Blue Table Cloth Rectangle Table Covers for Under the Sea Beach Surf Pool Party Birthday Party Decorations, 54 x 108 Inch",N/A,$8.00,,4.5,668.0,False,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,,2026-04-16T15:31:19.549633,
13,1,Organic,,6.0,B09Z28TMY4,Vinsot 32 Pack Beach Pool Party Eyeglasses Decor Summer Luau Paper Glasses Bulk Hawaiian Sunglasses Frame Tropical Pool Props Photo Booth Props for Summer Beach Luau Party Favor Birthday Supply Decor,N/A,$12.99,,4.1,646.0,False,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,,2026-04-16T15:31:19.557338,
