data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,uv resistant artificial outdoor flowers,https://aax-us-east-retail-direct.amazon.com/x/c/JPnHxNrAlrPCv1DwklyCb0EAAAGdlTdhCwEAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDIgICDgynDA/clv1c_ek-wBAfWarbaXT1XZ_v_Sd5aokuZ0nDJEP3ccYqmFSnkIt7q4lqw-BKBQyi7-8JF4_OQdON86j79cQdcP1I1KlT0fTz9zQkHKXHX7hj20A0Gh3QDwgsCx235yDkU5PSz37SDv-yF-es4V5HhBuK7vFLcpbVcllT4wsq0vwcqjoEDQx8164AN28DLjhj_RUE2GISs12VHvoVL1P3bvFrwIiaZnPu_jMjwthwrBguuF9_etUhmAiHlS9sOJt19Vn4XO_jhyVNvvPFjVU1mvHGXaJh5qZ4tUi1PKrP27Ix5lWwa5qFfTRg6SA4mZvgNN1kTcUPlPcz4kRzi921qsf8cpg1v5jk2bYFsvkL8kRfFRtRvwZCy0qqB-OdZEXq_bHMGiuLx5Y8y19xWC_K0bKZZhKpqyCZbKTjVtASt6aSDEWmUf9d0z1pdBI_PvSmE3pESWDk1qMxyC3ROtKzZWOrPwXK8TH6tgpfZ0IVD_u98CZr2tvDrvjz3z8JeTb2gEucA1Y85s7bLmAfe1weNKwnYXE3FhJTmEqZXqcRXbZq39MWGXgZxRQr5CzTKVMWCfE6Iy_Jq4U9qIJwch6VP1-BMre8MHaCxPsZcONP2-YWBBUnO11FB2-UNe4jnjSjpOyp8vcrue72qQ2aoFwKIutZpBlC8lOE8VDyFhcpFGV-7cy2X1hMbeSZfaWNMhzWhB-PUhCEPzLJ4UcHWAHdzEx1JmKAARMrtO52xXWv6nJW0mVy5Z59bHp9W6UA8k8HLWjn0vtwDi4OPUG9-zfnPw8OuzzxKrG_4yfdJo43wtjZEPPR_XwUKlolMqquB699wEBvjCaRS6U5pg2uq4QiV-3tkXvkF88_VcextHV1My6-C60EfsxbID2r7DYsuS58Yxozg_SYrQoFprc2FXmJ5ElFnuiRclMO2AL4OJ7o8sNUrqUA-lLVqtB05tyDdgKm_Dj1RwWMHRGbXOt9mewnYlk7Yh9GrDcrSw12RzTcjdwABzcvNc5zfZhPVjB21DsVKg9ysGYQ9uBAu_JKEGGsTpxFPvjhb8hMswQWFeF6ksIOahC5zjwyOOgfS1AWiRNH2b3D3CZLpTGMfn83W229hVZZIVRHm_ZStVZK4wunMEvDYzzbQA1H1J_oi1Ts1E-TsdP-fowcG7aGA_0Tpl42IT7El_N3afqr8LZv7c6c6u9NpPfe5sHTXKY0Uzwocu5YXliCONNxJy3O4Ae1L2URnMrLrL_w3pPAGHClazaVsNHgUUsuBxswNkdVwUk164ecpSBzfJR0JFVowGlJv0HfB8CACZZps6UuUwWk-wO30Kn079l7ST8aVeQH472-HDaUdSKUfVBcSr-6dqGrkfpdmjylz8gouMD0QOWMNeN2xvAT680a9gPpiWo93YREydUGbPrloElnYxWlFUSrgJdqN0z_D7yE2OyVfGAIoULxnOFpr0cEG2zDWhPWW4x3hJ73xKTXyqWAzwwAOT8Z0CgAmWVNdN5FGCL6nBMUFxT_wCpz5HjdDu2WtT-oJqMZfKwjMl8UM4V8u3AN1mmVT9xb48j-ujPx2CQ7S70JD8dvCcmbShfBzzwt2e6Z45UBR3URMVtJyr5QxZH_Xx-kLLT1tANQYX0mWF0pO5TieyM46iEWv-jbX8RDDInoWAzWiPdZSk2gU9rLFwkDfFC2C_NAX0NTdr7j1dxdbFu-z_NOKYIXWE7lR0nq3/https://www.amazon.com/stores/page/32BE9662-DB8F-45E0-B3B5-B9228BC12154/?_encoding=UTF8&store_ref=SB_A09451998BNX8I0LBURH-A09442082XYVLZ65Q22CX&pd_rd_plhdr=t&aaxitk=4506bf26f8e788a854ae212f30848141&hsa_cr_id=0&lp_asins=B0DPPQKDH7%2CB0DYXTY87L%2CB0DPPC2KFG&lp_query=summer%20decor&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=UBJN3&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=ECENG5FN65B0HZPTDYFW&pd_rd_wg=6HVxe&pd_rd_r=8e153f71-5406-4506-89e3-54ae179af2ac,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/06825bc6-3411-4ffb-af12-d3635c88540d._CR0,0,1413,441_AC_SX130_SY60_CB1169409_QL70_.png",,uv resistant artificial outdoor flowers,2026-04-16T15:35:29.252093,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-16T15:35:29.253159,
3,1,Organic,,1.0,B0CYPLN94D,"Summer Decorations for Office - Cute Summer Time Decorations for Home - Hawaiian Bikini Gnomes Plush Doll - Beach Theme Decor Indoor, Table, Desk",N/A,$22.99,,4.8,641.0,False,https://m.media-amazon.com/images/I/81RQKDs408L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81RQKDs408L._AC_SL1500_.jpg,,2026-04-16T15:35:29.257410,
4,1,Organic,,2.0,B08LK7Z682,"COCOBOO Sunflower Artificial Flowers Pot, Sunflower Decor, Yellow Fake Flower in Pots, for Home Bathroom Kitchen",N/A,$9.99,,4.2,2950.0,False,https://m.media-amazon.com/images/I/717Vlj3bQzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/717Vlj3bQzL._AC_SL1500_.jpg,,2026-04-16T15:35:29.261071,
5,1,Organic,,3.0,B0BVW71PM3,Maitys 3 Pcs Spring Table Decor Summer Sunflower Wood Table Sign Spring Freestanding Butterfly Tabletop for Home Kitchen Rustic Centerpiece Standing Tiered Tray Shelf Decorations(Classic Sunflower),N/A,$9.99,,4.5,195.0,False,https://m.media-amazon.com/images/I/61aXZ5oTJcL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/61aXZ5oTJcL._AC_SL1500_.jpg,,2026-04-16T15:35:29.264701,
7,1,Title,,,,Debug info copied.SponsoredINQCMY Artificial Fake Hanging Plants Flowers Basket for Spring Summer Ou,,,,,,False,,,,2026-04-16T15:35:29.265792,
8,1,Title,,,,Sunflower bumble bee decorSponsored|Shop Paper JazzShop nowPrevious pagePAPER JAZZ Sunflower Party D,,,,,,False,,,,2026-04-16T15:35:29.266866,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-16T15:35:29.267383,
10,1,Organic,,4.0,B0DR8QNG1H,DFXSZ Spring Summer Pillow Covers 18x18 inch Set of 2 Farmhouse Decor Yellow Color Flower Heart Sunflower Soft Plush Faux Fur Jacquard Throw Pillows for Sofa Holiday Spring Home Decor PTK024C18,N/A,$8.99,,4.6,518.0,False,https://m.media-amazon.com/images/I/81mHf9qwslL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81mHf9qwslL._AC_SL1500_.jpg,,2026-04-16T15:35:29.279419,
11,1,Organic,,5.0,B0G7TT3D74,"Sunflower Decor, 1 Pcs Farmhouse Rustic Sunflower Kitchen Decor, Centerpieces for Tables, Fake Artificial Sunflowers Flowers in Burlap Bag Vase, Summer Decorations Indoor Outdoor for Home",N/A,$9.99,,4.5,15.0,False,https://m.media-amazon.com/images/I/81WdpD+PX1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81WdpD+PX1L._AC_SL1500_.jpg,,2026-04-16T15:35:29.283389,
