data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at
0,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-14T17:51:44.557761
2,1,Organic,,1.0,B0CQV2P4FX,"12Pcs Summer Party Decorations Honeycomb Centerpiece, Hello Summer Party Decorations Centerpiece,3D Beach Summer Decorations Honeycomb Centerpiece for Summer Party Beach Party Decorations",N/A,CNY 68.22,,4.8,46.0,False,https://m.media-amazon.com/images/I/81OM2qVPj1L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81OM2qVPj1L._AC_SL1500_.jpg,,2026-04-14T17:51:44.563331
3,1,Organic,,2.0,B0DYSKPF35,Summer Party Decorations - 61 Pcs Beach Pool Party Decorations Hello Summer Banner Pool Beach Hanging Streams Decor for Home Office School Classroom,N/A,CNY 54.57,,4.7,101.0,False,https://m.media-amazon.com/images/I/81Zdymfw6zL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81Zdymfw6zL._AC_SL1500_.jpg,,2026-04-14T17:51:44.568443
4,1,Organic,,3.0,B09QM5XX82,"Uieke 3 Pack Artificial Sunflower Garland, 7.5ft/Strand Silk Sunflowers Hanging Vines Flowers with Green Leaves for Room Kitchen Garden Birthday Wedding Baby Shower Party Table Decor Large",N/A,,,4.4,1389.0,False,https://m.media-amazon.com/images/I/81qgOQNv7KL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81qgOQNv7KL._AC_SL1500_.jpg,,2026-04-14T17:51:44.577627
5,1,Title,,,,Spring-themed party home decor saleSponsored|Highly bought brand in kids' party centerpieces|Shop Pa,,,,,,False,,,,2026-04-14T17:51:44.579665
6,1,Title,,,,More results,,,,,,False,,,,2026-04-14T17:51:44.579665
7,1,Organic,,4.0,B01F6LRW30,"Joyin Toy 36 Counts Hawaiian Leis Bulk, Tropical Flower Lei Hawaiian Lei Beach Hawaii Luau Party Favors Decoration Birthday Party Supplies(3 Dozen)",N/A,CNY 68.22,,4.6,10884.0,False,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/911aTPl1DwL._AC_SL1500_.jpg,,2026-04-14T17:51:44.585196
8,1,Organic,,5.0,B0DP2FLFKM,‎Renbuzhu 15PCS Pool Party Decorations Beach Ball Paper Lanterns - Summer Luau Hawaiian Themed Hanging Decor for Home Birthday Outdoor Indoor,N/A,CNY 109.20,,4.5,126.0,False,https://m.media-amazon.com/images/I/81SAWFpzVML._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81SAWFpzVML._AC_SL1500_.jpg,,2026-04-14T17:51:44.588898
9,1,Organic,,6.0,B07NWR7HKD,"JOYIN 12-Pack 12“ Beach Balls - Bulk Classic Beachball Inflatable Swimming Pool Toys for Games Adults Kids Birthday Party Supplies Combo Set, Rainbow Color Blow Up Luau Decorations Favors Gifts (12"")",N/A,CNY 68.22,,4.5,3352.0,False,https://m.media-amazon.com/images/I/814LDy0nOPL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/814LDy0nOPL._AC_SL1500_.jpg,,2026-04-14T17:51:44.593367
10,1,Organic,,7.0,B0G8GLCCXD,AIBIIN Last Day of School Decorations Hello Summer Backdrop Schools Out for Summer End of School Year Decorations Last Day of School Banner Hawaiian Beach Photo Studio Props Backdrop 70.8 x 43.3 inch,N/A,CNY 54.57,,,,False,https://m.media-amazon.com/images/I/71O+1M3-CUL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/71O+1M3-CUL._AC_SL1500_.jpg,,2026-04-14T17:51:44.595939
