id,sku,product_name,product_type,is_combo,status_text,cg_price,category_name,create_time,update_time,product_developer,product_creator_realname,supplier_name,sonProductStr,comboProductStr
26685,Sun-decor,Renbuzhu-CL-太阳纸球套装22pcs26版,2,1,在售,15.1550,纸质印刷\纸质套装类,2026-04-14 17:34,2026-04-16 16:20:22,孙玥3,古金萍,,子-太阳纸球套装22pcs26版-2个20cm的灯笼配2个灯笼支架+8张卡片+6个25cm纸球+3个20cm的蜂窝球配8个回形针+3个30cm扇花配8个回形针+2卷长度5米宽度3mm的白色丝带+4条白色1mm、绳长1m的蜡绳*1+子-太阳纸球套装22pcs26版-说明书-20*14cm双面印刷*1+子-真空袋-16丝-30*45cm*1+子-opp袋30*40cm（双层8丝）*1,
26684,Sun-decor-2,子-太阳纸球套装22pcs26版-说明书-20*14cm双面印刷,1,0,在售,0.0900,,2026-04-14 17:32,2026-04-16 16:20:22,,古金萍,,,Renbuzhu-CL-太阳纸球套装22pcs26版
26683,Sun-decor-1,子-太阳纸球套装22pcs26版-2个20cm的灯笼配2个灯笼支架+8张卡片+6个25cm纸球+3个20cm的蜂窝球配8个回形针+3个30cm扇花配8个回形针+2卷长度5米宽度3mm的白色丝带+4条白色1mm、绳长1m的蜡绳,1,0,在售,14.6000,,2026-04-14 17:30,2026-04-16 16:20:22,,古金萍,,,Renbuzhu-CL-太阳纸球套装22pcs26版
26661,Fruit-Of-The-Spirit-Crafts-Diy-Magnets,90shine-JI-宗教水果圣经diy磁贴48pcs-26版,2,1,在售,8.0000,磁贴/KT板\磁贴,2026-04-14 09:36,2026-04-17 14:23:10,吕铭辉3,古金萍,,子-宗教水果圣经diy磁贴48pcs-26版-48张卡片（8个设计*每个设计6张，材质是250g白卡，不覆膜，黑白单面印刷）+背卡（300g白卡）*1+子-宗教水果圣经diy磁贴48pcs-26版-直径2.5CM的带背胶圆磁贴*50个*1,
26660,Fruit-Of-The-Spirit-Crafts-Diy-Magnets-3,子-宗教水果圣经diy磁贴48pcs-26版-说明书-10*14cm双面印刷,1,0,在售,0.0450,,2026-04-14 09:35,2026-04-16 16:49:19,,古金萍,,,
26659,Fruit-Of-The-Spirit-Crafts-Diy-Magnets-2,子-宗教水果圣经diy磁贴48pcs-26版-直径2.5CM的带背胶圆磁贴*50个,1,0,在售,4.5000,,2026-04-14 09:34,2026-04-16 16:20:23,,古金萍,,,90shine-JI-宗教水果圣经diy磁贴48pcs-26版
26658,Fruit-Of-The-Spirit-Crafts-Diy-Magnets-1,子-宗教水果圣经diy磁贴48pcs-26版-48张卡片（8个设计*每个设计6张，材质是250g白卡，不覆膜，黑白单面印刷）+背卡（300g白卡）,1,0,在售,3.5000,,2026-04-14 09:34,2026-04-16 16:20:23,,古金萍,,,90shine-JI-宗教水果圣经diy磁贴48pcs-26版
26657,cherry-decor,Renbuzhu-CL-樱桃纸球套装22pcs26版,2,1,在售,15.1550,纸质印刷\纸质套装类,2026-04-14 09:27,2026-04-16 16:20:23,孙玥3,古金萍,,子-樱桃纸球套装22pcs26版-2个20cm的灯笼配2个灯笼支架+8张卡片+6个25cm纸球+3个20cm的蜂窝球配8个回形针+3个30cm扇花配8个回形针+2卷长度5米宽度3mm的白色丝带+4条白色1mm、绳长1m的蜡绳*1+子-樱桃纸球套装22pcs26版-说明书-20*14cm双面印刷*1+子-真空袋-16丝-30*45cm*1+子-opp袋30*40cm（双层8丝）*1,
26656,cherry-decor-2,子-樱桃纸球套装22pcs26版-说明书-20*14cm双面印刷,1,0,在售,0.0900,,2026-04-14 09:24,2026-04-16 16:20:23,,古金萍,,,Renbuzhu-CL-樱桃纸球套装22pcs26版
26655,cherry-decor-1,子-樱桃纸球套装22pcs26版-2个20cm的灯笼配2个灯笼支架+8张卡片+6个25cm纸球+3个20cm的蜂窝球配8个回形针+3个30cm扇花配8个回形针+2卷长度5米宽度3mm的白色丝带+4条白色1mm、绳长1m的蜡绳,1,0,在售,14.6000,,2026-04-14 09:24,2026-04-16 16:20:23,,古金萍,,,Renbuzhu-CL-樱桃纸球套装22pcs26版
26598,patriotic-necklace,Moon Boat-EA-250周年国庆节项链36pcs26版,1,0,在售,23.8000,塑料类\项链类,2026-04-09 17:49,2026-04-16 16:20:23,孙玥3,古金萍,,,
26593,YPS-new-driver-magnets,YPS-90shine-JI-新人司机趣味车贴10pcs26版,1,0,在售,0.0000,YPS\H22-磁贴/KT板,2026-04-09 16:32,2026-04-16 16:20:23,,古金萍,,,
26588,YPS-Nurses-Appreciation-Week-decor,YPS-Renbuzhu-CL-护士周雨丝帘装饰套装26版,1,0,在售,23.3950,YPS\H18-纸质印刷类,2026-04-09 15:40,2026-04-16 16:20:23,,古金萍,,,
26564,Seven-Days-of-Creation-Religious-Coloring-Story-Books,90shine-JI-圣经七天故事diy涂色本36pcs-26版,1,0,在售,9.8000,纸质印刷类\涂色本,2026-04-08 11:35,2026-04-11 17:57:18,吕铭辉3,古金萍,,,
26563,New-Fathers-Day-DIY-magnets,90shine-JI-父亲节DIY磁贴48pcs26版,2,1,在售,8.2000,磁贴/KT板\磁贴,2026-04-08 10:38,2026-04-16 16:20:23,卢治锨3,古金萍,,子-父亲节DIY磁贴48pcs26版-48张卡片（8个设计*每个设计6张，材质是250g白卡，不覆膜，单面彩印）+背卡（300g白卡）*1+子-父亲节DIY磁贴48pcs25版-3m背胶软磁*50个*1,
26562,New-Fathers-Day-DIY-magnets-1,子-父亲节DIY磁贴48pcs26版-48张卡片（8个设计*每个设计6张，材质是250g白卡，不覆膜，单面彩印）+背卡（300g白卡）,1,0,在售,3.7000,,2026-04-08 10:36,2026-04-16 16:20:23,,古金萍,,,90shine-JI-父亲节DIY磁贴48pcs26版
