data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at
0,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-14T17:33:07.337626
2,1,Organic,,1.0,B0FHDQNTWC,"Beach Birthday Party Decorations, 183Pcs Ocean Waves Birthday Party Decorations Summer Pool Hawaiian Beach Party Supplies Plates,Napkins,Cups,Banner,Tablecloth,Balloons,Cupcake Topper,Serves 24",N/A,CNY 163.83,,4.7,34.0,False,https://m.media-amazon.com/images/I/81R+TJv1VCL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81R+TJv1VCL._AC_SL1500_.jpg,,2026-04-14T17:33:07.342133
3,1,Organic,,2.0,B0FHDVKYG5,"Beach Party Decorations, 273Pcs Ocean Waves Birthday Supplies Summer Pool Beach Birthday Party Decorations Tableware,Banner,Tablecloth,Starfish Bubble Garlands,Balloons,Cake Topper,Fringe Curtains",N/A,CNY 191.15,,4.5,31.0,False,https://m.media-amazon.com/images/I/811H8dHoXbL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/811H8dHoXbL._AC_SL1500_.jpg,,2026-04-14T17:33:07.345689
4,1,Organic,,3.0,B0G37TZT3X,"cocomigo 299pcs Beach Birthday Party Decorations Serves 25 Guests, Worry-free One-stop Set, with Balloons Arch, Banner Thick Plates and Cupcake Toppers, Easy Setup for Ocean-Themed Party",N/A,CNY 143.35,,4.8,9.0,False,https://m.media-amazon.com/images/I/81VmhZ8LlzL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81VmhZ8LlzL._AC_SL1500_.jpg,,2026-04-14T17:33:07.349257
6,1,Title,,,,Debug info copied.Sponsored96pcs Scalloped Coastal Party Supplies Tropical Blue Bow Starfish Seashel,,,,,,False,,,,2026-04-14T17:33:07.350170
7,1,Title,,,,Under The Sea Party DecorationsSponsored|Shop yorrShop nowPrevious pageUnder The Sea Party Decoratio,,,,,,False,,,,2026-04-14T17:33:07.351208
8,1,Title,,,,More results,,,,,,False,,,,2026-04-14T17:33:07.351208
9,1,Organic,,4.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,CNY 64.81,,4.5,2697.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-14T17:33:07.356354
10,1,Organic,,5.0,B0CZ637F9S,"OBXT 10"" Blue Hanging Jellyfish Paper Lanterns - Under the Sea Party & Mermaid Birthday Decorations, Baby Shower, Nautical Events, Ocean Theme Classroom & Beach Room Decor (Set of 6)",N/A,CNY 143.35,,4.8,706.0,False,https://m.media-amazon.com/images/I/81vZ2BQo+gL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81vZ2BQo+gL._AC_SL1500_.jpg,,2026-04-14T17:33:07.362366
11,1,Organic,,6.0,B07YDK14GQ,Decor365 Under the Sea Party Decorations White Bubble Garlands Little Mermaid Birthday Decorations Bday Hanging Streamer Beach Banner Decor Underwater Backdrop Kids Ocean Party Supplies,N/A,CNY 81.81,,4.6,6486.0,False,https://m.media-amazon.com/images/I/51Gcx9gKPQL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/51Gcx9gKPQL._AC_SL1500_.jpg,,2026-04-14T17:33:07.366428
