data_index,page,ad_type,ad_rank,organic_rank,asin,title,url,price_current,price_list,rating_stars,rating_count,is_prime,image_small,image_large,brand_name,scraped_at,inner_products_count
0,1,SB,1.0,,,Colorful Rainbow Beach Balls,https://aax-us-east-retail-direct.amazon.com/x/c/JGAEfh69oh3QUCwIjtdc-YoAAAGdi4QvjQEAAAH2AQBvbm9fdHhuX2JpZDcgICBvbm9fdHhuX2ltcDEgICDBFySD/clv1c_ek-wBHPWKrTaXmxht19Zu82BpCCze87257TIOtdmz-ZTZ7X-GOrSXuasINrpuhxJu6WqoeAMg_VoTnA2im50kSVsy-Obr763Pt-W6d6k1N-1DqvthPFxzWjsvlGk6DMLdQBUjqTIxg0CGnvllMQOO9HdnD3cwl368sRzxRPefCYm7eMTUWjYNoOlR2AEdA_SPaeP9UlHtzehhWR42cBi3usXkXMsjF3zJu5T86mb-fxJyxYs2C5AkjnllNKII8pZ_KVuTrhpUppCJYqbGXBnWq65KnoBHlf-o2NoucR-C4CeMQsQ884sxe5YS1bGvPgDnoVqtrGnoMDXBqf0g8dtq0CyUHxbuuQ5nTVfO6ZPzk4GS1qRZcHxgJWwnJX-OF0pCh34jRWPkND0HTHRYfHtCYpuaEMlJzOmuLEb4ylvJMqF6DFw5XUhU52quhukBn7zeD_RppAh450MfowtJ0yNSpiyKhYt4cHDwJ0tYhr00R7JDXYlHgRweo8dOeQoWfKqokM75XqDEpgCYSc_RVopLE24LL0qcO_GeQnbCVpmlDjhfM6yok_xt0_qJVbWrXBx0_lZ7Xz3eDKX-N306uoqa6shWVNw7O3gXQr6Ebfj7log8fH5cRxYEneCMIlSGYu86AyZqOWjv_TQ8zO48PXCt-5tus55had7nyf1gsCChl0rauwtmp7nqtNdrsUm56WvQGl52tc37th4a-ls46V1OPHe712Ddl3ZjOyu9MkjNH96evwT6K80OzxUorp-svtFvk8WZMeTxv2QGF8FhQS8iotdjvOKm0u8bPgpLgw7SYNtUcbDfOU0LmPvs6f9vNxlu426_r-SOLSW35vN_ubNnHGTfCGhxh-Idhlv-u0aaJkOACc4_QnYzka-fPbfwRHaoMyUWmWV5gLpiDTfv_GGF5jTgeCRgpa0x73sj4Lt7BjHoiS7IrYTCRVkOcTajAMhpDSvXOCc5jp7c0QjWq7HEvIPpwxXxUjDVdPi2fb9bAT--i2hYn8VeEH2oWqbT0Rors8hduJ0s93emWhhUQ2APy83HMRK-dXjn_orY93UR6yZuvnMCQxsvCBVEsBZ6OixY2y4B6TEh7ET0JByaVcKi6vpnnkOgr9pMsNfmeTBaTqKeNYso5whm9cVEtVYaGAhyfKR5QcSH95iB0I7Dr4eatmSCG50kWNXKRFnVqEVW05f4Fc93QuA1701dbaeZNiCY7Gj_wD2XN-_yEYYiSzH0nsW3xI9h1fqD3z8EEy058aDYb3CPn8SpDUXdGO-1dniVfr9nzsEM3Oa8lEVeWmze5pyQjKbVG33xDe2cgBLQhLF5bfeusqeJPJd8iuVYvPvWuSoQr1co95n15ZKWUIliuHWJVIs3bKRQj6wZuviSjbz8pz-GnhnphoP0xSlLWGt4DLn8WdczAqXVshC0S8YW9D8Bq1otZYZu49tqY46jONu3l3R5jD1XLxHHiGtwUCQxoCAysFrWtUl6NRwQlabKynEXlz2mLxHQTgmo3f2GBCWeCunNk2OPDbT5_WMTOd_eWnJGkp4QYNvSA7DF-8rHsPfHh8G_0a2dPg_EoVCbHYCBUjuMrZQq_Pu8w_yp4-MVhRfzazfYlIqebKkpS_dTgzPWIhljYD7rcJMCLgQ0kkrysh7QJg0Ep1lfatx3QO6n6Hx-umeiJxqdM2CFeebxxZa1Po/https://www.amazon.com/stores/page/6A529998-3E96-4BBD-BB73-E06A4301338D/?_encoding=UTF8&store_ref=SB_A0829677URZWUORHME4J-A07459312VL5H8ME5BLCV&pd_rd_plhdr=t&aaxitk=79abc419f289afaae959d05e3a0c20bf&hsa_cr_id=0&lp_asins=B0BKTLGZN1%2CB07NWR7HKD%2CB07NZPQ5G6&lp_query=pool%20party%20decorations&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_s_sparkle_sbtcd_bkgd&pd_rd_w=2sbGI&content-id=amzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507%3Aamzn1.sym.2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_p=2fb72bc8-96ef-420d-b08f-c04b69f36507&pf_rd_r=7JXV4VPMZRDHF84RVBZD&pd_rd_wg=KE8Tw&pd_rd_r=7e5183e9-08f4-49c0-863d-6c9381bedb24,,,,,False,"https://m.media-amazon.com/images/S/al-na-9d5791cf-3faf/acc8c1a0-a88e-4e2a-8344-da2cbf5ce25e._CR0,0,1613,602_AC_SX130_SY60_CB1169409_QL70_.png",,Colorful Rainbow Beach Balls,2026-04-14T18:23:12.464515,3.0
1,1,Title,,,,ResultsCheck each product page for other buying options. Price and other details may vary based on p,,,,,,False,,,,2026-04-14T18:23:12.466081,
3,1,Organic,,1.0,B0DT6X8QP2,"Summer Pool Beach Party Decorations, Splash Birthday Bash Party Supplies Tropical Summer Banner Beach Ball Lantern Fringe Curtain Foil Balloons Arch for Swimming Water Luau Hawaiian Party Decor(Blue)",N/A,$18.99,,4.4,301.0,False,https://m.media-amazon.com/images/I/81BUSERqr5L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81BUSERqr5L._AC_SL1500_.jpg,,2026-04-14T18:23:12.473499,
4,1,Organic,,2.0,B0CR6SG9NZ,Arrowom 24pcs Hawaiian Leis Bulk Luau Party Silk Flower Necklace Colorful Tropical Hawaiian Bulk Hula Dance Party Decor Flower Leis Summer Beach Pool Party Decorations Favors Supplies,N/A,$9.49,,4.5,2697.0,False,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91Dw3St+MFL._AC_SL1500_.jpg,,2026-04-14T18:23:12.478677,
5,1,Organic,,3.0,B0GN2B8GXV,"48"" Giant Glitter Inflatable Swim Floats with Large Cup Holder Jumbo Pink Striped Pool Ring Fun Print Pool Lounger Tube for Adult Summer Swimming Beach Party Supplies",N/A,$69.99,,,,False,https://m.media-amazon.com/images/I/8155s8L6a6L._AC_UL320_.jpg,https://m.media-amazon.com/images/I/8155s8L6a6L._AC_SL1500_.jpg,,2026-04-14T18:23:12.482687,
7,1,Title,,,,"Debug info copied.SponsoredAmerican Flag Inflatable Cooler, Pool Party Decorations 130+ Cans Large D",,,,,,False,,,,2026-04-14T18:23:12.485049,
8,1,Title,,,,Under The Sea Party DecorationsSponsored|Shop yorrShop nowPrevious pageUnder The Sea Party Decoratio,,,,,,False,,,,2026-04-14T18:23:12.486625,
9,1,Title,,,,More results,,,,,,False,,,,2026-04-14T18:23:12.486625,
10,1,Organic,,4.0,B0CYH6K5PW,"Summer Banner Pool Party Decorations, Pool Party Decorations Banner Backdrop Summer Party Decorations, Hanging Beach Themed Summer Party Decorations with Rope (72 * 44 Inches)",N/A,$8.99,,4.6,100.0,False,https://m.media-amazon.com/images/I/81d1A48zuIL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/81d1A48zuIL._AC_SL1500_.jpg,,2026-04-14T18:23:12.490744,
11,1,Organic,,5.0,B0GMPXPMZ5,"Pool Birthday Party Supplies,Summer Beach Party Decorations Paper Plates,Napkins,Balloon,Banner,Cupcake Topper for Summer Hawaiian Beach Pool Birthday Supplies Serves 24",N/A,$20.99,,5.0,2.0,False,https://m.media-amazon.com/images/I/91NC+3f2OpL._AC_UL320_.jpg,https://m.media-amazon.com/images/I/91NC+3f2OpL._AC_SL1500_.jpg,,2026-04-14T18:23:12.494784,
